Labels,DA LL 1,DA LL 2,DBL1,DBL2,DB LL 3,DB LL 4,DBL20,DBL21
cg00899350,0.338291289,0.503594351,0.675561149,0.61131201,0.386550146,0.634986082,0.343462307,0.514928473
cg00918181,0.703333785,0.951853154,0.656483839,0.957202376,0.566001393,0.890981498,0.925918277,0.939173871
cg00923880,0.738316451,0.593374713,0.653212481,0.756979775,0.450256543,0.682441766,0.452560922,0.615818244
cg00930606,0.147551124,0.257076827,0.178500051,0.069637559,0.050845438,0.022290533,0.583164983,0.086758708
cg00953006,0.671393905,0.551699884,0.544765456,0.667263289,0.897316161,0.763744354,0.367902273,0.569354898
cg00973118,0.102083048,0.152274354,0.157804872,0.133265209,0.051873864,0.031080995,0.108520552,0.102729554
cg00980622,0.398563092,0.160300105,0.331889696,0.500516572,0.261789863,0.13640479,0.46055542,0.078515091
cg01000188,0.719608646,0.898342287,0.798233154,0.562031524,0.753049346,0.626426801,0.683201897,0.564576144
cg01017147,0.85166143,0.915081723,0.668770122,0.929347536,0.948264806,0.840950621,0.862970453,0.939991577
cg01066431,0.644819959,0.787157036,0.74629144,0.635073072,0.407981156,0.360347778,0.313103838,0.564780059
cg01078772,0.212772713,0.145254952,0.247697228,0.330421511,0.178203989,0.254743384,0.37214908,0.098218378
cg01094192,0.830764886,0.860171258,0.509036194,0.880364032,0.79468996,0.857647798,0.314705532,0.774605707
cg01094687,0.410151147,0.558119682,0.579570353,0.61457471,0.515087723,0.604708299,0.564728092,0.575596402
cg01094748,0.870539802,0.907668481,0.899429007,0.931489658,0.968305261,0.433354974,0.632110186,0.897187571
cg01101873,0.056426205,0.077633049,0.114915384,0.092013243,0.017785086,0.024693927,0.066705995,0.043785451
cg01104306,0.554626084,0.269460813,0.475120335,0.484118319,0.747842157,0.422939462,0.118094778,0.517719491
cg01126532,0.905120725,0.939081278,0.626207138,0.950097191,0.670645754,0.939499317,0.567634034,0.930614968
cg01156747,0.027931002,0.037896908,0.027973216,0.033033012,0.019566745,0.044358005,0.050801441,0.037293939
cg01165661,0.373905433,0.145311766,0.41544859,0.446666066,0.253940998,0.254605092,0.610769052,0.49163553
cg01169021,0.892711124,0.937070139,0.944887647,0.94112406,0.834204164,0.862576297,0.936753479,0.946913799
cg01180479,0.073800553,0.057466158,0.059627978,0.043942707,0.009002828,0.014304883,0.050578509,0.04394085
cg01196336,0.25656729,0.257866644,0.181215667,0.623420797,0.023584486,0.023482386,0.343979736,0.050619885
cg01208566,0.209018826,0.088448933,0.3304014,0.414511526,0.050713748,0.638655057,0.480946238,0.499635761
cg01218619,0.886660954,0.978741919,0.976889628,0.979281346,0.793254146,0.929473385,0.971452301,0.975568404
cg01219135,0.8812147,0.925135094,0.950522961,0.943436473,0.946625033,0.836180172,0.911182982,0.919318772
cg01223011,0.41540327,0.448816735,0.443559463,0.486467559,0.36574811,0.283305428,0.532971263,0.447005841
cg01242676,0.832333151,0.830969854,0.880691225,0.901869273,0.886627384,0.919863971,0.507951738,0.881072713
cg01248445,0.488668874,0.554093843,0.346111159,0.199176082,0.199392306,0.178035415,0.286181089,0.518295147
cg01270593,0.875449302,0.940485264,0.929864189,0.962555795,0.871014184,0.862860657,0.946566849,0.977189967
cg01274753,0.103390376,0.081866988,0.084935268,0.036004043,0.036585769,0.103115914,0.622362173,0.060072923
cg01293179,0.633184617,0.538071914,0.44896473,0.48783356,0.608214637,0.435143285,0.477707879,0.55648102
cg01301319,0.144041458,0.164860496,0.148774689,0.098290772,0.040571028,0.042244035,0.123609069,0.160849697
cg01309328,0.410622401,0.599715008,0.392015663,0.702577862,0.250807641,0.146234559,0.655909266,0.090409546
cg01314743,0.772200474,0.952968741,0.169542958,0.477597128,0.298289407,0.274170876,0.358745219,0.515589289
cg01324343,0.375183584,0.084879784,0.081033017,0.10950858,0.020562156,0.045416953,0.03433923,0.038589702
cg01351327,0.462594879,0.50792386,0.531064138,0.519163981,0.510950186,0.112698847,0.668635668,0.523103052
cg01359962,0.704015031,0.952237174,0.935737113,0.922246181,0.843247667,0.929236842,0.734650123,0.947418677
cg01365639,0.608970072,0.594757131,0.507103288,0.630044099,0.743602855,0.486509658,0.52179327,0.567507744
cg01396157,0.516022041,0.933457137,0.650582345,0.564085748,0.57329469,0.606000073,0.687427803,0.543695218
cg01426903,0.10080693,0.783515076,0.483968481,0.498889436,0.471751524,0.571005173,0.063810419,0.514001933
cg01435791,0.551999488,0.611802126,0.464737694,0.626793897,0.559880439,0.809959084,0.322277136,0.61417174
cg01439322,0.501274329,0.521682687,0.355994844,0.359892869,0.310486198,0.165964818,0.066906231,0.396516049
cg01484296,0.248405515,0.945979631,0.282650945,0.093718423,0.120122008,0.32557295,0.16572959,0.084522438
cg01485549,0.314451097,0.082461201,0.1462861,0.074998593,0.144634598,0.384988971,0.366690265,0.226948509
cg01530154,0.622323032,0.55095767,0.16379562,0.935645949,0.386690894,0.749588063,0.650198854,0.483140631
cg01552731,0.478511695,0.504716915,0.77135705,0.757470815,0.668703933,0.915892318,0.496384577,0.876125428
cg01569709,0.078406216,0.037867144,0.876601731,0.044196197,0.923693849,0.192161916,0.046734677,0.042283509
cg01584932,0.48191778,0.656378718,0.174428136,0.651981903,0.118107058,0.748411916,0.360552277,0.592218304
cg01601299,0.378669579,0.48333818,0.60813899,0.590758845,0.868131558,0.930082091,0.067584672,0.853365243
cg01607530,0.464788494,0.431974015,0.092494292,0.498660679,0.027823013,0.921210604,0.177902456,0.925672129
cg01613691,0.852363716,0.893698773,0.893347383,0.951469491,0.967454988,0.971700216,0.876125854,0.928902531
cg01622416,0.52393147,0.55837935,0.524191756,0.557768467,0.441942431,0.814809714,0.054488562,0.598412267
cg01646323,0.462722873,0.487802007,0.188211906,0.147242803,0.094368495,0.209144993,0.466967678,0.130151843
cg01758314,0.91564476,0.038834555,0.449363779,0.929519919,0.278853782,0.70216037,0.515490177,0.48462644
cg01806192,0.348445556,0.445385115,0.34902476,0.554913722,0.755971845,0.125811114,0.124568181,0.608091969
cg01809217,0.726881916,0.922608451,0.847780854,0.897970739,0.948478998,0.874760404,0.449174226,0.912988075
cg01830073,0.182855316,0.093143124,0.1137497,0.076181101,0.134816847,0.063860054,0.084526108,0.070439974
cg01870826,0.907943419,0.95561799,0.894235189,0.953859273,0.949120092,0.927378382,0.097111742,0.938533192
cg01874867,0.926534875,0.953426759,0.944995891,0.933818314,0.802672083,0.94159716,0.945649366,0.945969396
cg01894498,0.920720194,0.98044425,0.569267796,0.607533821,0.221509769,0.416073766,0.516856337,0.571608794
cg01905633,0.79984488,0.947063244,0.889209802,0.912449865,0.921859317,0.870022231,0.838792815,0.936753667
cg01987333,0.097571719,0.065492422,0.448769263,0.548590915,0.56458496,0.596996076,0.258130057,0.455546272
cg02032841,0.077480666,0.069986665,0.421728931,0.080524229,0.471214129,0.144377422,0.551807866,0.082094084
cg02067022,0.588364946,0.074926565,0.608522576,0.628431058,0.57768741,0.696102987,0.659197337,0.593546756
cg02105042,0.298229048,0.053222409,0.476957787,0.484608503,0.674695696,0.473850348,0.609473744,0.469774353
cg02158486,0.791388003,0.464664478,0.637979543,0.952345427,0.869105317,0.81857591,0.914722625,0.928190491
cg02228675,0.067490918,0.059731163,0.222327617,0.356981942,0.079063493,0.00655718,0.493849184,0.353750405
cg02238549,0.937880638,0.940953598,0.914863331,0.964099016,0.905718976,0.914381206,0.581043706,0.947639738
cg02273436,0.680198696,0.745655595,0.370135205,0.321250691,0.588290575,0.569682845,0.729834111,0.828333106
cg02274366,0.464122701,0.466094328,0.428996088,0.513704401,0.342833055,0.447909021,0.317100083,0.513832608
cg02278114,0.594146093,0.590639752,0.575625773,0.909941963,0.685779405,0.944121813,0.293322827,0.889946844
cg02315096,0.399713396,0.304955197,0.640942027,0.634621355,0.650780894,0.571955414,0.394562802,0.593303639
cg02326224,0.883049161,0.933898487,0.930566327,0.957166159,0.858422256,0.87763009,0.918036227,0.905482118
cg02331649,0.57967816,0.582736408,0.501086255,0.553058643,0.465445604,0.613434012,0.627246719,0.524105704
cg02400092,0.670271004,0.611314717,0.894998377,0.6799216,0.83274768,0.820303231,0.592326483,0.632777566
cg02421962,0.531195238,0.910432548,0.529966541,0.519119401,0.729290634,0.377147748,0.125636084,0.068567411
cg02426999,0.816824663,0.892263576,0.879507022,0.92392592,0.775162399,0.59425225,0.722382273,0.900266307
cg02428792,0.941273464,0.605308555,0.154416283,0.315295589,0.321697823,0.689203886,0.759663342,0.06624266
cg02450064,0.123145113,0.079222717,0.116449566,0.070166848,0.061239083,0.049134421,0.481305062,0.058578196
cg02473254,0.81459304,0.878149394,0.579202315,0.330216779,0.694764862,0.485431305,0.519692057,0.385605902
cg02484210,0.629244287,0.545830256,0.623132252,0.952941098,0.668518894,0.817899127,0.658639651,0.923055148
cg02498063,0.896014569,0.890494928,0.887298248,0.919849123,0.702940037,0.809456252,0.865450371,0.891918402
cg02508651,0.757622418,0.946392183,0.90190515,0.958403041,0.948027986,0.959538508,0.784173233,0.957675813
cg02518216,0.863845884,0.917138423,0.913440617,0.917390873,0.904194048,0.858064635,0.923323172,0.924203854
cg02531924,0.490790678,0.562715013,0.63463432,0.813682857,0.677694686,0.799131523,0.593244917,0.928005357
cg02546490,0.909591995,0.929611318,0.55957871,0.451361778,0.540006731,0.905795535,0.440497009,0.454896924
cg02552250,0.9095314,0.936606359,0.900222725,0.938171847,0.971307278,0.958983309,0.926505049,0.940877099
cg02586712,0.165530973,0.085660649,0.16227585,0.17408413,0.072240327,0.203313196,0.199353666,0.085030799
cg02596779,0.184698027,0.0481064,0.370643724,0.08976218,0.678960243,0.438771512,0.334035261,0.046974588
cg02607237,0.549687731,0.552168774,0.40786264,0.948487773,0.552520096,0.45476547,0.871571022,0.886925073
cg02616710,0.856796299,0.894473027,0.878527374,0.916095737,0.933933763,0.953768497,0.915962662,0.906440113
cg02621481,0.148126196,0.060518329,0.310691131,0.090380753,0.063070392,0.346068108,0.520967919,0.058693221
cg02624836,0.578962304,0.437459142,0.326937296,0.19009532,0.110391873,0.061802172,0.299245602,0.090829165
cg02641400,0.415504595,0.044612046,0.406993283,0.053537959,0.142116539,0.047203053,0.32692143,0.045397818
cg02645340,0.852606657,0.932247118,0.852846167,0.887752856,0.853643456,0.821840707,0.905699904,0.922769491
cg02675527,0.227057632,0.05287863,0.747493046,0.136907066,0.764911699,0.368828638,0.215972794,0.049813997
cg02736908,0.13508308,0.11312284,0.098519065,0.078176331,0.032775577,0.064681839,0.09684063,0.083523673
cg02738086,0.341334006,0.067679306,0.191914751,0.883049848,0.4492306,0.903213063,0.396570495,0.489805791
cg02744588,0.813042144,0.563001815,0.80588028,0.853405891,0.825514307,0.778290826,0.617323394,0.873048655
cg02753027,0.755316336,0.657777154,0.538339024,0.670971235,0.746682938,0.726646011,0.465558668,0.681000284
cg02796478,0.410648897,0.10656376,0.370920515,0.376144689,0.301731802,0.427811295,0.301824239,0.353382939
cg02799427,0.233818506,0.683533353,0.245177154,0.540005702,0.165372074,0.570613067,0.056055344,0.546890887
cg02872426,0.67276099,0.592218978,0.628750932,0.964725517,0.751737363,0.851141918,0.311502937,0.940445346
cg02881189,0.628547062,0.491615587,0.751872,0.531789398,0.250178491,0.356018575,0.409527465,0.90094789
cg02942766,0.701413723,0.937267607,0.862340522,0.885724178,0.910700723,0.917307637,0.173675109,0.926487547
cg02971253,0.380738015,0.056935667,0.317352823,0.449667403,0.070846228,0.47736656,0.427134894,0.160519087
cg03041510,0.858282693,0.669377431,0.345453574,0.901593394,0.308977907,0.549492983,0.604186715,0.441751433
cg03047995,0.433574766,0.514666028,0.31600735,0.121698726,0.042055987,0.022190439,0.557446799,0.081616994
cg03095800,0.601854541,0.639426346,0.275804723,0.328293434,0.137128426,0.034386801,0.22711474,0.149440688
cg03147184,0.374388434,0.565067277,0.397967879,0.406817469,0.391450905,0.565249716,0.428301766,0.376773317
cg03176993,0.467351434,0.236809753,0.208678318,0.546237929,0.449010045,0.908662141,0.047490945,0.932844242
cg03179435,0.686051377,0.542560836,0.709909474,0.939178329,0.932887029,0.787644237,0.922093083,0.934994861
cg03190769,0.190245214,0.089397769,0.408663579,0.092112868,0.084899365,0.081953663,0.215963839,0.065535268
cg03207666,0.871362507,0.857385258,0.87627224,0.704212215,0.870736064,0.882625675,0.928884129,0.938994993
cg03209871,0.071286086,0.196391139,0.510023639,0.550025023,0.09912652,0.660903311,0.532195769,0.505999018
cg03242666,0.829843597,0.867215133,0.898238131,0.87073769,0.840846937,0.614638218,0.133301218,0.87367485
cg03270395,0.885583006,0.865179832,0.347135986,0.916285008,0.357387165,0.894090753,0.507657424,0.540267269
cg03271533,0.677442661,0.600433268,0.624906477,0.877193481,0.303054489,0.48667834,0.686189447,0.835030019
cg03278811,0.07773807,0.189381738,0.175885376,0.170510845,0.068287069,0.056652465,0.149482422,0.1229652
cg03297163,0.296847089,0.430585689,0.432621554,0.820605982,0.454081719,0.951585377,0.947799285,0.949105308
cg03315344,0.33272776,0.141869931,0.306964463,0.164227832,0.439338761,0.066262364,0.203892425,0.511615293
cg03325664,0.518037605,0.035679526,0.516463948,0.457897155,0.483616284,0.505428231,0.614539874,0.43258132
cg03330678,0.876799335,0.946112111,0.56848459,0.882221174,0.652538591,0.807950982,0.113142228,0.934490734
cg03370951,0.48883717,0.588988749,0.083326751,0.030470838,0.108830099,0.073128527,0.570071699,0.039227693
cg03395511,0.039517704,0.077509552,0.054624189,0.047895324,0.076347291,0.133253299,0.039866771,0.054667028
cg03421353,0.111536065,0.234388646,0.124487327,0.04911618,0.05678513,0.029370151,0.42355504,0.059727049
cg03428047,0.180744699,0.033461598,0.189763585,0.119316513,0.075966998,0.09115761,0.256044684,0.044746867
cg03428864,0.872526212,0.932528233,0.872005941,0.919076662,0.908911036,0.925398892,0.885857004,0.914855196
cg03433986,0.517865615,0.253450499,0.295428995,0.551430988,0.252677633,0.794930583,0.160593318,0.558899595
cg03444077,0.508515283,0.507159579,0.518203027,0.969482007,0.382250981,0.865574269,0.520275697,0.960640453
cg03481509,0.130353923,0.063246001,0.539377495,0.428576044,0.574352386,0.218168258,0.124047019,0.058040152
cg03520938,0.383233055,0.137608722,0.138547469,0.347007838,0.03319598,0.03429379,0.496652469,0.039986477
cg03556313,0.542893258,0.760772235,0.618693136,0.743912133,0.540623938,0.295347958,0.484158849,0.654437842
cg03611551,0.321959126,0.50923414,0.836484781,0.833949634,0.804921028,0.637479907,0.129926745,0.524147762
cg03646740,0.12659135,0.077612524,0.133135877,0.094378748,0.041490984,0.028761109,0.157082352,0.062814298
cg03669367,0.387784671,0.29131916,0.475758987,0.584504707,0.351155496,0.268557849,0.617468732,0.507922342
cg03695236,0.603385751,0.573960626,0.869550846,0.930588042,0.664248056,0.763766337,0.428928504,0.93668992
cg03706720,0.124228126,0.033776814,0.113368697,0.157020402,0.087913113,0.259109224,0.072287469,0.031166565
cg03721454,0.479199696,0.325661474,0.525754584,0.12694792,0.064607132,0.267582024,0.331885279,0.05826541
cg03738707,0.964539049,0.980876426,0.945539253,0.972443694,0.962565236,0.983012086,0.974198097,0.972048369
cg03753385,0.337510096,0.29387226,0.175762202,0.307747831,0.066077127,0.679960592,0.530739541,0.455584999
cg03755052,0.314472627,0.103575223,0.055379502,0.155498489,0.561222945,0.022226182,0.469675716,0.039862133
cg03804621,0.092925582,0.036779086,0.054753781,0.045299764,0.107668291,0.022452855,0.061409101,0.041355754
cg03826642,0.29891046,0.360174592,0.107487809,0.147539728,0.109571097,0.059035578,0.484312321,0.219163907
cg03848129,0.021955869,0.03664665,0.095634521,0.026661449,0.014850046,0.011034083,0.03140312,0.022364312
cg03880506,0.320570799,0.543607531,0.627162821,0.7356837,0.118244632,0.419380611,0.293104969,0.685316051
cg03880611,0.527326975,0.552433847,0.555517047,0.530250028,0.447302978,0.547384869,0.949744432,0.512215295
cg03889540,0.897788552,0.928352667,0.88230359,0.934331667,0.9288201,0.949035525,0.79333246,0.928245534
cg03894068,0.836829731,0.732965943,0.872606489,0.917884864,0.824462288,0.876410973,0.837744,0.910293832
cg03898952,0.46274754,0.071428986,0.330785452,0.148261384,0.270832597,0.311915632,0.066336212,0.494643281
cg03906434,0.023585607,0.027632928,0.16604198,0.015655023,0.01945172,0.014763127,0.612415185,0.025289015
cg04006327,0.71666682,0.823934904,0.521301943,0.569426483,0.417843061,0.736253768,0.620175819,0.528222383
cg04019914,0.503711002,0.510836165,0.553689447,0.502876813,0.564996157,0.83193148,0.501100072,0.526116376
cg04036777,0.323978215,0.384976169,0.506712619,0.509210673,0.479730223,0.146941225,0.380567096,0.485380791
cg04060561,0.715687028,0.669590389,0.891163988,0.958885871,0.940623956,0.936437974,0.390513901,0.516875407
cg04064054,0.077610521,0.051325024,0.171796051,0.045015549,0.070619724,0.133713453,0.679034233,0.043852951
cg04070847,0.04240865,0.066953328,0.046650606,0.495393609,0.148239972,0.255991797,0.230042575,0.530890307
cg04131969,0.453111739,0.467627359,0.510875515,0.494760473,0.570456159,0.663399279,0.517782053,0.49124601
cg04141796,0.565332343,0.576105705,0.631608711,0.602466749,0.383736854,0.367795571,0.930519739,0.582894192
cg04156219,0.409909108,0.381935404,0.447798725,0.404836759,0.411698526,0.655049553,0.446898507,0.388813928
cg04176472,0.529065866,0.299785239,0.58268996,0.836978422,0.792578813,0.806890705,0.543864261,0.542171535
cg04178523,0.319579254,0.365916535,0.329704517,0.071041746,0.164533136,0.23079589,0.468095806,0.066998842
cg04216235,0.523618869,0.517615457,0.09400772,0.589996339,0.034617943,0.368519186,0.934784061,0.517564819
cg04217706,0.843794952,0.894514681,0.901259151,0.913222613,0.898716572,0.900548967,0.891193898,0.899539032
cg04264002,0.3137646,0.226689874,0.457066029,0.543170742,0.493347101,0.403290168,0.401552989,0.470138514
cg04362989,0.089035638,0.124042292,0.073560501,0.066528468,0.038303408,0.049496961,0.058327429,0.091672789
cg04391463,0.85913735,0.925663593,0.604407936,0.929407646,0.273118957,0.93487815,0.473201617,0.920800791
cg04410756,0.186992192,0.933472925,0.081782491,0.055946769,0.162880802,0.219130823,0.748679584,0.050508206
cg04454285,0.067659872,0.067718372,0.100894788,0.064512885,0.031011957,0.014382998,0.037706708,0.05160181
cg04481923,0.033083004,0.029888883,0.50573467,0.455769269,0.505709049,0.857601542,0.039438495,0.521554574
cg04520704,0.131516661,0.13957528,0.218683848,0.206659849,0.488847889,0.041732358,0.108199029,0.079818527
cg04522575,0.57293168,0.848301278,0.927540366,0.903251379,0.892683941,0.914217084,0.487762103,0.93466151
cg04547181,0.699301729,0.630983833,0.692275236,0.691283569,0.862307365,0.619734368,0.917557859,0.653789923
cg04548463,0.794312323,0.501722035,0.485583585,0.584927059,0.386685272,0.741166477,0.617501105,0.53098057
cg04605697,0.271941059,0.082997973,0.451625608,0.393419036,0.259772367,0.205224543,0.272048552,0.056797396
cg04630490,0.202501149,0.056950965,0.448580144,0.170241985,0.053185261,0.33539852,0.43352571,0.063664448
cg04653913,0.520138393,0.54773995,0.861531482,0.539913352,0.728056921,0.539311055,0.581185582,0.5544883
cg04657146,0.067305299,0.101708393,0.157794257,0.082675051,0.025685401,0.026985319,0.155761507,0.073586325
cg04671734,0.862502166,0.962211202,0.915414823,0.954707785,0.919090286,0.921505683,0.905722823,0.944450023
cg04672622,0.914753771,0.931120178,0.555046671,0.948454509,0.744536314,0.881263105,0.932527358,0.936372328
cg04672903,0.576529634,0.812495258,0.799429147,0.795815862,0.731997918,0.687980232,0.62507068,0.745592752
cg04713352,0.739618404,0.381438269,0.645941775,0.652327588,0.719257549,0.788093661,0.464894636,0.668956372
cg04726821,0.91262258,0.945037661,0.934185636,0.951602477,0.939676889,0.869716109,0.937267258,0.929393244
cg04736911,0.912542991,0.935378416,0.719226857,0.961424883,0.864580416,0.846583477,0.550600629,0.942559692
cg04737881,0.911617863,0.941845553,0.943430064,0.958141877,0.839140507,0.507955025,0.515688605,0.934807937
cg04741118,0.422923967,0.142018837,0.226819238,0.199781453,0.040216247,0.721367394,0.479767335,0.176094099
cg04748010,0.157141926,0.046141667,0.555976879,0.852228006,0.935051581,0.877591817,0.576995692,0.939442619
cg04781305,0.197985563,0.56074389,0.141517863,0.180870244,0.098328718,0.26205487,0.083077001,0.053197363
cg04783231,0.873717397,0.850347674,0.873244515,0.72440768,0.862031478,0.84538805,0.292933978,0.935633605
cg04811114,0.895638469,0.954868993,0.833520447,0.954042605,0.844902982,0.717728375,0.414387132,0.559325277
cg04876069,0.020959194,0.016495511,0.016544538,0.015265138,0.023602905,0.014310214,0.028255113,0.025202813
cg04885881,0.545171686,0.535909433,0.255414454,0.522036302,0.172228437,0.269331136,0.482620675,0.502497534
cg04889800,0.016441522,0.029144787,0.018382863,0.023562568,0.024809161,0.033778609,0.028695631,0.022624896
cg04908961,0.175434885,0.095673026,0.345226499,0.080760974,0.231318834,0.105682679,0.575594009,0.277787699
cg04931238,0.552049256,0.57622185,0.72821561,0.84801115,0.626239341,0.494784369,0.494526317,0.944196806
cg04981007,0.1607651,0.088828784,0.120100382,0.089572108,0.358775805,0.027657619,0.107301503,0.066156731
cg05004973,0.182210986,0.951313817,0.545609211,0.947514125,0.642276533,0.916966932,0.702817572,0.938856427
cg05005343,0.606374841,0.619399476,0.389899263,0.611087595,0.555164152,0.604140656,0.58932218,0.597010084
cg05020125,0.316034014,0.365696491,0.381161089,0.194537363,0.381137669,0.102526445,0.196671519,0.194071894
cg05030553,0.340108286,0.316775583,0.156685834,0.309037045,0.035640756,0.258501687,0.160837432,0.055930154
cg05090351,0.124046068,0.075666961,0.073264166,0.101311586,0.365502361,0.17820426,0.078946734,0.054449273
cg05149097,0.849205375,0.559013051,0.57304856,0.604372823,0.044493696,0.677088483,0.193042826,0.614659709
cg05168764,0.860128057,0.217643644,0.855473098,0.883048387,0.966556233,0.965417389,0.831774603,0.830004399
cg05180717,0.046437494,0.041762699,0.149880001,0.07471897,0.186087038,0.024889116,0.05222594,0.050689282
cg05182265,0.157980847,0.095419508,0.393012039,0.129256025,0.643965347,0.022303499,0.213579336,0.055932861
cg05254095,0.441643157,0.593965345,0.513575335,0.599987751,0.320524398,0.290203499,0.549058849,0.575279569
cg05275595,0.801361187,0.552973296,0.824465408,0.926750163,0.694535499,0.95057315,0.372928412,0.899190259
cg05277122,0.208054072,0.104098142,0.173840399,0.078630363,0.013278616,0.019388534,0.370301842,0.179138665
cg05292376,0.503596099,0.531307095,0.326549666,0.3079281,0.658454421,0.020196908,0.342306467,0.116472212
cg05307301,0.888689161,0.662737395,0.69784151,0.632609729,0.626908898,0.746221583,0.209360152,0.581096316
cg05308504,0.432904659,0.467520253,0.465096962,0.447260326,0.624353184,0.157472353,0.943450447,0.494860997
cg05353869,0.464277547,0.491076531,0.509196732,0.511508878,0.216092829,0.208855146,0.541078623,0.58251657
cg05360958,0.648837786,0.583985548,0.585180155,0.565399734,0.114198078,0.669268806,0.455286371,0.58595999
cg05365735,0.463154878,0.506395596,0.488364129,0.481452054,0.6073773,0.343771785,0.398511801,0.46281598
cg05371332,0.231581392,0.528372592,0.163675804,0.114516769,0.381105463,0.123749651,0.603581066,0.158782015
cg05379541,0.042445879,0.032655621,0.07691921,0.083328651,0.030417863,0.040803796,0.46365124,0.052245992
cg05385718,0.847512242,0.882965528,0.795607666,0.907649012,0.415367157,0.942815859,0.720720594,0.848517509
cg05403689,0.154699914,0.070328288,0.259034728,0.074773657,0.245695263,0.201593386,0.766708783,0.068047134
cg05424333,0.544301703,0.515145823,0.16585513,0.526104829,0.080764423,0.914628784,0.090694302,0.507502769
cg05454501,0.517285358,0.593331141,0.567459871,0.584355141,0.640565713,0.593822931,0.086257696,0.586824616
cg05460318,0.937623731,0.941587472,0.928853528,0.931771089,0.955155361,0.327626246,0.897928147,0.911640152
cg05509609,0.935228962,0.959379416,0.935951874,0.962935427,0.937538226,0.925730018,0.951003177,0.956750828
cg05542785,0.560772227,0.58160378,0.614167107,0.597811695,0.729010768,0.555630677,0.668393548,0.588166589
cg05547778,0.567073934,0.063904419,0.479425829,0.042809508,0.612008839,0.055791972,0.452783531,0.052134884
cg05547895,0.532231575,0.544757923,0.507802248,0.958681498,0.77401697,0.823506583,0.924223425,0.941936945
