Labels,FA L 7,FA L 8,FA Lla,FA LLb,FB L 5,FB L 6,FB Lla,FB LLb
cg01066431,0.145068093,0.157477718,0.081129905,0.123524027,0.128086575,0.444351979,0.102548847,0.063450917
cg01078772,0.495954542,0.613864215,0.524503861,0.658110766,0.508013927,0.420122074,0.634593428,0.566615105
cg01094192,0.853188252,0.826286411,0.850800654,0.892382607,0.533796631,0.517403211,0.321426173,0.166047411
cg01094687,0.241089581,0.495120685,0.814706541,0.72568153,0.077432998,0.102826776,0.066367897,0.058600399
cg01094748,0.506690401,0.42285951,0.464193753,0.421967008,0.537482889,0.454301034,0.379708645,0.818049366
cg01101873,0.913417062,0.804140213,0.984875855,0.918486106,0.186950741,0.820676775,0.251535259,0.187211213
cg01104306,0.882024027,0.510237745,0.924437389,0.899326025,0.882994473,0.81295714,0.801577743,0.845791674
cg01126532,0.904113408,0.729041901,0.867261471,0.894733796,0.9038303,0.89121659,0.810614181,0.877912734
cg01156747,0.7414097,0.906860179,0.917330337,0.955755974,0.559946393,0.563347956,0.536871918,0.744086468
cg01165661,0.1767902,0.290078634,0.443737014,0.278853418,0.493326862,0.154446599,0.509044057,0.717735779
cg01169021,0.910211141,0.781797182,0.948933049,0.922105902,0.899635458,0.904863188,0.937812451,0.937201893
cg01180479,0.542854675,0.565175415,0.243558119,0.682698731,0.534172063,0.543177683,0.645959391,0.47278808
cg01196336,0.653918485,0.870781233,0.943791264,0.948897622,0.854762253,0.823696736,0.647912692,0.352601397
cg01208566,0.627220807,0.429491814,0.628790822,0.641297872,0.114712944,0.635230882,0.629846792,0.739960155
cg01218619,0.93149676,0.709816965,0.638965167,0.963927367,0.937343659,0.895051253,0.96646677,0.946645946
cg01219135,0.491050312,0.482661175,0.331930167,0.548077696,0.511479722,0.502694381,0.515759387,0.546395822
cg01223011,0.86623243,0.475693066,0.540004389,0.865631613,0.873277956,0.465008835,0.894520125,0.89958536
cg01242676,0.886650234,0.696981824,0.837423815,0.833408504,0.906603917,0.866281395,0.853927019,0.877006145
cg01248445,0.52239454,0.355209489,0.795203515,0.637603204,0.720478361,0.165303887,0.698196456,0.76380819
cg01270593,0.010263804,0.016203959,0.011591729,0.013054663,0.02233234,0.022379964,0.015468303,0.016448996
cg01274753,0.179882367,0.474490885,0.094976301,0.076291482,0.159607136,0.22791344,0.249554526,0.030456378
cg01293179,0.464871699,0.436786774,0.442658872,0.795915937,0.60797974,0.273822069,0.670049527,0.663248991
cg01301319,0.216509435,0.47459116,0.185024823,0.572340531,0.244219406,0.267424994,0.072441174,0.089520231
cg01309328,0.450831087,0.276336274,0.759600066,0.644524259,0.545325279,0.502918512,0.353743398,0.54546742
cg01314743,0.122085126,0.259852401,0.584279106,0.249927008,0.118276444,0.123299021,0.080134946,0.257855472
cg01324343,0.576388647,0.521371817,0.669505868,0.604878443,0.4584027,0.56891763,0.611474973,0.498650765
cg01351327,0.502662555,0.569511834,0.717511819,0.66465954,0.197023348,0.500412715,0.32038877,0.171515378
cg01359962,0.552006999,0.587183073,0.652141684,0.672104594,0.587183965,0.577392945,0.473186397,0.444252138
cg01365639,0.608595972,0.502278962,0.674634208,0.481931862,0.905949336,0.532915025,0.521438357,0.590508951
cg01396157,0.088460406,0.21215982,0.153229332,0.111280707,0.117325588,0.533282508,0.242361941,0.539675262
cg01426903,0.904148861,0.862585945,0.885162357,0.926789162,0.897500091,0.910823369,0.71679118,0.935838687
cg01435791,0.441704187,0.596966326,0.305739568,0.678370068,0.516794287,0.902565462,0.773514162,0.665485358
cg01439322,0.142499771,0.949628655,0.70675712,0.725992081,0.115080665,0.760842219,0.130226375,0.406283546
cg01484296,0.146128468,0.452189354,0.816611434,0.635092921,0.154070253,0.161207484,0.228239014,0.276933881
cg01485549,0.212811,0.33461775,0.701139819,0.566224149,0.443609075,0.441954088,0.197350149,0.507148443
cg01530154,0.861055871,0.663930539,0.94193858,0.915734116,0.863159142,0.852529672,0.917105434,0.933761342
cg01552731,0.360974516,0.377880558,0.07185556,0.140379682,0.21222741,0.621607775,0.082183343,0.244748115
cg01569709,0.088824215,0.104297098,0.051156649,0.104895956,0.871967085,0.467453401,0.109695432,0.788579843
cg01584932,0.600234324,0.590864141,0.731219246,0.531780967,0.584520578,0.613832811,0.421784246,0.379407584
cg01601299,0.610767888,0.504919107,0.927344166,0.762820143,0.303573847,0.833588366,0.334646369,0.33037869
cg01607530,0.143796445,0.863834725,0.891868625,0.616384353,0.09179101,0.893327091,0.401552981,0.603074083
cg01613691,0.544809696,0.732406665,0.684516772,0.702719956,0.313857657,0.490267506,0.287260274,0.528704471
cg01622416,0.626293206,0.841175581,0.88168214,0.871825263,0.926740022,0.914716887,0.853122471,0.854988332
cg01646323,0.395601699,0.459745673,0.226582737,0.338067807,0.097579016,0.48990896,0.286160378,0.113597305
cg01758314,0.093350407,0.270033956,0.236369269,0.10265767,0.071005733,0.174998694,0.104133697,0.074960389
cg01806192,0.689572529,0.776359456,0.818637645,0.836486031,0.53227799,0.87100518,0.437248725,0.67279869
cg01809217,0.446867943,0.448899171,0.166182898,0.386463316,0.481001849,0.460481559,0.58755784,0.520262498
cg01830073,0.089329139,0.192580252,0.223165029,0.32005102,0.704057379,0.744854672,0.272910203,0.304895505
cg01870826,0.91849999,0.791021579,0.9265749,0.738485875,0.91852193,0.898339075,0.946213724,0.937206262
cg01874867,0.564671675,0.612059726,0.606861565,0.717192605,0.51394637,0.07041576,0.61481252,0.581485465
cg01894498,0.011417434,0.010191091,0.030187166,0.030372431,0.016066898,0.013458104,0.024188009,0.023830871
cg01905633,0.388129486,0.344477142,0.258632664,0.100446694,0.410047892,0.379435165,0.410718314,0.257979404
cg01987333,0.958785852,0.964979943,0.92994754,0.850157297,0.938322733,0.957957364,0.968659485,0.834378968
cg02032841,0.703764258,0.91026296,0.884915569,0.860177199,0.649827714,0.905348562,0.727029606,0.856860251
cg02067022,0.605985925,0.639179186,0.590288427,0.736246409,0.601994604,0.628278155,0.663944636,0.759771825
cg02105042,0.921672376,0.904390541,0.493188892,0.957184589,0.921991145,0.911462429,0.719587183,0.920639947
cg02158486,0.887166377,0.679790076,0.65681941,0.789896803,0.072099508,0.894805217,0.180720185,0.144354875
cg02228675,0.033400523,0.163402626,0.018391497,0.012049196,0.063712996,0.022873408,0.010347776,0.009993764
cg02238549,0.923193133,0.79871721,0.933629413,0.796786536,0.942452618,0.915224282,0.946287076,0.940360775
cg02273436,0.030146102,0.087360832,0.077506699,0.387510734,0.06037574,0.020722047,0.095882634,0.189958657
cg02274366,0.771836615,0.821154536,0.880957825,0.822920616,0.719001893,0.903987933,0.611420542,0.850339675
cg02278114,0.871022648,0.568524079,0.353123073,0.918143905,0.426711809,0.883445397,0.801668635,0.659446861
cg02315096,0.539394534,0.491877079,0.529098091,0.350259696,0.507199134,0.549422988,0.513160871,0.514823461
cg02326224,0.902854292,0.913429617,0.892093616,0.769822887,0.54187033,0.145879605,0.662099047,0.453695856
cg02331649,0.616753348,0.749117497,0.421946737,0.677120128,0.909160154,0.878297051,0.735791073,0.815061448
cg02400092,0.43738221,0.134985869,0.168461757,0.389734669,0.239183865,0.452968964,0.353295232,0.512197698
cg02421962,0.397755259,0.385837544,0.395358622,0.11648525,0.149279769,0.930712519,0.230671324,0.422562271
cg02426999,0.584750686,0.481225664,0.220501323,0.473769955,0.8747576,0.549508896,0.386652458,0.17167527
cg02428792,0.945249749,0.781971355,0.950435033,0.469610237,0.959692579,0.947233564,0.854417773,0.886747837
cg02450064,0.035285957,0.097653454,0.044744706,0.150088263,0.045490565,0.047549429,0.029337328,0.125504544
cg02473254,0.903623553,0.791466202,0.399387346,0.854500074,0.888174393,0.89411017,0.925389815,0.820335728
cg02484210,0.930728449,0.882147179,0.817813991,0.83017635,0.939328331,0.942214438,0.832758302,0.763314242
cg02498063,0.542284263,0.50109471,0.65065634,0.701840015,0.553451392,0.53462924,0.746817384,0.79426498
cg02508651,0.829242846,0.504647858,0.914424489,0.868182017,0.868919418,0.786634732,0.918953762,0.886749465
cg02518216,0.847577388,0.723691614,0.629013847,0.864267371,0.852178968,0.886357267,0.928180917,0.928412081
cg02531924,0.851599706,0.778726123,0.767185406,0.848777683,0.873664373,0.87080238,0.951328896,0.892985401
cg02546490,0.870340648,0.888286234,0.955687118,0.958167213,0.844023377,0.907031957,0.919261072,0.845979663
cg02552250,0.822452007,0.553812186,0.845030243,0.891494226,0.819006377,0.784956251,0.77649121,0.93959234
cg02586712,0.694099103,0.737364306,0.819757743,0.923998818,0.695752219,0.837715673,0.713515435,0.687416116
cg02596779,0.171039624,0.198131627,0.179680361,0.213298066,0.281855924,0.31187683,0.223572598,0.168153455
cg02607237,0.870382343,0.465184581,0.705083359,0.312298087,0.499372643,0.500988793,0.593702046,0.756390367
cg02616710,0.809700192,0.658123464,0.756426465,0.968281683,0.837827753,0.835457394,0.85120801,0.868376612
cg02621481,0.373523775,0.481147209,0.494925617,0.480633843,0.183482997,0.387712057,0.811501554,0.692161092
cg02624836,0.810635828,0.740480962,0.847354532,0.71052835,0.817732747,0.829204359,0.900386829,0.931545857
cg02641400,0.333671402,0.233218012,0.177234539,0.206772233,0.809962998,0.096900072,0.476727219,0.609401901
cg02645340,0.520598276,0.570595649,0.479693062,0.711495714,0.131765728,0.546580631,0.264489886,0.31014266
cg02675527,0.826419946,0.45894635,0.235465449,0.538087077,0.49972245,0.11345999,0.599365411,0.812047444
cg02736908,0.206480857,0.467684042,0.045631652,0.131532705,0.188919477,0.20375191,0.092130058,0.034675948
cg02738086,0.848970667,0.778474969,0.917378497,0.944455076,0.865126362,0.84070296,0.717236318,0.909174591
cg02744588,0.863944602,0.737235622,0.554926304,0.429772294,0.110708564,0.890821332,0.247850836,0.322609486
cg02753027,0.047422414,0.102681422,0.148925659,0.244521831,0.448917036,0.031263165,0.29416985,0.275010169
cg02796478,0.42800443,0.463709892,0.375595122,0.350349444,0.370340242,0.539362051,0.186660819,0.207418404
cg02799427,0.487099779,0.862929503,0.859418039,0.850584556,0.880928836,0.446309299,0.814561553,0.727802574
cg02872426,0.949192873,0.775100774,0.819370902,0.90283826,0.938866349,0.936903608,0.859214404,0.891444262
cg02881189,0.527023096,0.792499674,0.227844535,0.305769244,0.093055953,0.880704342,0.775800809,0.529494892
cg02942766,0.881924314,0.465911859,0.872668658,0.381238305,0.483179304,0.8562042,0.450104799,0.182359806
cg02971253,0.418113421,0.587360078,0.882366064,0.649454319,0.437485991,0.747316017,0.369471363,0.724877968
cg03041510,0.571040595,0.551235447,0.742345807,0.594923542,0.681056452,0.668214589,0.752932126,0.700220378
cg03047995,0.84169728,0.579186208,0.929576735,0.917884124,0.11679011,0.805639834,0.092315595,0.410644196
cg03095800,0.113133637,0.159620719,0.078438978,0.154286003,0.491893793,0.575000954,0.155542478,0.550269547
cg03147184,0.370400598,0.483146465,0.152398982,0.340378077,0.482053872,0.482667754,0.222481915,0.178514224
cg03176993,0.212557304,0.219753257,0.74278282,0.542284615,0.064659026,0.078269364,0.091783729,0.13859557
cg03179435,0.541670998,0.515486301,0.93770683,0.729496869,0.573815714,0.911365397,0.908892749,0.847318275
cg03190769,0.795486311,0.700987159,0.345835405,0.89069546,0.446090586,0.817318257,0.500624084,0.909997713
cg03207666,0.960621419,0.884977316,0.91877448,0.924725575,0.922029876,0.9105117,0.963128696,0.956476716
cg03209871,0.071400798,0.251162318,0.057249087,0.188608875,0.094270094,0.342471605,0.099022649,0.048194031
cg03242666,0.85051387,0.846543287,0.582046868,0.617300036,0.855568205,0.873438332,0.540005919,0.462538623
cg03270395,0.839793635,0.604244762,0.915262458,0.567151227,0.848721038,0.831692083,0.853578833,0.854175978
cg03271533,0.854741094,0.622638325,0.512376942,0.48881627,0.537924018,0.867347716,0.68697169,0.313959394
cg03278811,0.189361065,0.380120227,0.138493586,0.081597437,0.247999674,0.24160837,0.20663355,0.276557452
cg03297163,0.884992883,0.484419313,0.834613955,0.905480106,0.892392999,0.849494409,0.967807439,0.946131295
cg03315344,0.637728223,0.785566357,0.771121342,0.720283307,0.707599839,0.818619233,0.61301352,0.538884237
cg03325664,0.716628194,0.682789183,0.892877644,0.800404406,0.867651999,0.868671301,0.897597586,0.883339484
cg03330678,0.768129271,0.617509646,0.879148056,0.7352772,0.483505752,0.831189769,0.761152037,0.788812482
cg03370951,0.632338853,0.470349446,0.534625059,0.483876056,0.522439929,0.509398783,0.838107774,0.777234173
cg03395511,0.66809627,0.697426729,0.718085885,0.74085,0.689281394,0.666272829,0.750652359,0.755407797
cg03421353,0.428238532,0.603781001,0.655369252,0.521631804,0.093410379,0.468364177,0.07286954,0.368866235
cg03428047,0.922279082,0.614358186,0.608395182,0.797959223,0.885367104,0.856128712,0.877892205,0.668543551
cg03428864,0.860010851,0.626521674,0.803869599,0.721037224,0.841819156,0.839375933,0.932002461,0.768832421
cg03433986,0.099782548,0.192946116,0.171172082,0.296171875,0.463991392,0.119157035,0.334085423,0.085991894
cg03444077,0.504016546,0.519771119,0.422677184,0.316823387,0.526011454,0.52044111,0.444628827,0.422250142
cg03481509,0.23949533,0.814124532,0.538425028,0.437719785,0.569580084,0.571299923,0.61354095,0.640794826
cg03520938,0.972499348,0.944579412,0.73454419,0.966399318,0.957898555,0.966853781,0.942373332,0.936033103
cg03556313,0.658719563,0.436455932,0.367514933,0.3182674,0.738687113,0.750554941,0.810637504,0.549184656
cg03611551,0.602518495,0.573944645,0.934845689,0.920375491,0.868604563,0.87741845,0.826155613,0.941313519
cg03646740,0.282965898,0.393468019,0.347051318,0.645031515,0.111062174,0.221544185,0.127395141,0.532009944
cg03669367,0.54065818,0.510331344,0.703097079,0.075749517,0.620923747,0.525278593,0.637837501,0.706116776
cg03695236,0.442360222,0.413203918,0.141753356,0.56470285,0.416570928,0.411455829,0.229213352,0.404082918
cg03706720,0.84252493,0.805971142,0.359836324,0.919992267,0.842058422,0.862932623,0.625376245,0.667893243
cg03721454,0.122827785,0.376721678,0.031988484,0.105600963,0.551434289,0.115435665,0.200085708,0.057758909
cg03738707,0.973947298,0.873071607,0.962837792,0.969002589,0.971795827,0.973378284,0.98100141,0.969860807
cg03753385,0.288696844,0.409107627,0.229286661,0.289066398,0.510973977,0.503187098,0.793215446,0.342549972
cg03755052,0.37199999,0.450807131,0.123882071,0.533467218,0.403178919,0.426831222,0.433905038,0.712980875
cg03804621,0.532323123,0.546196529,0.448311166,0.750034486,0.529109219,0.52746772,0.479419532,0.531810988
cg03826642,0.455830072,0.404776755,0.410862053,0.162316959,0.439389584,0.430005136,0.458087088,0.775619376
cg03848129,0.017255804,0.039468001,0.026130622,0.020001065,0.01935875,0.025612496,0.015274451,0.019186951
cg03880506,0.854132475,0.720149762,0.640634651,0.502454192,0.464052877,0.967805663,0.39998359,0.813955189
cg03880611,0.282716353,0.585432379,0.774556667,0.740008381,0.513010701,0.136482022,0.496842004,0.706014302
cg03889540,0.777087858,0.773460073,0.453285964,0.815135444,0.653924557,0.909764121,0.611135903,0.648555233
cg03894068,0.773383491,0.744672323,0.955272949,0.963683981,0.893177451,0.848597306,0.902141662,0.905329966
cg03898952,0.862002218,0.682775144,0.883595403,0.797827799,0.88879691,0.864448415,0.915428426,0.948641188
cg03906434,0.052517541,0.276747927,0.016777238,0.055418558,0.054666764,0.07666292,0.019317588,0.018636354
cg04006327,0.487415651,0.564146849,0.405008762,0.612385872,0.186428568,0.542981832,0.230169836,0.030395601
cg04019914,0.407356697,0.511539227,0.464048675,0.714350428,0.360336082,0.461495874,0.507924304,0.516721269
cg04036777,0.471084986,0.445427082,0.12351615,0.314465279,0.490015152,0.475844073,0.516126095,0.500101742
cg04060561,0.404698278,0.440794123,0.279311355,0.651025986,0.16294894,0.193905708,0.670929937,0.272878994
cg04064054,0.435010305,0.896852709,0.260626826,0.688379233,0.06074059,0.910547391,0.469902807,0.393781494
cg04070847,0.398004633,0.045667934,0.455486825,0.2510041,0.913136596,0.505436372,0.841596718,0.748227599
cg04131969,0.945912073,0.940919239,0.922240149,0.885436742,0.936785598,0.947873052,0.93580287,0.897296183
cg04141796,0.574932367,0.510637849,0.81882483,0.763724473,0.589310813,0.562328836,0.694380417,0.82100975
cg04156219,0.128621606,0.194151248,0.123640175,0.67162004,0.928976695,0.091145691,0.931296588,0.805204557
cg04176472,0.569834755,0.716535578,0.316827896,0.775556556,0.615006492,0.831327761,0.747706331,0.812979654
cg04178523,0.567820773,0.673584983,0.403093953,0.448198948,0.099999981,0.557058935,0.222892888,0.552670065
cg04216235,0.670273265,0.617373823,0.93652307,0.872988522,0.411036446,0.896537678,0.789182908,0.641281703
cg04217706,0.834737799,0.710124452,0.922620652,0.85421006,0.843400068,0.843114724,0.901311461,0.912769296
cg04264002,0.688350031,0.460469157,0.637016497,0.177884778,0.113676084,0.497462359,0.190527543,0.248824262
cg04362989,0.618874878,0.704665637,0.544755123,0.815065122,0.518961384,0.51968147,0.606457051,0.594561584
cg04391463,0.426872915,0.429167109,0.172697136,0.070832643,0.430325303,0.430161443,0.528548712,0.344275629
cg04410756,0.94136835,0.909540767,0.73486106,0.845227376,0.927628648,0.931792011,0.727833092,0.638095734
cg04454285,0.486066541,0.475215539,0.510624396,0.427810388,0.063948267,0.479134963,0.0286535,0.21911992
cg04481923,0.947368376,0.902019112,0.936086451,0.896622407,0.945425895,0.946811397,0.93744937,0.867056732
cg04520704,0.886710797,0.815583548,0.937322819,0.930703689,0.882929273,0.894987798,0.898144649,0.928497275
cg04522575,0.765264766,0.761002414,0.853074875,0.953169057,0.387822851,0.890459827,0.711209013,0.71871736
cg04547181,0.111208855,0.206163983,0.201275198,0.157436945,0.108274787,0.249806251,0.129418341,0.201033102
cg04548463,0.547571333,0.74394494,0.608158542,0.515672199,0.076197054,0.486931321,0.125213002,0.077046934
cg04605697,0.59642572,0.536452417,0.826761593,0.709935374,0.150440001,0.140050118,0.181016726,0.618517768
cg04630490,0.831854427,0.791020524,0.887205205,0.828108,0.476000565,0.468906611,0.511052758,0.638923483
cg04653913,0.155630359,0.338118714,0.051058585,0.160097462,0.140964635,0.171941002,0.123387193,0.045137665
cg04657146,0.063067882,0.06768284,0.033182906,0.048397001,0.050071929,0.056967315,0.034242699,0.015730628
cg04671734,0.923144353,0.686507735,0.971513287,0.760244505,0.916802197,0.893436144,0.917375744,0.958055295
cg04672622,0.491748991,0.524469615,0.602795182,0.444243372,0.509993031,0.499200527,0.549406878,0.632597972
cg04672903,0.749656869,0.671974881,0.539923839,0.634553431,0.744268922,0.731530159,0.718498827,0.775334027
cg04713352,0.550094157,0.53716931,0.866990961,0.703127014,0.558715365,0.513243569,0.681616718,0.577823115
cg04726821,0.921068889,0.734657818,0.871854627,0.851944695,0.910642919,0.904157851,0.90951038,0.908962521
cg04736911,0.271930658,0.583323836,0.417837571,0.675998012,0.521310153,0.516244488,0.48562415,0.626752405
cg04737881,0.908058289,0.651847662,0.771710482,0.70972452,0.916669728,0.048534507,0.502194647,0.249678648
cg04741118,0.453076006,0.546014609,0.823633632,0.659095466,0.470561946,0.619983955,0.694307223,0.805514668
cg04748010,0.932330513,0.936788677,0.903056096,0.920008747,0.927917413,0.531024594,0.586620588,0.886645261
cg04781305,0.344974929,0.264727644,0.067387649,0.213709209,0.075392617,0.102166343,0.052353102,0.249327437
cg04783231,0.031929747,0.037127605,0.208902307,0.085264103,0.066182217,0.030207619,0.091715901,0.217318712
cg04811114,0.501603451,0.479137351,0.827410365,0.81905382,0.460783307,0.565568957,0.515060711,0.739296954
cg04876069,0.969909932,0.837500224,0.959947444,0.96784002,0.647117316,0.917065636,0.908363266,0.91931808
cg04885881,0.49285193,0.156641035,0.199997086,0.280246284,0.088736303,0.386408141,0.081182491,0.089745561
cg04889800,0.029612582,0.157120241,0.040086407,0.047473406,0.045521188,0.036210446,0.024452419,0.024322597
cg04908961,0.135030471,0.501708277,0.101552712,0.541825806,0.479000731,0.490081361,0.328677011,0.905095715
cg04931238,0.950857027,0.876793337,0.85813752,0.897357549,0.517009244,0.94520589,0.907696518,0.559398522
cg04981007,0.278729005,0.344482967,0.294079614,0.394351744,0.217305137,0.466526211,0.166931988,0.249079871
cg05004973,0.521397612,0.563846009,0.582664951,0.888457259,0.406891057,0.50612246,0.194977974,0.112027655
cg05005343,0.937823653,0.666489004,0.511281538,0.803710643,0.554705492,0.571491793,0.664710956,0.552866058
cg05020125,0.333828249,0.350461192,0.248979472,0.467765985,0.44732496,0.357158095,0.740006429,0.763973106
cg05030553,0.779435124,0.620511458,0.828668173,0.962774032,0.798339805,0.865101894,0.785025306,0.865358311
cg05090351,0.141694614,0.341123682,0.105857202,0.632925518,0.102663697,0.168187669,0.10055314,0.067480042
cg05149097,0.061730727,0.141156129,0.147897815,0.321603463,0.068074893,0.052097896,0.131751836,0.769694664
cg05168764,0.818267001,0.748634639,0.868826129,0.957607171,0.860806671,0.823755227,0.784984193,0.825304927
cg05180717,0.913685911,0.82547125,0.884845565,0.865282817,0.915304865,0.917814211,0.907767644,0.910178253
cg05182265,0.199564343,0.712587216,0.346421437,0.475981735,0.105850504,0.450387256,0.341783712,0.597277569
cg05254095,0.6784288,0.722166155,0.403790605,0.391950308,0.691817188,0.685405128,0.545811379,0.462814375
cg05275595,0.539499961,0.732364826,0.855244695,0.934345831,0.659182114,0.865898792,0.188998999,0.509337967
cg05277122,0.960601182,0.984170806,0.961947802,0.986775001,0.980711881,0.975333799,0.363030437,0.257848909
cg05292376,0.82726253,0.791030564,0.910858786,0.841822294,0.418417443,0.828851741,0.619209359,0.595127801
cg05307301,0.870144244,0.564145021,0.947555919,0.650188854,0.563073194,0.863601271,0.679954268,0.343113898
cg05308504,0.483391331,0.427940644,0.363718059,0.474443427,0.451711526,0.443856094,0.514067535,0.506395502
cg05353869,0.467679114,0.49362525,0.693192043,0.455181048,0.512285953,0.533443421,0.538586668,0.311109918
cg05360958,0.604172269,0.705761689,0.936862092,0.917243617,0.934399989,0.910979223,0.859300753,0.721327554
cg05365735,0.748993342,0.784602773,0.842353231,0.901390642,0.333029131,0.538628473,0.743631428,0.567815186
cg05371332,0.913066332,0.872376377,0.744833684,0.868592586,0.893750062,0.892184776,0.909645678,0.812789631
cg05379541,0.873852439,0.715147181,0.901021168,0.914448719,0.80340751,0.773417202,0.892373063,0.772028876
cg05385718,0.404049995,0.380507415,0.236782863,0.129245913,0.421329558,0.427401409,0.420892021,0.368164384
cg05403689,0.110743868,0.437147439,0.401237696,0.578494944,0.166617282,0.170507229,0.537927072,0.442346107
cg05424333,0.544705538,0.539773931,0.715086653,0.581079553,0.082252466,0.510927024,0.122036791,0.10855434
cg05454501,0.577846281,0.542516083,0.637917786,0.752813932,0.575024716,0.555127106,0.696058589,0.649710547
cg05460318,0.910244761,0.759803305,0.966804834,0.721210602,0.910121544,0.895638892,0.972584869,0.988405507
cg05509609,0.064414182,0.162402075,0.053004071,0.240365174,0.078538536,0.092995099,0.110486273,0.054090509
cg05542785,0.035453624,0.040461568,0.059320157,0.082422451,0.031042713,0.031313934,0.026663888,0.051890932
cg05547778,0.022987561,0.015750847,0.026047991,0.071262239,0.021006904,0.152697706,0.028118454,0.040243961
cg05547895,0.911486665,0.503455943,0.812687065,0.712339103,0.929519385,0.925021515,0.723201862,0.782409416
