Labels,UA L 1,UA  L 2,UB L 3,UB 4,UB L -1,UA L -2,UA L -3,UB L -4
cg00930606,0.178854662,0.490222183,0.173535244,0.177346282,0.120823037,0.149810815,0.292305783,0.235812689
cg00953006,0.652805175,0.590052373,0.652252771,0.75614674,0.795080963,0.614595633,0.560240233,0.685725239
cg00973118,0.796175234,0.880429452,0.839462027,0.864584784,0.800121312,0.883536307,0.758987435,0.823703188
cg00980622,0.308766442,0.416830464,0.241735654,0.233983694,0.265018028,0.214352645,0.282343659,0.203493535
cg01000188,0.307615589,0.665499335,0.16315938,0.539577641,0.464027769,0.310032884,0.533076559,0.510795465
cg01017147,0.831178925,0.899910398,0.866949051,0.892151519,0.889334957,0.888059109,0.835938065,0.877952069
cg01066431,0.384836312,0.388039464,0.449470338,0.456679631,0.402217688,0.587211561,0.468317004,0.413276082
cg01078772,0.739189056,0.831487753,0.464805849,0.543886779,0.404739594,0.696622921,0.81465936,0.490083478
cg01094192,0.725786015,0.630697991,0.588689009,0.61398042,0.655687452,0.85001048,0.674480525,0.614817375
cg01094687,0.378442479,0.066624264,0.047886135,0.21049836,0.07950292,0.447491157,0.044086957,0.049416775
cg01094748,0.846315845,0.912575873,0.898876109,0.915478725,0.893004608,0.864529874,0.901457546,0.93745848
cg01101873,0.886489846,0.940220597,0.85061764,0.641265152,0.876312325,0.851247675,0.896012448,0.609974279
cg01104306,0.59880333,0.669726793,0.877694335,0.643360529,0.623336087,0.665345624,0.557445314,0.619700602
cg01126532,0.473908397,0.389600273,0.346566031,0.347957097,0.313644625,0.370757521,0.395976195,0.324555277
cg01156747,0.086806416,0.071831064,0.083529101,0.384018266,0.078589044,0.063214998,0.087486253,0.070992824
cg01165661,0.406517095,0.625865385,0.18670315,0.172123855,0.216598495,0.420165777,0.46425719,0.154842189
cg01169021,0.939174326,0.944775662,0.930502826,0.94008613,0.939275698,0.949433203,0.941166146,0.902172945
cg01180479,0.986784709,0.988736118,0.989110013,0.989898606,0.989170234,0.98802376,0.975684278,0.989496277
cg01196336,0.816670961,0.858799023,0.547047529,0.809675914,0.808867415,0.915981745,0.834890308,0.714355714
cg01208566,0.424701237,0.682363991,0.547647922,0.650429879,0.784582781,0.645811457,0.650803567,0.507170275
cg01218619,0.509552347,0.475710452,0.571195176,0.476043705,0.456020211,0.47526778,0.437988005,0.423388528
cg01219135,0.11158428,0.095333248,0.091045525,0.092034111,0.104446782,0.093924552,0.10192713,0.091370336
cg01223011,0.558318206,0.567109514,0.858601892,0.87717436,0.920026642,0.537926158,0.604573102,0.918739136
cg01242676,0.539635241,0.560257867,0.180517029,0.478525411,0.385252699,0.636528614,0.448609469,0.131450447
cg01248445,0.629120399,0.86615235,0.658896112,0.800348474,0.867249059,0.814325796,0.86742035,0.79215576
cg01270593,0.943754518,0.963955175,0.972645762,0.964039872,0.958453706,0.965174307,0.945269453,0.952912812
cg01274753,0.0776595,0.060646465,0.067854437,0.054049799,0.040169875,0.034280114,0.205229141,0.039011022
cg01293179,0.324266089,0.489511645,0.393662064,0.477396399,0.48849565,0.343280543,0.354861871,0.521021407
cg01301319,0.163736512,0.104948587,0.159924456,0.135158262,0.108860571,0.094461067,0.217977455,0.091784907
cg01309328,0.296753669,0.445695739,0.289216568,0.241860232,0.243752425,0.338603647,0.422758047,0.547332842
cg01314743,0.166440124,0.4111854,0.121393652,0.13385168,0.28707359,0.094727333,0.421380732,0.186984448
cg01324343,0.79355416,0.951091917,0.921112139,0.894077838,0.88278163,0.854776855,0.97489054,0.970959001
cg01351327,0.520343239,0.517780515,0.496931141,0.559812148,0.591417598,0.500619142,0.541789198,0.505498235
cg01359962,0.423126888,0.934435723,0.68901328,0.707330427,0.682546983,0.390018621,0.851054358,0.59590588
cg01365639,0.348756468,0.213242925,0.506480701,0.596873488,0.64611287,0.049532468,0.559842277,0.668575025
cg01396157,0.902049283,0.899188287,0.910163366,0.893760943,0.908773451,0.931927753,0.941441911,0.895762544
cg01426903,0.492978637,0.891365455,0.645467411,0.656584294,0.675359374,0.652600031,0.917382043,0.706207895
cg01435791,0.880849837,0.641567819,0.481906975,0.662903659,0.481367759,0.659477931,0.656532037,0.492831847
cg01439322,0.440469705,0.693619917,0.640172313,0.59346835,0.54770568,0.617978597,0.635662193,0.779331303
cg01484296,0.102405609,0.060793799,0.049133892,0.056623007,0.063457874,0.089895544,0.104830152,0.101759635
cg01485549,0.482601999,0.766991617,0.155890651,0.401540834,0.346582251,0.485483489,0.804520929,0.244948358
cg01530154,0.845273477,0.685390657,0.9011142,0.897719023,0.901010681,0.926027712,0.675976761,0.92191267
cg01552731,0.365345189,0.535315254,0.520707294,0.467800629,0.362246957,0.616206521,0.618912612,0.393738814
cg01569709,0.044665632,0.226336855,0.355697746,0.378165356,0.332569364,0.106622308,0.037105436,0.330296669
cg01584932,0.485322242,0.871405434,0.808974023,0.836303079,0.787546631,0.867902118,0.922847758,0.903700196
cg01601299,0.353865341,0.794618059,0.510392945,0.455387766,0.439780244,0.784507006,0.668101994,0.514347212
cg01607530,0.519827548,0.794145965,0.908769444,0.885877158,0.918159178,0.393508017,0.642173465,0.928042782
cg01613691,0.790002006,0.944869184,0.892406773,0.944959522,0.897104037,0.939516114,0.893162557,0.903227222
cg01622416,0.584753247,0.55601483,0.724250759,0.539111364,0.508590823,0.560541858,0.584178759,0.532503364
cg01646323,0.423845842,0.597116129,0.472718093,0.59360482,0.457208161,0.485694048,0.57033162,0.335851982
cg01758314,0.050537929,0.053458656,0.068123117,0.091359385,0.05935027,0.039302102,0.037679066,0.052141211
cg01806192,0.239533025,0.311257076,0.298448392,0.265694446,0.456626095,0.328120186,0.44706083,0.215727072
cg01809217,0.080238724,0.088470778,0.092899028,0.081413356,0.043269242,0.080280969,0.065741162,0.07881957
cg01830073,0.614932225,0.512026839,0.085748837,0.177291308,0.089925284,0.195376756,0.715711339,0.09762244
cg01870826,0.893016446,0.946463545,0.925337392,0.934724691,0.938340754,0.918374619,0.932161586,0.932256102
cg01874867,0.398955767,0.420805733,0.401318981,0.095087967,0.335056817,0.441476274,0.445181779,0.069583253
cg01894498,0.019283934,0.013752062,0.012763456,0.014188023,0.015360901,0.017746459,0.022390098,0.019725584
cg01905633,0.919693025,0.848388282,0.916070779,0.922633901,0.950328949,0.892474089,0.940724173,0.905680945
cg01987333,0.652849606,0.598892087,0.924353984,0.953178818,0.937451841,0.521517058,0.507228715,0.926674498
cg02032841,0.087899208,0.455472378,0.073871559,0.063369709,0.246309424,0.067116943,0.416834397,0.094519881
cg02067022,0.698376052,0.701077373,0.644908072,0.737484283,0.683035356,0.653766352,0.700939438,0.639252748
cg02105042,0.872628925,0.886104085,0.569820483,0.434404736,0.416144718,0.881107867,0.860732644,0.369713938
cg02158486,0.87473538,0.941231949,0.883311588,0.916212457,0.94109686,0.927123974,0.904483828,0.914838657
cg02228675,0.015892085,0.01321193,0.012999172,0.018266434,0.014133746,0.01267401,0.016406554,0.020532468
cg02238549,0.398465901,0.393190436,0.047384582,0.417756317,0.427814624,0.475887969,0.367556854,0.386331717
cg02273436,0.049301538,0.268687057,0.029954132,0.032181476,0.041461176,0.112387012,0.395658447,0.032054379
cg02274366,0.416577136,0.207570554,0.178723955,0.507383999,0.39340854,0.284009765,0.356556952,0.258378132
cg02278114,0.571822909,0.631812157,0.59924431,0.62294693,0.632581641,0.742583321,0.642567185,0.590051212
cg02315096,0.553259049,0.60080568,0.56073245,0.518399712,0.498535943,0.517223805,0.534375014,0.529336011
cg02326224,0.215841345,0.082495253,0.074730309,0.099917505,0.092124364,0.132389794,0.095538973,0.106844002
cg02331649,0.329277354,0.649934557,0.836138952,0.653654656,0.894975532,0.058518675,0.691363547,0.871131876
cg02400092,0.019258204,0.022694241,0.023237278,0.024263748,0.033921615,0.023809831,0.031704648,0.047493527
cg02421962,0.161820938,0.393512378,0.38700164,0.374945355,0.38673332,0.379984154,0.405808723,0.36275756
cg02426999,0.887394132,0.675883563,0.487220187,0.675382228,0.775065245,0.783476338,0.758265174,0.686621999
cg02428792,0.472440101,0.544409441,0.582928572,0.484395199,0.425972483,0.518049222,0.449227328,0.528554406
cg02450064,0.052669291,0.055036529,0.054587159,0.086948551,0.064251198,0.043821715,0.038742141,0.044117201
cg02473254,0.480712267,0.641462834,0.552496746,0.5854128,0.602190893,0.547840493,0.642649518,0.584192303
cg02484210,0.869160232,0.635669223,0.926657731,0.926516585,0.803444656,0.898521459,0.9096825,0.887010703
cg02498063,0.862323838,0.855513923,0.676418723,0.655701368,0.750682894,0.87664953,0.871553052,0.681524538
cg02508651,0.815168054,0.803258451,0.649638423,0.846385304,0.870233146,0.779758094,0.680646724,0.801531527
cg02518216,0.893150052,0.90807871,0.804292381,0.882094636,0.870205422,0.89074166,0.891823273,0.907346867
cg02531924,0.851376351,0.694343582,0.600612082,0.760971329,0.810415219,0.853105311,0.869952219,0.699692604
cg02546490,0.780292441,0.846223835,0.878311704,0.86883512,0.838669384,0.809998096,0.850064668,0.825477891
cg02552250,0.477548719,0.666947354,0.405650783,0.407442791,0.348141273,0.458791459,0.484805101,0.409335632
cg02586712,0.244324856,0.579704729,0.113453964,0.337006302,0.187249565,0.386142347,0.423117887,0.210136351
cg02596779,0.766812001,0.830366477,0.745758436,0.807580872,0.860964238,0.79022773,0.892221433,0.771008151
cg02607237,0.580158761,0.57237696,0.141646648,0.389884575,0.359890578,0.583124347,0.535920781,0.337034938
cg02616710,0.860080929,0.860934747,0.866869503,0.88015181,0.880559441,0.866251743,0.841195848,0.894331282
cg02621481,0.079099546,0.083597116,0.061942724,0.040444826,0.050958195,0.045826772,0.077583499,0.074914323
cg02624836,0.369867508,0.318762153,0.498012017,0.386472621,0.432137477,0.341705704,0.375670272,0.42208636
cg02641400,0.689468269,0.436868972,0.704396889,0.696864715,0.622665088,0.843481045,0.649117843,0.735805802
cg02645340,0.042058733,0.041684432,0.044752194,0.036539834,0.041895857,0.033057283,0.044796431,0.032176467
cg02675527,0.333391191,0.607174757,0.205948067,0.208909012,0.326472857,0.294797729,0.641339502,0.213647003
cg02736908,0.888198286,0.834707123,0.883716261,0.88681522,0.879993907,0.891687858,0.908794549,0.901434181
cg02738086,0.63022371,0.827079506,0.58184764,0.619658353,0.526397993,0.805645242,0.747748155,0.435065367
cg02744588,0.473807786,0.663261069,0.48521063,0.730869757,0.702154379,0.423522118,0.504465179,0.58519525
cg02753027,0.675953441,0.947903248,0.703182611,0.500138977,0.675813099,0.926015124,0.881692959,0.682837148
cg02796478,0.052973774,0.174286155,0.047135175,0.06140107,0.050074241,0.071517571,0.05872585,0.213843294
cg02799427,0.500196073,0.764673725,0.55095036,0.587290791,0.638539073,0.727695224,0.672011271,0.68683625
cg02872426,0.942228677,0.9220791,0.080644012,0.132416298,0.415696015,0.059686853,0.92063944,0.239455729
cg02881189,0.629693281,0.894874636,0.85237811,0.731017465,0.887617902,0.549607241,0.755937871,0.86129947
cg02942766,0.813545805,0.929563865,0.683281085,0.904242032,0.904303163,0.915156839,0.918593159,0.900199427
cg02971253,0.369106406,0.103901905,0.290863814,0.29965315,0.263653179,0.412954121,0.275419459,0.266052484
cg03041510,0.578074417,0.719072098,0.679671551,0.813276245,0.819084045,0.694952854,0.814511373,0.628970965
cg03047995,0.772622357,0.822123553,0.767360614,0.543594827,0.576813922,0.533314038,0.823611355,0.633070006
cg03095800,0.195819412,0.213044895,0.434885969,0.437614982,0.264912016,0.267806285,0.359083958,0.587671825
cg03147184,0.569933829,0.464360202,0.541103942,0.64843564,0.595021142,0.430990524,0.465758253,0.585137776
cg03176993,0.331091344,0.840727575,0.358053435,0.624539485,0.634293119,0.677279454,0.437264397,0.090729546
cg03179435,0.895421286,0.883571955,0.540941155,0.471738975,0.643528576,0.857330085,0.73344713,0.576988999
cg03190769,0.684207555,0.916440746,0.618370124,0.887179368,0.795196045,0.584975989,0.783070272,0.872749399
cg03207666,0.098281651,0.070070072,0.091018318,0.146691162,0.128644684,0.13021237,0.076493107,0.194796706
cg03209871,0.096230886,0.440921494,0.559218121,0.423541615,0.185123645,0.19455623,0.386223928,0.504122215
cg03242666,0.839791849,0.87563368,0.847499003,0.875060874,0.851351254,0.864346304,0.834213337,0.815702845
cg03270395,0.485235174,0.440305435,0.537143383,0.533630383,0.378550853,0.40892467,0.267365497,0.278389506
cg03271533,0.846618195,0.529203291,0.167784447,0.2811086,0.3681567,0.657655024,0.710019514,0.160133538
cg03278811,0.142503616,0.090582505,0.09313719,0.135534725,0.080799256,0.073832455,0.111842873,0.082791794
cg03297163,0.949499084,0.967471493,0.970360399,0.969123313,0.952032785,0.947798967,0.964126,0.939600015
cg03315344,0.872830651,0.779798012,0.900042984,0.861952612,0.919677635,0.920003735,0.906934882,0.911521622
cg03325664,0.703221818,0.635169223,0.83711374,0.863938107,0.844454036,0.691423817,0.471665323,0.875603081
cg03330678,0.599178787,0.555342711,0.48165494,0.543628318,0.416663733,0.435882943,0.578375123,0.366444454
cg03370951,0.891144185,0.865736167,0.894472519,0.862065254,0.911242224,0.93402403,0.84691337,0.88382042
cg03395511,0.633259569,0.560249214,0.573511576,0.549147695,0.535774898,0.503790498,0.458680091,0.50717036
cg03421353,0.593231722,0.450232652,0.534902491,0.54192456,0.466435812,0.34592183,0.482354896,0.545095292
cg03428047,0.438041354,0.15712556,0.43926705,0.446019219,0.393532241,0.476736629,0.301094509,0.22609032
cg03428864,0.865061638,0.89790279,0.892807902,0.906943803,0.917265309,0.877980968,0.903540243,0.935434753
cg03433986,0.56455012,0.437029381,0.413151128,0.438398618,0.462979356,0.501379736,0.57164711,0.521250685
cg03444077,0.038923252,0.154494944,0.261450034,0.468899524,0.42675197,0.042692543,0.12555276,0.423310193
cg03481509,0.533726583,0.357386525,0.309076915,0.29461878,0.329099233,0.467297353,0.411016933,0.130552947
cg03520938,0.308632223,0.271001075,0.543292203,0.585824431,0.846984949,0.14510329,0.520309675,0.63368346
cg03556313,0.4589211,0.73020749,0.586152962,0.617014824,0.555562304,0.717356913,0.765000569,0.519033672
cg03611551,0.404345905,0.497552058,0.453707679,0.48234182,0.489330913,0.518210185,0.734003279,0.564129445
cg03646740,0.159673125,0.535475362,0.106943949,0.153080432,0.190687522,0.319245837,0.497173955,0.205513309
cg03669367,0.413140597,0.299088437,0.502832328,0.574071033,0.438648994,0.419196054,0.288690189,0.704726065
cg03695236,0.742600629,0.560879196,0.901437592,0.916948782,0.912753464,0.579092673,0.577463153,0.783479735
cg03706720,0.369935916,0.581583471,0.388239818,0.474276648,0.698505567,0.641799216,0.77083927,0.520211373
cg03721454,0.543932225,0.874168172,0.889357807,0.927302754,0.717065328,0.499951919,0.458868285,0.907749762
cg03738707,0.030960231,0.030258435,0.026175387,0.025527358,0.033031507,0.030283447,0.031892997,0.038920411
cg03753385,0.630871226,0.728423886,0.732490856,0.773823196,0.838964152,0.656341897,0.658110834,0.70685669
cg03755052,0.937605369,0.949992373,0.927081525,0.946389472,0.938685094,0.938771354,0.941119523,0.930700919
cg03804621,0.049193162,0.057866229,0.051841803,0.046246395,0.12372742,0.050559689,0.047893974,0.082067377
cg03826642,0.56426386,0.537996077,0.569995598,0.623039812,0.687009595,0.349604984,0.29394553,0.665657096
cg03848129,0.704389384,0.682724093,0.692089071,0.674072493,0.625973102,0.627814293,0.617412879,0.62575917
cg03880506,0.664401627,0.742520028,0.723376703,0.673117839,0.829777742,0.655423718,0.738149248,0.659228897
cg03880611,0.925974542,0.94751075,0.90931737,0.81888634,0.928436517,0.931931501,0.94053008,0.90191787
cg03889540,0.487833142,0.278553086,0.56318166,0.543067325,0.588832919,0.47191496,0.279016914,0.537344303
cg03894068,0.635117414,0.649702877,0.78130069,0.825696978,0.763158761,0.658348999,0.616414182,0.690765029
cg03898952,0.069430558,0.078331969,0.053280305,0.069313646,0.053174662,0.058874305,0.059531711,0.05113408
cg03906434,0.544443769,0.019110062,0.626796885,0.627670324,0.630273902,0.438830268,0.034757893,0.611780232
cg04006327,0.527587532,0.814577186,0.406626338,0.486981918,0.471989094,0.668040956,0.762817502,0.503592074
cg04019914,0.508580342,0.584759498,0.538034632,0.525367045,0.505741056,0.523839792,0.56255729,0.579501651
cg04036777,0.707132189,0.751164374,0.763142074,0.753854977,0.671037493,0.688186793,0.699964084,0.656980101
cg04060561,0.425621239,0.57615482,0.552334974,0.430343261,0.394828519,0.524771152,0.571446007,0.24124298
cg04064054,0.03480421,0.398259114,0.659349814,0.360333425,0.262694006,0.382317454,0.317049185,0.394567562
cg04070847,0.472713685,0.916877915,0.746221002,0.71295195,0.543402686,0.647043508,0.907422946,0.575411929
cg04131969,0.91906061,0.933924509,0.930265202,0.929486039,0.92174638,0.914932906,0.920595528,0.886807297
cg04141796,0.687880544,0.682616267,0.48489626,0.493690287,0.46861082,0.683716994,0.679816257,0.39479298
cg04156219,0.903996294,0.928399513,0.931756166,0.936508721,0.927252845,0.932429035,0.927003747,0.897250733
cg04176472,0.210402111,0.599289025,0.505423326,0.444764779,0.591244275,0.482484693,0.603916038,0.238980983
cg04178523,0.482082427,0.153721299,0.097415461,0.070917053,0.074381442,0.451394371,0.400449181,0.064402625
cg04216235,0.61652641,0.886140347,0.641998583,0.902436298,0.920223275,0.62348657,0.683248067,0.919059184
cg04217706,0.878320695,0.88943173,0.846381008,0.872895592,0.899551998,0.889311148,0.888832651,0.891995952
cg04264002,0.847696333,0.800172522,0.859207346,0.858938369,0.885319162,0.739045247,0.491732859,0.75916144
cg04362989,0.879697477,0.926931212,0.572071075,0.641371168,0.723482294,0.911715754,0.845949005,0.931648105
cg04391463,0.076886571,0.066465181,0.067431653,0.076185081,0.077443092,0.060045018,0.073569313,0.065604102
cg04410756,0.07453054,0.054043707,0.094320423,0.080724382,0.088488022,0.202955076,0.312833007,0.084011528
cg04454285,0.379628817,0.404903449,0.414195774,0.416187647,0.41484875,0.385568135,0.399755071,0.402641942
cg04481923,0.632510659,0.641818541,0.422321764,0.436595444,0.374779046,0.658002437,0.633236838,0.57351214
cg04520704,0.472118144,0.327895299,0.314999044,0.369256606,0.194027222,0.36361969,0.284473406,0.300069911
cg04522575,0.527189838,0.430389877,0.526184484,0.410090318,0.396945785,0.388559072,0.287046262,0.387797741
cg04547181,0.852030649,0.888770924,0.86109282,0.886585142,0.913576473,0.867812897,0.901569988,0.877041813
cg04548463,0.614700869,0.647863614,0.911587099,0.914601585,0.92489902,0.645297326,0.645212572,0.917472436
cg04605697,0.511952277,0.87037939,0.309592215,0.491034868,0.404689761,0.585004175,0.683262607,0.295521504
cg04630490,0.491333757,0.294122457,0.471982483,0.496620809,0.499735311,0.517843811,0.20386502,0.495989592
cg04653913,0.103354835,0.082395643,0.085763808,0.105846317,0.093341857,0.094559809,0.090642599,0.082082006
cg04657146,0.052477751,0.042838887,0.066323743,0.06639779,0.078301324,0.041276954,0.046399178,0.060563345
cg04671734,0.47801703,0.4924698,0.537161179,0.590377636,0.588270455,0.53241777,0.470025798,0.587152187
cg04672622,0.944290235,0.934938124,0.951109111,0.909820251,0.938327637,0.944121719,0.930438521,0.920942527
cg04672903,0.410606751,0.635524036,0.584320205,0.565367221,0.516018637,0.672169702,0.688068221,0.531433318
cg04713352,0.705862477,0.538355059,0.311052524,0.495249723,0.487193909,0.500277017,0.560990883,0.380957384
cg04726821,0.934745351,0.934458008,0.934169982,0.742842721,0.886707974,0.937350758,0.786378773,0.90909295
cg04736911,0.479559475,0.377247483,0.347006443,0.319276393,0.315171743,0.532095427,0.520359407,0.266874863
cg04737881,0.042775921,0.037759746,0.042336387,0.044815362,0.052825422,0.04997652,0.236938964,0.045685306
cg04741118,0.50897767,0.561461367,0.520397298,0.47514287,0.491772117,0.595759183,0.637444096,0.375322145
cg04748010,0.644071253,0.636973721,0.386848126,0.440593435,0.511342516,0.644191619,0.685669789,0.400885708
cg04781305,0.778034405,0.937675205,0.892715026,0.908798451,0.716215159,0.867227164,0.898466439,0.552345053
cg04783231,0.488120513,0.93796137,0.715499327,0.74934227,0.714908782,0.892201218,0.874890657,0.903509707
cg04811114,0.317627479,0.600362325,0.281861843,0.495790373,0.390394888,0.364026347,0.53332129,0.224659202
cg04876069,0.934113253,0.962611861,0.967375025,0.97558408,0.970540296,0.937346595,0.920429532,0.963138082
cg04885881,0.383327577,0.585630111,0.760448931,0.800530597,0.716050874,0.245792086,0.639004369,0.640707476
cg04889800,0.969927626,0.989361227,0.978499411,0.937194128,0.961794311,0.97134633,0.96467487,0.955263355
cg04908961,0.398902395,0.54978899,0.369195297,0.651677028,0.485051443,0.474558143,0.493222329,0.698114113
cg04931238,0.545322525,0.05701324,0.038291496,0.054565184,0.058831838,0.494341622,0.416717087,0.036110122
cg04981007,0.750943011,0.894179442,0.881181266,0.919456408,0.896588785,0.908796961,0.88752373,0.898198031
cg05004973,0.712296986,0.598463284,0.552160189,0.557249612,0.591110665,0.761707645,0.577381955,0.638461751
cg05005343,0.872305468,0.937011013,0.932533505,0.674356824,0.598665353,0.923325352,0.890215887,0.641281914
cg05020125,0.444047808,0.452901368,0.552883412,0.522063636,0.447395519,0.386392171,0.347307725,0.418513574
cg05030553,0.81998865,0.588195852,0.743935028,0.778201792,0.911123055,0.819311397,0.573700177,0.473062606
cg05090351,0.477846343,0.046634249,0.571895676,0.456427802,0.419644394,0.434184259,0.054145832,0.444470888
cg05149097,0.340119672,0.703679457,0.675609309,0.514118834,0.643754839,0.57004907,0.680752526,0.392512084
cg05168764,0.680744287,0.737184844,0.507976212,0.547181656,0.562685462,0.687801874,0.550876881,0.498876233
cg05180717,0.867501344,0.885919179,0.687595096,0.697279243,0.753408333,0.762584857,0.81433007,0.748764101
cg05182265,0.609714371,0.868966058,0.691403801,0.749822144,0.47160206,0.692847266,0.909982546,0.771956025
cg05254095,0.61335109,0.636604106,0.695828185,0.665766689,0.533215505,0.494646735,0.517719939,0.487505637
cg05275595,0.232419606,0.633962981,0.417322077,0.457611888,0.526330891,0.391288068,0.561078954,0.266206003
cg05277122,0.108582568,0.52370985,0.098499827,0.227317344,0.210092178,0.232047416,0.265953147,0.160468351
cg05292376,0.672159744,0.82226153,0.780616973,0.868011781,0.784124708,0.681959359,0.814632046,0.729333549
cg05307301,0.529519385,0.587231705,0.150418238,0.500719557,0.452610935,0.50162662,0.560083068,0.640984488
cg05308504,0.969194973,0.977263725,0.975286492,0.968392683,0.968012545,0.9722906,0.967117421,0.970820877
cg05353869,0.977856038,0.979499468,0.981520237,0.980235196,0.976213812,0.977240532,0.978837667,0.97418278
cg05360958,0.925748633,0.738960427,0.716491861,0.720416805,0.860260537,0.646567302,0.587905692,0.9203543
cg05365735,0.429670066,0.570420111,0.451298577,0.488877302,0.411843535,0.476153804,0.443050576,0.428767979
cg05371332,0.44909595,0.43047257,0.181295157,0.600816793,0.626429195,0.420635599,0.429215156,0.592274466
cg05379541,0.492479349,0.110748704,0.877908453,0.873260454,0.865571364,0.500183208,0.067533751,0.89918953
cg05385718,0.437632995,0.422965889,0.419162234,0.367727615,0.353895448,0.444948528,0.397397837,0.354388522
cg05403689,0.42903898,0.626667288,0.59956898,0.648475538,0.603721662,0.268387603,0.662544543,0.580883105
cg05424333,0.052668487,0.040997037,0.058991284,0.054594556,0.09047493,0.037182854,0.152965182,0.042268542
cg05454501,0.905231424,0.931593827,0.918295233,0.928078347,0.930871528,0.939219286,0.920509015,0.923093875
cg05460318,0.91798724,0.960122094,0.961631703,0.942854591,0.941911173,0.95628112,0.929755782,0.947456464
cg05509609,0.052796701,0.129715093,0.030558226,0.145002338,0.030513361,0.04180921,0.069364039,0.089363332
cg05542785,0.048170458,0.070166953,0.029674671,0.115957725,0.063399872,0.04608006,0.039628326,0.055416448
cg05547778,0.046857826,0.269101409,0.49812671,0.566642187,0.572161723,0.356297255,0.252296016,0.625572987
cg05547895,0.490079265,0.715479094,0.416173685,0.353112437,0.45379772,0.423733781,0.507048629,0.611269698
