Labels,SA LL 1,SA LL 2,SA LL 5,SA LL 6,SB LL 3,SB LL 4,SB LL 7,SB LL 8
cg00619263,0.180134264,0.094670123,0.473169399,0.283979803,0.336870296,0.266009504,0.245282543,0.246115329
cg00631327,0.056203032,0.534004008,0.530011056,0.604044947,0.062027208,0.029472924,0.03116073,0.21431436
cg00631329,0.530140343,0.47184687,0.642898894,0.734061319,0.505286237,0.562677988,0.598937313,0.657953786
cg00659077,0.341998289,0.538940406,0.50103468,0.446055856,0.509096416,0.493966673,0.373560133,0.164542445
cg00666014,0.491695006,0.504073235,0.486506379,0.666362821,0.666456521,0.62309726,0.565418737,0.141179992
cg00666422,0.059092191,0.590038409,0.490132022,0.071473997,0.036623659,0.059027661,0.159844307,0.695540005
cg00718336,0.061230751,0.166115491,0.470756389,0.105986893,0.113031561,0.114797646,0.241522272,0.041469101
cg00739471,0.340602704,0.359875455,0.485941682,0.159812783,0.562074897,0.451565998,0.319430429,0.259486761
cg00753924,0.673348968,0.541566655,0.643570192,0.51070473,0.55595396,0.591771665,0.526642668,0.116554971
cg00807197,0.879955675,0.45326926,0.86799663,0.533504284,0.39670449,0.484783472,0.752011706,0.890981697
cg00813752,0.043817586,0.530566119,0.451630361,0.561058542,0.025694923,0.051782833,0.506675831,0.072111222
cg00851732,0.41246302,0.588803922,0.083017783,0.590935292,0.593242571,0.54846071,0.661564884,0.657908035
cg00871610,0.046080986,0.218692031,0.104944467,0.076470253,0.070742482,0.082454062,0.098826663,0.036607838
cg00899350,0.788311147,0.862201152,0.808124519,0.707107909,0.761410969,0.871805884,0.564905443,0.685590009
cg00918181,0.102800383,0.096499824,0.136028774,0.034327529,0.048532255,0.039428274,0.173589234,0.113059655
cg00923880,0.081106717,0.217582961,0.229531116,0.325036819,0.117183299,0.14734134,0.19158136,0.085480575
cg00930606,0.028602228,0.062230928,0.089410875,0.118652734,0.232112416,0.095472232,0.024578114,0.025711671
cg00953006,0.309824065,0.238068984,0.564828516,0.851547246,0.616756229,0.716478436,0.794674245,0.074123728
cg00973118,0.107665426,0.103725794,0.210881089,0.128152395,0.233062792,0.175875035,0.25823653,0.180444301
cg00980622,0.189270353,0.269347948,0.293854168,0.418027837,0.2231351,0.190839081,0.447549319,0.170285239
cg01000188,0.589919985,0.734581208,0.707591879,0.595261033,0.870391985,0.822952938,0.924106056,0.882382133
cg01017147,0.539194793,0.651927597,0.446809091,0.900247466,0.560607409,0.557348478,0.379969811,0.556200444
cg01066431,0.198862183,0.109146404,0.091058236,0.118481479,0.106158966,0.100845715,0.129171978,0.120477307
cg01078772,0.458873095,0.60360091,0.680954384,0.71173897,0.575807063,0.564785702,0.597040516,0.374507945
cg01094192,0.290698675,0.08963892,0.146067889,0.569571888,0.520364761,0.53044329,0.347133259,0.405367135
cg01094687,0.051421938,0.043090913,0.072088347,0.088699614,0.050748261,0.044873923,0.069113088,0.036515047
cg01094748,0.24675164,0.468341026,0.166543443,0.231936574,0.176295937,0.17687984,0.758350615,0.397224163
cg01101873,0.024545846,0.029766754,0.275038005,0.071975546,0.086546939,0.206387323,0.109030199,0.040888077
cg01104306,0.911346318,0.488799789,0.858424368,0.412889902,0.155167548,0.1680642,0.305667897,0.469149522
cg01126532,0.027550726,0.023303377,0.05973271,0.015499851,0.128962506,0.026932396,0.307577572,0.088853343
cg01156747,0.08933714,0.059667118,0.214277854,0.49039451,0.59094542,0.548840855,0.619597678,0.605828785
cg01165661,0.102240638,0.149753582,0.155002658,0.060690325,0.265918322,0.11789672,0.198181908,0.455139752
cg01169021,0.41873368,0.4763945,0.496924891,0.726200264,0.505901392,0.543560944,0.624213078,0.333422065
cg01180479,0.986923104,0.990966856,0.99274913,0.986763708,0.987961278,0.989487151,0.951899452,0.963216976
cg01196336,0.014563419,0.069256342,0.183444691,0.130679524,0.103536858,0.099620893,0.025709692,0.012041525
cg01208566,0.470199552,0.43522074,0.488655875,0.627822095,0.603115639,0.625325743,0.56738779,0.804036012
cg01218619,0.583829141,0.478637571,0.418744886,0.370034648,0.45009089,0.607527763,0.134568478,0.500400839
cg01219135,0.516144732,0.387547563,0.459989402,0.426737638,0.343751937,0.506511255,0.255100529,0.167607611
cg01223011,0.026029847,0.097782147,0.433179933,0.083022613,0.817614962,0.892189785,0.84438287,0.901163581
cg01242676,0.892142498,0.872669354,0.788721891,0.896782275,0.857404819,0.888903289,0.940969901,0.886954711
cg01248445,0.77038769,0.646510403,0.646986695,0.691646558,0.321788551,0.66404811,0.196493369,0.379704751
cg01270593,0.907183344,0.918371481,0.825994968,0.794087334,0.929128644,0.924595824,0.732268568,0.786205388
cg01274753,0.032626311,0.071395505,0.236753371,0.073674431,0.02966583,0.159216094,0.046193002,0.107156015
cg01293179,0.127086813,0.098653793,0.484548943,0.531682594,0.915286048,0.868051664,0.852226721,0.825168648
cg01301319,0.643967537,0.662577141,0.701101977,0.53873488,0.5898393,0.682865478,0.798526351,0.66521945
cg01309328,0.194019752,0.180551486,0.151610014,0.045995206,0.160813785,0.126053869,0.098367473,0.0839784
cg01314743,0.145395793,0.123469392,0.124369112,0.063096434,0.057221293,0.100360938,0.180556679,0.34705234
cg01324343,0.363977158,0.559741144,0.544275689,0.485999837,0.449296669,0.552053155,0.072496346,0.361959492
cg01351327,0.945229954,0.91235099,0.205757893,0.558427783,0.480871987,0.950026593,0.939051441,0.929731094
cg01359962,0.026720336,0.034919584,0.105188668,0.091963676,0.028547501,0.298710592,0.125459195,0.04801979
cg01365639,0.908165517,0.896936306,0.928228187,0.702237707,0.938142537,0.936653858,0.582530426,0.522088995
cg01396157,0.934523313,0.920089185,0.930170575,0.863410107,0.93696565,0.940734544,0.751656039,0.821053524
cg01426903,0.039948071,0.072456332,0.459012724,0.908870908,0.443930654,0.530411965,0.580921349,0.543671741
cg01435791,0.017570243,0.061631309,0.115049897,0.052581326,0.057839892,0.052050466,0.152746136,0.073827576
cg01439322,0.225520351,0.051937637,0.154720771,0.102210916,0.047247007,0.062334407,0.093299892,0.123112531
cg01484296,0.070457176,0.149048435,0.190239128,0.210647683,0.048296836,0.066145041,0.328368939,0.634328972
cg01485549,0.36597593,0.188331911,0.401949308,0.211906607,0.247263922,0.343450669,0.499286118,0.370465211
cg01530154,0.022377852,0.042086552,0.098053148,0.511456333,0.140437664,0.041927099,0.028866976,0.852492745
cg01552731,0.149119321,0.215385394,0.202684509,0.256253638,0.445304682,0.452118519,0.051099953,0.123721458
cg01569709,0.631519318,0.5130411,0.906193119,0.510167299,0.914881707,0.947772618,0.874897817,0.87558918
cg01584932,0.363813078,0.279361284,0.26186666,0.620687116,0.455488084,0.600338805,0.386920234,0.216151595
cg01601299,0.384666286,0.292362329,0.187488095,0.085880405,0.226143635,0.120980153,0.092502704,0.074683967
cg01607530,0.030375089,0.272343198,0.090098028,0.048477977,0.161711217,0.052657826,0.107844968,0.070750368
cg01613691,0.108045847,0.155737223,0.241112641,0.356696926,0.309513504,0.255350888,0.057459213,0.022260189
cg01622416,0.948220341,0.883718226,0.91730118,0.605051271,0.815496891,0.910757534,0.800946177,0.776342937
cg01646323,0.223335087,0.065797719,0.116769145,0.083281492,0.427562851,0.465170068,0.19119193,0.085236903
cg01758314,0.724998404,0.49831364,0.515383102,0.055712734,0.02910363,0.030772743,0.084598623,0.126523393
cg01806192,0.199605332,0.678910334,0.553300902,0.852769092,0.41368484,0.413765455,0.3487701,0.796067754
cg01809217,0.533115836,0.474254161,0.860850594,0.931967461,0.898277644,0.901571794,0.917509502,0.912325759
cg01830073,0.067525917,0.069908338,0.12097184,0.098194623,0.094130752,0.087994595,0.259273099,0.231905024
cg01870826,0.672933235,0.724478751,0.737174509,0.587368098,0.620853981,0.520975606,0.502974961,0.537789778
cg01874867,0.05799869,0.036328759,0.116423012,0.078826049,0.047651355,0.04308353,0.096518336,0.087268563
cg01894498,0.64440015,0.562190807,0.593615832,0.442732435,0.582619927,0.581926718,0.498477048,0.513802853
cg01905633,0.212127884,0.409059825,0.379544751,0.262687666,0.385394061,0.511710293,0.362929703,0.233553543
cg01987333,0.041134792,0.051620898,0.099617416,0.046863933,0.139421053,0.06821347,0.067747912,0.049501428
cg02032841,0.367894151,0.574887985,0.514577031,0.138804728,0.147512637,0.264160908,0.316183783,0.172426754
cg02067022,0.425304631,0.589988126,0.579049705,0.574314746,0.575143746,0.586064944,0.795667704,0.804605165
cg02105042,0.015816653,0.037316408,0.156979368,0.475965702,0.058654684,0.083405277,0.059584919,0.045770487
cg02158486,0.92973546,0.941008774,0.913668417,0.891304401,0.938257726,0.934612148,0.809446549,0.720015109
cg02228675,0.981028883,0.920055859,0.830719074,0.897615284,0.970636775,0.915113097,0.817458658,0.924434919
cg02238549,0.504669367,0.49031184,0.54272578,0.035605642,0.169673564,0.057186694,0.053108471,0.532856284
cg02273436,0.064308869,0.422842668,0.150310444,0.562197356,0.910278504,0.837834216,0.502890922,0.482171631
cg02274366,0.133091609,0.343559659,0.262533795,0.261591311,0.325596105,0.311050408,0.139049674,0.185459955
cg02278114,0.062711784,0.074771703,0.130566131,0.290793213,0.056534492,0.207428196,0.16582059,0.576815939
cg02315096,0.906330833,0.905766926,0.492528029,0.371357381,0.853873138,0.790762342,0.82693067,0.582410369
cg02326224,0.885765576,0.709894094,0.92272064,0.733647551,0.635393728,0.934223217,0.585471663,0.639550254
cg02331649,0.145652408,0.046381244,0.053779049,0.120336201,0.044660398,0.054719338,0.207571165,0.325654053
cg02400092,0.013287809,0.017081337,0.029072899,0.038601679,0.014640441,0.01831324,0.048820667,0.04414238
cg02421962,0.235966696,0.596374296,0.16253745,0.6114979,0.071469113,0.110590075,0.07549226,0.390317753
cg02426999,0.131147667,0.252421265,0.105882094,0.108850672,0.512468267,0.505124722,0.154049278,0.123503667
cg02428792,0.032020648,0.028998826,0.0371625,0.074699816,0.645673185,0.57514851,0.624185412,0.158701774
cg02450064,0.899817501,0.902875214,0.859521778,0.876277473,0.856726177,0.869241236,0.889529142,0.938390391
cg02473254,0.112419186,0.083813253,0.179585382,0.123002113,0.105889714,0.089508144,0.085215519,0.7735824
cg02484210,0.805593915,0.936629264,0.935616559,0.619196761,0.668458203,0.922824028,0.618292206,0.423241116
cg02498063,0.678077701,0.572761108,0.549821026,0.710730073,0.578217943,0.593168156,0.66450416,0.428848131
cg02508651,0.95913776,0.917929289,0.846270637,0.927029861,0.965326332,0.912955636,0.927829511,0.860601702
cg02518216,0.810700529,0.886975805,0.827567179,0.387084075,0.862386113,0.82055195,0.649656103,0.725239491
cg02531924,0.034718682,0.039672017,0.09039509,0.037763768,0.11302516,0.064726565,0.144419466,0.0274323
cg02546490,0.892215432,0.949124089,0.84006753,0.80442585,0.962042995,0.903124653,0.648878457,0.807599946
cg02552250,0.013121332,0.015767169,0.014456139,0.017425666,0.308208726,0.337293195,0.051968636,0.062646208
cg02586712,0.043138357,0.074840125,0.133743692,0.137218209,0.071126392,0.081138548,0.107177346,0.056449393
cg02596779,0.123338368,0.043704728,0.078483115,0.082938698,0.190444451,0.066389126,0.054613759,0.086712681
cg02607237,0.637818432,0.49792215,0.624687762,0.787087275,0.159008627,0.109696873,0.238005509,0.155091045
cg02616710,0.023011755,0.016739231,0.064855665,0.022301297,0.024015242,0.043537872,0.022272304,0.142607492
cg02621481,0.042406331,0.089371704,0.224099376,0.190649081,0.076322622,0.104684831,0.159512316,0.238625728
cg02624836,0.144407407,0.243042918,0.37020894,0.058960153,0.437482361,0.467030634,0.062419157,0.090185517
cg02641400,0.053421306,0.044783914,0.145409367,0.116681451,0.038370456,0.078601421,0.197127616,0.040887629
cg02645340,0.039875553,0.050651749,0.180210683,0.130922815,0.09927088,0.048080389,0.102324878,0.16115261
cg02675527,0.241993957,0.371350115,0.341192839,0.37804283,0.362347185,0.44832668,0.25036999,0.071149095
cg02736908,0.033335149,0.051540704,0.217914791,0.073080295,0.573161,0.675089574,0.568710418,0.415854713
cg02738086,0.106430333,0.109490645,0.252501659,0.069269838,0.159091424,0.127538571,0.136724434,0.582167374
cg02744588,0.16079158,0.231160082,0.403504403,0.254152875,0.087454143,0.377019703,0.597659647,0.737594533
cg02753027,0.293591133,0.641690171,0.523287795,0.190240318,0.049433885,0.03380126,0.08635477,0.099957411
cg02796478,0.066050804,0.358091015,0.188702178,0.484130561,0.221861776,0.110691595,0.442917059,0.373149507
cg02799427,0.415004844,0.176330587,0.162701021,0.434838756,0.571612862,0.582636677,0.66930898,0.510717536
cg02872426,0.04575952,0.03731254,0.059823539,0.055836921,0.038125697,0.029998726,0.120083386,0.167889882
cg02881189,0.673710508,0.621229945,0.623621732,0.692302626,0.140799807,0.720495729,0.173789196,0.412957693
cg02942766,0.02785167,0.038423525,0.054482902,0.430748494,0.044462401,0.118320955,0.053300834,0.722281606
cg02971253,0.454492996,0.453680872,0.400657327,0.038267623,0.380323908,0.419516833,0.123558471,0.653455889
cg03041510,0.592962523,0.62207384,0.64647944,0.436413798,0.48369702,0.469480782,0.634153774,0.326943322
cg03047995,0.034928853,0.04551772,0.145884983,0.031784551,0.070821909,0.082914251,0.025614182,0.046893438
cg03095800,0.124327933,0.151729803,0.267279976,0.49551361,0.185989082,0.17288008,0.127494922,0.157685314
cg03147184,0.058189355,0.078467625,0.151465549,0.445030271,0.511296039,0.458300551,0.463838638,0.508696807
cg03176993,0.646903884,0.513951417,0.125362264,0.077334896,0.037217166,0.063053044,0.187527807,0.143064816
cg03179435,0.020452009,0.029387193,0.017479033,0.0249884,0.199760487,0.287471316,0.059290344,0.053170387
cg03190769,0.861203751,0.647777267,0.817444268,0.461237117,0.490753986,0.185296816,0.369427259,0.131484058
cg03207666,0.809279712,0.945009849,0.903037242,0.918139866,0.89187132,0.876580341,0.873093092,0.863543124
cg03209871,0.122890579,0.345660742,0.366242811,0.067673125,0.270499699,0.097452449,0.143428113,0.752628311
cg03242666,0.088473886,0.102069136,0.200824961,0.152031321,0.084644902,0.09604418,0.161011271,0.369070074
cg03270395,0.116241961,0.107826171,0.185713007,0.24218442,0.439962677,0.273291112,0.270850315,0.133470244
cg03271533,0.501436252,0.480936398,0.505448961,0.183500212,0.292598039,0.468455244,0.222419832,0.160137837
cg03278811,0.075759103,0.134386985,0.318254778,0.290557958,0.140527967,0.227273951,0.062286449,0.142774169
cg03297163,0.890212164,0.94607769,0.892572243,0.870973621,0.911436823,0.94441293,0.194488174,0.238062872
cg03315344,0.543441632,0.550768617,0.588904988,0.616807457,0.449687375,0.491464632,0.743268567,0.591738239
cg03325664,0.873536802,0.816732029,0.902165574,0.883074652,0.902310936,0.81380331,0.873958716,0.879007162
cg03330678,0.615624213,0.67963055,0.303057354,0.326313842,0.378734178,0.47977002,0.756774291,0.518221361
cg03370951,0.510400201,0.474717094,0.507779731,0.569364654,0.523649004,0.544816727,0.528163162,0.677440566
cg03395511,0.507528576,0.541654156,0.75266231,0.596850039,0.522084595,0.651004495,0.320221113,0.447826649
cg03421353,0.032530644,0.08371295,0.237940443,0.119690536,0.110082013,0.141879317,0.145071544,0.108435992
cg03428047,0.050753221,0.038183825,0.065669211,0.053333622,0.050306923,0.042171877,0.03959827,0.068730426
cg03428864,0.840368666,0.944116362,0.815877565,0.762108336,0.936966811,0.910095207,0.915200784,0.923680141
cg03433986,0.163681511,0.104125064,0.154458408,0.067145024,0.040672228,0.160594402,0.161015146,0.072336573
cg03444077,0.009365171,0.043202677,0.124233073,0.031048103,0.196392724,0.409938205,0.391592859,0.015655963
cg03481509,0.230784245,0.128053357,0.546640344,0.540632267,0.172775924,0.147666226,0.162996416,0.400903799
cg03520938,0.643797168,0.703671094,0.644261933,0.588460745,0.228818462,0.411146933,0.374953432,0.152581211
cg03556313,0.670321654,0.629346029,0.604525377,0.48884722,0.351196778,0.548009912,0.069127536,0.244079518
cg03611551,0.279964446,0.139439707,0.340124575,0.099502876,0.275910593,0.144392049,0.595630254,0.062063081
cg03646740,0.031639461,0.11413168,0.211411443,0.252588145,0.062801214,0.119037717,0.071677956,0.04697385
cg03669367,0.630642969,0.270601842,0.32368292,0.711968862,0.175939958,0.241546304,0.357563993,0.145716421
cg03695236,0.574447245,0.526315403,0.668467426,0.942672973,0.85511348,0.883274899,0.894606282,0.935765138
cg03706720,0.026208502,0.042739218,0.086605429,0.396479257,0.200770787,0.157317648,0.094222257,0.066253815
cg03721454,0.598318998,0.453476896,0.575188865,0.84798154,0.119110247,0.217501524,0.782163237,0.246051867
cg03738707,0.693224039,0.569192264,0.656891414,0.608919774,0.545897562,0.59962287,0.637897662,0.34914106
cg03753385,0.074923531,0.169356576,0.193278115,0.063958501,0.256639845,0.218522993,0.118969445,0.072906527
cg03755052,0.041251327,0.158964945,0.502803303,0.280863243,0.054547781,0.210834014,0.087622527,0.08771763
cg03804621,0.022624028,0.043018163,0.064708368,0.035644288,0.069280501,0.046157903,0.032909282,0.039416368
cg03826642,0.035413932,0.085309362,0.107933883,0.069388753,0.058136243,0.045812143,0.153479722,0.165870772
cg03848129,0.466456136,0.554579788,0.588238491,0.562355728,0.535868593,0.587641341,0.444186897,0.109908163
cg03880506,0.0716892,0.067036089,0.640103991,0.380487018,0.417599218,0.573752171,0.842184867,0.713309584
cg03880611,0.089993991,0.101710111,0.156685279,0.116727334,0.392512189,0.460626555,0.105391414,0.912063351
cg03889540,0.228484601,0.068343886,0.472636339,0.896552103,0.478124351,0.555366757,0.031748787,0.581051944
cg03894068,0.554995437,0.690913779,0.715518335,0.118517124,0.067372859,0.093815328,0.316652386,0.033361843
cg03898952,0.413032217,0.470577324,0.503399926,0.081325488,0.458419965,0.520513399,0.644534807,0.798603763
cg03906434,0.062171535,0.022048003,0.115835019,0.015955013,0.014840657,0.016464885,0.063544351,0.023761033
cg04006327,0.054204068,0.064894152,0.249172647,0.203515519,0.161999292,0.235195803,0.142065492,0.033068388
cg04019914,0.49018913,0.551815609,0.600127314,0.733103244,0.517240231,0.580142323,0.62647477,0.204746746
cg04036777,0.094586429,0.166394575,0.114992356,0.071201319,0.143938321,0.170178552,0.060119893,0.088852124
cg04060561,0.128237682,0.186065998,0.162813771,0.392458589,0.34548257,0.106132186,0.212773844,0.102968992
cg04064054,0.074951857,0.070103725,0.19490502,0.082980029,0.053827058,0.060297524,,0.444426414
cg04070847,0.046449587,0.025276802,0.03985732,0.63636378,0.042466244,0.039199524,0.152418576,0.649387617
cg04131969,0.90094712,0.928080279,0.936289424,0.917358474,0.914627359,0.935727016,0.84183958,0.857889582
cg04141796,0.566850681,0.582031709,0.706072154,0.745326915,0.589846873,0.646451944,0.629232992,0.72239325
cg04156219,0.925719748,0.931401158,0.541878942,0.925135043,0.933487797,0.906457339,0.649397871,0.362752795
cg04176472,0.615868418,0.851895288,0.663003781,0.568250872,0.711916451,0.563673641,0.516847617,0.5410033
cg04178523,0.117111541,0.09832522,0.108703144,0.487215489,0.398084328,0.078154889,0.170823747,0.569646823
cg04216235,0.472068459,0.531987402,0.485218369,0.492190108,0.557933583,0.514357293,0.125574725,0.737167348
cg04217706,0.575715188,0.900821334,0.500988453,0.868849158,0.872788026,0.8572601,0.914082415,0.828842995
cg04264002,0.04561345,0.09329451,0.22211385,0.885558366,0.391869204,0.540441647,0.617472289,0.098598263
cg04362989,0.452413868,0.456220302,0.446821519,0.042261806,0.151721349,0.090643772,0.054325655,0.043151557
cg04391463,0.934711554,0.919202736,0.85617357,0.939004318,0.902428215,0.935503977,0.92120609,0.876946125
cg04410756,0.877821999,0.915368907,0.911836113,0.866851467,0.560191863,0.597911082,0.3461631,0.275430248
cg04454285,0.485472548,0.489010336,0.567804012,0.533559942,0.49315145,0.503355978,0.367760649,0.241354539
cg04481923,0.612054468,0.63866033,0.606299746,0.562603622,0.510560038,0.637524199,0.714741025,0.615965688
cg04520704,0.052541481,0.115861448,0.112343408,0.258787679,0.127654932,0.282242855,0.666148209,0.074248853
cg04522575,0.634269524,0.839370079,0.607860148,0.484820435,0.462150527,0.53944615,0.469446297,0.857375587
cg04547181,0.703268136,0.413214143,0.640394449,0.598445109,0.290827249,0.400926852,0.665071639,0.214333209
cg04548463,0.728897338,0.408309833,0.6810579,0.658549575,0.581167856,0.524629942,0.807861744,0.706008162
cg04605697,0.905989975,0.839223231,0.856898743,0.918141885,0.735857188,0.731862538,0.872201374,0.660962096
cg04630490,0.536971564,0.449650367,0.151538506,0.864253982,0.889732422,0.833991098,0.758801878,0.761853997
cg04653913,0.051142462,0.099823314,0.139351987,0.045695787,0.072132719,0.086391843,0.032137763,0.097431749
cg04657146,0.938314316,0.94296247,0.929124408,0.926975856,0.954176663,0.932322728,0.60140282,0.609665154
cg04671734,0.957867618,0.915932655,0.876484322,0.841670454,0.944633785,0.956943012,0.78156344,0.887986232
cg04672622,0.414231242,0.448407736,0.378419622,0.027814537,0.520921507,0.542820927,0.659330294,0.556421622
cg04672903,0.631399461,0.634107292,0.658443839,0.560827279,0.636245132,0.644749413,0.437450457,0.493358174
cg04713352,0.569803211,0.55680983,0.686915958,0.603801134,0.642818628,0.550207348,0.460546183,0.439877272
cg04726821,0.024402494,0.044880773,0.03148352,0.094373757,0.037774105,0.033480574,0.155708459,0.119379494
cg04736911,0.065980921,0.057517054,0.18446032,0.115753109,0.092539357,0.063316576,0.115892327,0.057112224
cg04737881,0.760716563,0.675886944,0.170139683,0.756277581,0.817512679,0.780611638,0.268158685,0.609468864
cg04741118,0.361729839,0.378889676,0.399758708,0.153102068,0.352457555,0.267997953,0.350001988,0.80585752
cg04748010,0.454427247,0.561776985,0.925126121,0.661971446,0.54082032,0.551067483,0.696718787,0.418503206
cg04781305,0.033471541,0.042965978,0.100622484,0.337108988,0.166262587,0.073106118,0.068412967,0.154197782
cg04783231,0.861914747,0.53950077,0.542851624,0.60604405,0.941727728,0.489815213,0.65713006,0.67747706
cg04811114,0.244019821,0.083452013,0.147441697,0.103840748,0.250375817,0.145703968,0.135276698,0.040691219
cg04876069,0.33715315,0.361362465,0.456919284,0.29673765,0.38090052,0.389731843,0.426679335,0.038759894
cg04885881,0.479214563,0.127302995,0.138364153,0.047386436,0.147869772,0.357402638,0.032414116,0.045673699
cg04889800,0.016433545,0.054842334,0.073044354,0.169858016,0.06997355,0.022846627,0.346206763,0.144277386
cg04908961,0.084766819,0.193542816,0.229223012,0.224122868,0.280290041,0.15027215,0.104059448,0.121915281
cg04931238,0.600234001,0.525327752,0.594281868,0.927994102,0.770660543,0.546397377,0.672307717,0.883571002
cg04981007,0.322171403,0.121019622,0.415722229,0.607279149,0.937829477,0.887628397,0.083200016,0.168903371
cg05004973,0.067638979,0.196786371,0.167251764,0.113380476,0.5587589,0.54598982,0.749006881,0.931997674
cg05005343,0.895150597,0.917754907,0.90944697,0.08803029,0.629594981,0.926257828,0.819199113,0.901127161
cg05020125,0.304178263,0.382129861,0.40091495,0.343347682,0.372243645,0.419099655,0.414477667,0.372809337
cg05030553,0.427595282,0.379306041,0.589877697,0.583225769,0.743181063,0.5506224,0.625804325,0.947363539
cg05090351,0.162522697,0.064666755,0.241047817,0.114211823,0.15106145,0.112458055,0.156180348,0.069525753
cg05149097,0.029338504,0.024072017,0.545252076,0.543499347,0.030019865,0.043122262,0.169704852,0.11453255
cg05168764,0.454631149,0.457229141,0.154190685,0.146252555,0.468872508,0.500972298,0.396120776,0.02750624
cg05180717,0.614409312,0.708824458,0.660016366,0.632342231,0.616258555,0.721622749,0.808575379,0.623184018
cg05182265,0.104557302,0.1670129,0.132549475,0.084508972,0.179091714,0.087113504,0.248502082,0.112972524
cg05254095,0.462318129,0.463402509,0.488515673,0.355582285,0.489925826,0.505665271,0.260280443,0.256586835
cg05275595,0.295916308,0.216158745,0.266004788,0.21975721,0.197662132,0.16219741,0.076286923,0.63119687
cg05277122,0.018627028,0.117942042,0.268052501,0.169632341,0.111882839,0.099982076,0.027948818,0.013245049
cg05292376,0.70511613,0.684385298,0.774234941,0.515423754,0.833207312,0.680251752,0.741704639,0.435166184
cg05307301,0.126869134,0.13774744,0.101364333,0.291952088,0.232538047,0.129789623,0.170528387,0.181572992
cg05308504,0.981503377,0.974299392,0.952480405,0.958832701,0.955977013,0.974414445,0.793113143,0.760888464
cg05353869,0.962716946,0.976884793,0.955681383,0.955826403,0.980435783,0.982198862,0.834259005,0.764431279
cg05360958,0.625895149,0.548343188,0.612627309,0.555613565,0.620205033,0.563094065,0.645185345,0.527172346
cg05365735,0.91186455,0.937767746,0.913929052,0.877589772,0.619242176,0.57226041,0.480757084,0.732940259
cg05371332,0.269365866,0.083222319,0.144316564,0.531710721,0.528836846,0.514013074,0.418269888,0.504769106
cg05379541,0.161746385,0.472050047,0.519766,0.367277612,0.469117219,0.525496743,0.694015831,0.517882948
cg05385718,0.267353581,0.409410627,0.400936277,0.390710877,0.39998074,0.343686429,0.117323443,0.031643621
cg05403689,0.070901698,0.069203326,0.258407116,0.182370661,0.069091864,0.060818365,0.144998018,0.198575542
cg05424333,0.534188784,0.48299653,0.125377139,0.123888055,0.536345277,0.494268768,0.32689217,0.748108453
cg05454501,0.856552808,0.914888573,0.854953241,0.859068869,0.958334494,0.926216496,0.826718349,0.211214084
cg05460318,0.095164866,0.026729225,0.130284548,0.027085297,0.025988609,0.109175738,0.053583066,0.04650842
cg05509609,0.620999999,0.568343058,0.610282586,0.642938839,0.570311956,0.608258365,0.457895533,0.611358274
cg05542785,0.191898119,0.328426159,0.226803369,0.655175645,0.568645774,0.839391735,0.922482593,0.227987823
cg05547778,0.064900712,0.044079585,0.093504623,0.572374845,0.059014029,0.1031517,0.122701317,0.069489662
cg05547895,0.405901299,0.530100909,0.59275004,0.737626441,0.442214515,0.549817428,0.712745696,0.594298542
