Labels,MA1,MA2,MA3,MA4,MB1,MB2,MB3,MB4
cg01365639,0.542626035,0.855466736,0.554184055,0.766328822,0.083904941,0.043600223,0.134522447,0.056403351
cg01396157,0.38383854,0.83543049,0.16291381,0.064746513,0.21797899,0.087153241,0.093994142,0.057308999
cg01426903,0.023925112,0.030063247,0.051208656,0.932714999,0.345598876,0.891284286,0.087494725,0.837898728
cg01435791,0.05002971,0.499054206,0.05270657,0.543719351,0.146529335,0.093707439,0.057952619,0.064479904
cg01439322,0.214407576,0.039848389,0.314094529,0.045802441,0.192821772,0.062238415,0.058781341,0.045694731
cg01484296,0.529991779,0.086911802,0.543315285,0.085883607,0.1051604,0.094462508,0.07402003,0.113565398
cg01485549,0.176530168,0.105568184,0.13915479,0.235230348,0.74397286,0.372212233,0.284251386,0.683505601
cg01530154,0.156015879,0.498427924,0.125795189,0.090871967,0.888813258,0.695186418,0.906806213,0.676766616
cg01552731,0.520627171,0.769250184,0.519568637,0.636977389,0.240083004,0.259904466,0.248968369,0.146930247
cg01569709,0.482739037,0.531354317,0.503920996,0.504611273,0.501500013,0.35033069,0.512701086,0.414743908
cg01584932,0.810743974,0.669934643,0.4628532,0.953373678,0.421169092,0.499475407,0.64222939,0.303595285
cg01601299,0.433682598,0.448925166,0.541498183,0.677042223,0.636710573,0.073729426,0.465804195,0.048155925
cg01607530,0.087358512,0.108907171,0.051392654,0.342740646,0.083121272,0.055321852,0.093598258,0.059143644
cg01613691,0.938101952,0.486663267,0.91687817,0.515185926,0.185562879,0.117323335,0.109289751,0.096086267
cg01622416,0.047843735,0.46490957,0.037978125,0.522552258,0.037858361,0.033336192,0.04290368,0.034283534
cg01646323,0.804356583,0.101314983,0.874091485,0.596608469,0.10062275,0.087724884,0.161775327,0.075983547
cg01758314,0.027012166,0.036312438,0.041326388,0.044475432,0.053026774,0.041042674,0.040370004,0.043416815
cg01806192,0.286373304,0.479865202,0.543038699,0.560489192,0.229571416,0.486389761,0.504780919,0.167423746
cg01809217,0.928960631,0.878624783,0.888715114,0.907037993,0.879584814,0.873418766,0.891511472,0.895971099
cg01830073,0.288387963,0.591482263,0.669809386,0.65282871,0.081992067,0.139022259,0.070132378,0.082576942
cg01870826,0.901394765,0.917441619,0.951051943,0.946265477,0.052015736,0.072353585,0.053199976,0.079877871
cg01874867,0.893164793,0.897302733,0.951873085,0.939513957,0.572011456,0.363863547,0.595876333,0.554477497
cg01894498,0.469720527,0.93805306,0.547443732,0.531512659,0.483872487,0.549699301,0.615211917,0.543671129
cg01905633,0.81052084,0.933572866,0.941124471,0.481724878,0.834627558,0.910668916,0.925851651,0.917775164
cg01987333,0.856678857,0.599258104,0.939336677,0.600350258,0.158621859,0.380034836,0.375361021,0.457818439
cg02032841,0.481939822,0.177229398,0.125123592,0.071710632,0.532415797,0.353466247,0.585038411,0.291951159
cg02067022,0.580583024,0.938708364,0.630218079,0.938417559,0.926456737,0.921028878,0.920163465,0.925796693
cg02105042,0.449175023,0.189333486,0.498555802,0.080957424,0.11430839,0.605187841,0.068363215,0.290269333
cg02158486,0.136800564,0.917927895,0.479360434,0.639660228,0.082473947,0.481513205,0.082351648,0.523496103
cg02228675,0.762886017,0.724635049,0.885498507,0.959871095,0.037816916,0.39189203,0.023822169,0.016066514
cg02238549,0.55978724,0.830950921,0.520798824,0.522826967,0.058630354,0.056709756,0.052461742,0.057962738
cg02273436,0.259067318,0.330762247,0.650157967,0.025845674,0.169074452,0.240155712,0.109667004,0.169189507
cg02274366,0.474095089,0.605694371,0.565385354,0.700715379,0.666377121,0.462986676,0.598183074,0.672258879
cg02278114,0.048670616,0.07487383,0.106171617,0.311588525,0.728557775,0.873877341,0.858383077,0.7983852
cg02315096,0.871404482,0.778698128,0.933617915,0.929014815,0.592995001,0.619524946,0.540627386,0.591591572
cg02326224,0.337977275,0.761318723,0.559624433,0.616661421,0.299159749,0.049063148,0.044297765,0.121567187
cg02331649,0.163747172,0.553869767,0.070583382,0.542245317,0.889684409,0.339381868,0.590873243,0.2946298
cg02400092,0.022891778,0.022405599,0.027491836,0.026203862,0.067285554,0.030556906,0.025961043,0.029891164
cg02421962,0.128447904,0.474397785,0.076070163,0.908738239,0.50327619,0.858115032,0.521705423,0.87842458
cg02426999,0.550997795,0.912640388,0.581669326,0.945047426,0.665920863,0.42624869,0.576179612,0.440706438
cg02428792,0.537711854,0.953107276,0.594753628,0.616857504,0.602404392,0.604039506,0.618117233,0.564461673
cg02450064,0.816495432,0.769575895,0.874590779,0.908409688,0.105577473,0.128656874,0.068550297,0.051180496
cg02473254,0.898060116,0.875116334,0.874308702,0.507105865,0.773548117,0.893890473,0.893613524,0.925630823
cg02484210,0.620292382,0.698537599,0.472257157,0.639063726,0.139137199,0.09436569,0.05908131,0.105300553
cg02498063,0.5778709,0.680750728,0.588200551,0.5700413,0.592782448,0.391661527,0.565720352,0.400152717
cg02508651,0.498823872,0.586397332,0.485143798,0.443961375,0.390576924,0.223426315,0.239649835,0.195963844
cg02518216,0.93031955,0.89861219,0.918776332,0.93671805,0.884703471,0.89972098,0.910796468,0.917922826
cg02531924,0.427970505,0.102935815,0.532884456,0.36852096,0.269634882,0.368946394,0.108139038,0.504568339
cg02546490,0.103120853,0.496690764,0.084305653,0.067314625,0.072295239,0.083683821,0.049524538,0.057235317
cg02552250,0.676024272,0.692186252,0.891921242,0.934911548,0.173185622,0.025951348,0.047810073,0.067492856
cg02586712,0.15154985,0.1166276619999999,0.166126968,0.081749493,0.765156295,0.836201126,0.673226999,0.831956897
cg02596779,0.465579519,0.830683245,0.492853622,0.643274274,0.372275106,0.466047297,0.727891915,0.529583815
cg02607237,0.610345836,0.886243793,0.508580027,0.758674066,0.084060062,0.041273442,0.252489474,0.050137024
cg02616710,0.06508546,0.035365707,0.046775084,0.569540014,0.078638867,0.06007951,0.430488415,0.040063759
cg02621481,0.08692129,0.073687586,0.073606062,0.067982609,0.256477513,0.159068229,0.214539624,0.187826589
cg02624836,0.472175566,0.793172462,0.420784223,0.453167981,0.111826406,0.316588552,0.797600922,0.063385279
cg02641400,0.105329839,0.062681906,0.044376649,0.039110742,0.916967266,0.440357135,0.929227988,0.443696924
cg02645340,0.672267024,0.863093717,0.66413209,0.939525364,0.454971185,0.574105955,0.581032738,0.544029109
cg02675527,0.394081143,0.055330002,0.198747341,0.523475038,0.501827741,0.245605305,0.740145302,0.436067446
cg02736908,0.093155209,0.076095838,0.085548096,0.052999939,0.092285485,0.109742598,0.070915866,0.066490017
cg02738086,0.096939398,0.170782142,0.091461245,0.131213727,0.789124817,0.39764141,0.842697322,0.611387694
cg02744588,0.860786178,0.893808095,0.899871824,0.747327852,0.459920567,0.849235006,0.908727579,0.853164431
cg02753027,0.529946529,0.363946783,0.644647111,0.415626336,0.847741548,0.038356561,0.447680268,0.321690827
cg02796478,0.516132203,0.334541958,0.485612242,0.046194943,0.437455181,0.521580449,0.62774539,0.514539453
cg02799427,0.123057596,0.036409756,0.054882744,0.661727633,0.255882224,0.558217674,0.689232532,0.558435816
cg02872426,0.07878572,0.920021866,0.076526386,0.562428552,0.914879614,0.746796341,0.552596964,0.900608624
cg02881189,0.680361552,0.904580764,0.521542105,0.055646563,0.869524002,0.418549739,0.330270135,0.053836204
cg02942766,0.320248008,0.604011303,0.402344774,0.042783534,0.874305337,0.518870711,0.792768031,0.443428812
cg02971253,0.38588814,0.120872628,0.118118427,0.45467166,0.340615501,0.446858535,0.417192562,0.424733552
cg03041510,0.511656306,0.414738964,0.699935757,0.533253617,0.505739236,0.527288473,0.503514587,0.622878808
cg03047995,0.312264026,0.058373694,0.223048932,0.522383476,0.074203915,0.072407803,0.139297739,0.090801659
cg03095800,0.262142368,0.162222927,0.587259751,0.58578886,0.197011422,0.197919311,0.158822643,0.149301254
cg03147184,0.426726306,0.300361318,0.456919265,0.456893556,0.049691097,0.054020423,0.055880099,0.270900916
cg03176993,0.444326608,0.809992602,0.518641744,0.030426427,0.10675488,0.612499866,0.053863348,0.450130489
cg03179435,0.524831524,0.561427754,0.569567034,0.935688811,0.59393018,0.729432035,0.582439213,0.471250331
cg03190769,0.555135733,0.141728814,0.52292462,0.544484288,0.506051604,0.183805473,0.076674579,0.073323467
cg03207666,0.058375407,0.137360711,0.102235607,0.079933341,0.926936376,0.933250581,0.921581033,0.938104357
cg03209871,0.316043258,0.587591978,0.117425733,0.60726753,0.626746012,0.416094936,0.595915249,0.180578983
cg03242666,0.110122573,0.626531486,0.094631151,0.592282989,0.228998011,0.143133951,0.130270064,0.12899861
cg03270395,0.311581685,0.757605056,0.525670719,0.815113425,0.08485971,0.310028001,0.117975708,0.230283471
cg03271533,0.404379436,0.498869746,0.568740272,0.38638339,0.108474938,0.507274798,0.062609343,0.319210491
cg03278811,0.852395113,0.535259695,0.930828546,0.955706176,0.563889289,0.626616297,0.549399497,0.6407927
cg03297163,0.810326668,0.970570016,0.90352105,0.95754104,0.785729311,0.95829488,0.965704728,0.964278885
cg03315344,0.397539923,0.502018233,0.60836371,0.426686947,0.585214621,0.431409272,0.405027973,0.350326706
cg03325664,0.486955419,0.843276538,0.506221125,0.890638664,0.880846579,0.515377817,0.880454955,0.51892612
cg03330678,0.824426771,0.891564861,0.913043634,0.945781114,0.596694086,0.618203476,0.651845247,0.75041833
cg03370951,0.482279518,0.529652792,0.551594538,0.023132353,0.062972877,0.460055315,0.138131632,0.599832359
cg03395511,0.070411903,0.058532265,0.057368492,0.055098767,0.054018563,0.044329203,0.053389624,0.071342166
cg03421353,0.232917342,0.500939083,0.111395013,0.066623963,0.623337986,0.592063448,0.693017367,0.66551643
cg03428047,0.761583908,0.423464715,0.863831511,0.319706211,0.385407598,0.516681922,0.403137177,0.40726048
cg03428864,0.415712932,0.453192801,0.502880965,0.470120188,0.450393911,0.514593761,0.551274858,0.506861205
cg03433986,0.20692171,0.134492349,0.271158423,0.490520869,0.835829892,0.829970871,0.577548659,0.651295942
cg03444077,0.031109008,0.477482437,0.05084345,0.017770588,0.455200765,0.461315826,0.543621222,0.505420942
cg03481509,0.088975897,0.128106553,0.10431369,0.508441591,0.583715129,0.097488962,0.132274983,0.340151958
cg03520938,0.015513418,0.035886948,0.022882448,0.030534974,0.376930284,0.193784917,0.092832661,0.191606257
cg03556313,0.530031787,0.661626779,0.70639221,0.745633386,0.613994326,0.442028315,0.719953084,0.501858413
cg03611551,0.360381878,0.198853986,0.543122524,0.741531482,0.176358466,0.339362082,0.098074511,0.541676798
cg03646740,0.088613705,0.071493219,0.073075429,0.047082379,0.213943433,0.140026345,0.15098128,0.124253368
cg03669367,0.478281828,0.751605332,0.521316583,0.49879631,0.079171175,0.146523509,0.083870393,0.063187151
cg03695236,0.879401889,0.875004493,0.884259855,0.955086175,0.453170298,0.39553877,0.892915714,0.590452959
cg03706720,0.14511716,0.394867781,0.078380741,0.297697706,0.250641726,0.329257979,0.704241651,0.356351062
cg03721454,0.532637833,0.448394722,0.461907876,0.677380881,0.434932079,0.790554644,0.141578095,0.604679154
cg03738707,0.564939813,0.562140185,0.589808154,0.598829826,0.586067638,0.615822277,0.587368265,0.586857962
cg03753385,0.40970456,0.6418724,0.277345372,0.256133564,0.231640735,0.181348559,0.147298577,0.092880807
cg03755052,0.290722712,0.827313839,0.044018813,0.032759332,0.188778949,0.053442028,0.053514862,0.071648938
cg03804621,0.477251075,0.543051931,0.568343114,0.563214255,0.557311336,0.662378449,0.669828125,0.627531557
cg03826642,0.893108085,0.927378937,0.964710333,0.951895439,0.604507925,0.338469987,0.737534763,0.495336856
cg03848129,0.030288072,0.033280881,0.026873994,0.016214461,0.024165755,0.035833323,0.022131818,0.037618286
cg03880506,0.630002842,0.128147112,0.610489319,0.649680544,0.571423235,0.125587046,0.037542411,0.069134585
cg03880611,0.373423523,0.885820054,0.520687927,0.717203883,0.114570858,0.058750139,0.537080051,0.066987598
cg03889540,0.920296678,0.866588958,0.937440425,0.061221113,0.655416623,0.649971313,0.634195356,0.595585249
cg03894068,0.878833142,0.880992744,0.929277223,0.89636697,0.846330473,0.742013436,0.659049902,0.890596208
cg03898952,0.034987467,0.038266148,0.060053633,0.042652597,0.057596125,0.063614183,0.056040671,0.040857166
cg03906434,0.15726038,0.234576558,0.080993653,0.633480752,0.818736956,0.639932059,0.976187503,0.658865397
cg04006327,0.702571213,0.733650766,0.849443934,0.504998489,0.102316608,0.101034648,0.080850736,0.088944903
cg04019914,0.418078963,0.471387704,0.485518238,0.440984386,0.876375233,0.685846592,0.671214535,0.702080456
cg04036777,0.118124417,0.084340668,0.127186704,0.089596365,0.131180241,0.096743703,0.109143161,0.114500503
cg04060561,0.186726174,0.231593232,0.479631232,0.916453046,0.447721776,0.85625289,0.634005742,0.870882367
cg04064054,0.049403448,0.569647179,0.148536197,0.042366079,0.543271046,0.054888373,0.621664419,0.253571104
cg04070847,0.686364205,0.478420599,0.571762979,0.827285845,0.539055681,0.441778141,0.568359307,0.557657376
cg04131969,0.468827902,0.499268368,0.492994336,0.468229742,0.434405326,0.326396929,0.488458818,0.290320543
cg04141796,0.629464254,0.60369792,0.601461275,0.563464993,0.612505947,0.627127153,0.625787573,0.561286715
cg04156219,0.502286483,0.42389335,0.536091934,0.945142653,0.900203453,0.311933807,0.946324081,0.073834511
cg04176472,0.500819276,0.503934833,0.156828862,0.406622639,0.912670044,0.259963532,0.538584198,0.344819312
cg04178523,0.642092015,0.870834235,0.628740963,0.936592426,0.057597155,0.059914351,0.192437123,0.058679586
cg04216235,0.055202193,0.490095122,0.051448945,0.030549363,0.540311176,0.540541685,0.558368003,0.543462297
cg04217706,0.03585754,0.555699813,0.034469434,0.029860822,0.098316884,0.037401016,0.037664067,0.046277857
cg04264002,0.152290598,0.086508869,0.111969169,0.054729871,0.486462772,0.123669723,0.474373849,0.082586726
cg04362989,0.043047429,0.04342426,0.084433643,0.068020629,0.069424961,0.070515919,0.056331091,0.070594264
cg04391463,0.82714857,0.87206546,0.609370736,0.933623649,0.820885827,0.925792973,0.589874695,0.907819598
cg04410756,0.835945977,0.547938208,0.613216251,0.393013411,0.096498409,0.095012055,0.047019094,0.118540792
cg04454285,0.371302935,0.489034531,0.497228464,0.463465617,0.422385532,0.493987453,0.501018642,0.482798248
cg04481923,0.044898801,0.02907026,0.03387981,0.032339793,0.033827424,0.039036119,0.035457948,0.028654597
cg04520704,0.489778624,0.412766952,0.479409316,0.924285987,0.286790422,0.257821221,0.4782766,0.273718188
cg04522575,0.370471358,0.784333828,0.536752839,0.53383441,0.061073923,0.27642079,0.353028519,0.384348064
cg04547181,0.051045859,0.06840288,0.066938463,0.075353332,0.34242826,0.120171868,0.428800744,0.086151266
cg04548463,0.433419567,0.554218163,0.495307985,0.527878394,0.5625011,0.637078574,0.520601636,0.703209084
cg04605697,0.14148223,0.072372982,0.118661812,0.356663534,0.113702797,0.398554622,0.160009989,0.205131918
cg04630490,0.719571391,0.20013108,0.821892752,0.503637943,0.719656779,0.383954702,0.864205378,0.272286715
cg04653913,0.050923183,0.065475271,0.074348737,0.059642087,0.124103031,0.099331327,0.075660231,0.063911086
cg04657146,0.050451913,0.057479328,0.077837159,0.059775632,0.059602929,0.051641842,0.052808382,0.073295037
cg04671734,0.422725556,0.456266055,0.521661581,0.534523862,0.078632116,0.036960921,0.03229606,0.043338514
cg04672622,0.375571279,0.038744001,0.031260092,0.028712953,0.591645922,0.521185545,0.533599122,0.521855591
cg04672903,0.526114759,0.372527649,0.627737111,0.371540078,0.32010236,0.391727812,0.369316028,0.270830239
cg04713352,0.061529045,0.58930014,0.040340998,0.613246875,0.060665174,0.039548874,0.038060793,0.046511474
cg04726821,0.4378777,0.612870572,0.0833343,0.452894901,0.928701455,0.930155159,0.953781024,0.936472178
cg04736911,0.100246333,0.816004311,0.05445938,0.543401148,0.472314554,0.524907511,0.485076076,0.488851246
cg04737881,0.479579074,0.039290242,0.562611545,0.785046498,0.056671498,0.032708775,0.032059683,0.039534534
cg04741118,0.32136016,0.216482318,0.357930819,0.35227922,0.229574731,0.459819119,0.332228335,0.436523235
cg04748010,0.41919786,0.399882907,0.534096566,0.568577561,0.054549681,0.030604019,0.053989015,0.02913128
cg04781305,0.534136776,0.510163069,0.538526307,0.071244049,0.51878967,0.635642079,0.890450315,0.886745083
cg04783231,0.320914412,0.897609517,0.515700922,0.825864083,0.596864559,0.491667905,0.535151312,0.59223879
cg04811114,0.450963354,0.261342573,0.485388016,0.125728702,0.583182212,0.372450059,0.579697007,0.359908172
cg04876069,0.273228858,0.51946255,0.420021878,0.393169663,0.03230081,0.019720749,0.018708012,0.013987646
cg04885881,0.188374199,0.199889416,0.174608735,0.062511571,0.114527802,0.386375335,0.745326459,0.37704777
cg04889800,0.211911225,0.188387093,0.054539428,0.020148562,0.926490675,0.968062819,0.980227468,0.9790237
cg04908961,0.458787757,0.181665879,0.408477835,0.885784059,0.42530861,0.548903593,0.599424429,0.622038718
cg04931238,0.579827288,0.115618754,0.549437205,0.571731625,0.932260285,0.805882869,0.930189864,0.755769362
cg04981007,0.192533875,0.143863681,0.376358933,0.075776186,0.207233175,0.545965759,0.510728754,0.43864918
cg05004973,0.620786653,0.462016648,0.519446049,0.576879894,0.202599793,0.128818706,0.101952576,0.276241684
cg05005343,0.036388904,0.043981827,0.039116315,0.046922499,0.917835975,0.690573723,0.905663755,0.738529832
cg05020125,0.177945333,0.196955017,0.239477355,0.202879322,0.251380916,0.286055833,0.285101175,0.248789254
cg05030553,0.287190941,0.52642142,0.503339601,0.434979436,0.336147078,0.464365221,0.824202466,0.283922306
cg05090351,0.026590732,0.058692086,0.035022176,0.026566477,0.09402559,0.087423993,0.054458204,0.048240162
cg05149097,0.94444776,0.0662554,0.963309983,0.573697399,0.055579291,0.577265005,0.033782238,0.527891772
cg05168764,0.832934933,0.769223785,0.852939322,0.871986282,0.806493187,0.818913797,0.824895588,0.810541562
cg05180717,0.924800811,0.67287771,0.934936772,0.932944801,0.594256363,0.466030838,0.682196165,0.353766994
cg05182265,0.440764338,0.144568272,0.565409153,0.194941558,0.104917186,0.319437925,0.242032444,0.144444077
cg05254095,0.317860334,0.493329817,0.560274782,0.558783873,0.486009158,0.628249968,0.646957173,0.612722866
cg05275595,0.12416539,0.511181732,0.105181523,0.359845197,0.220330529,0.299695767,0.086338109,0.351003684
cg05277122,0.138692019,0.165404524,0.096351153,0.067046837,0.708029222,0.372556756,0.736796017,0.48778862
cg05292376,0.204444586,0.520682199,0.123986284,0.350454459,0.185476095,0.121131477,0.300976899,0.070818148
cg05307301,0.473217722,0.778884268,0.557979002,0.128597795,0.132876223,0.370354134,0.143661181,0.355998257
cg05308504,0.015398169,0.015392362,0.015152209,0.021013969,0.011877436,0.014132381,0.011574448,0.020454569
cg05353869,0.95923309,0.56034327,0.982269143,0.500037928,0.519477919,0.579330767,0.550403019,0.520210733
cg05360958,0.571321599,0.391653911,0.55985672,0.567087114,0.894658011,0.538635898,0.919385605,0.557954927
cg05365735,0.051468257,0.03948527,0.034808466,0.029981946,0.033702733,0.044216311,0.037399573,0.037193151
cg05371332,0.18357975,0.766283442,0.19923279,0.283750922,0.57902866,0.437293145,0.501311987,0.55174487
cg05379541,0.132147532,0.55938376,0.180540849,0.463217074,0.13522272,0.470234163,0.253105703,0.506698924
cg05385718,0.917449961,0.87851187,0.884194133,0.877816554,0.861808151,0.68405279,0.851324386,0.826421206
cg05403689,0.228265336,0.670487525,0.357756441,0.5983062,0.280889767,0.655639461,0.212680167,0.720131877
cg05424333,0.418483068,0.469762344,0.500232501,0.036590077,0.117382762,0.326966682,0.058322252,0.071517317
cg05454501,0.452715571,0.513635472,0.609526214,0.597877954,0.552000313,0.605481782,0.628415436,0.584053552
cg05460318,0.962331429,0.94542489,0.940267402,0.94601004,0.912188306,0.920665344,0.939186505,0.944287362
cg05509609,0.028221831,0.030180068,0.04047452,0.028040814,0.033238256,0.039230298,0.056584031,0.032114854
cg05542785,0.482465893,0.589996221,0.615306415,0.585630356,0.58218937,0.631371694,0.614079473,0.581681302
cg05547778,0.641558645,0.900193292,0.171358994,0.441054569,0.904945505,0.311430973,0.905158348,0.073543043
cg05547895,0.929001343,0.938803751,0.961275677,0.957123734,0.583389195,0.760911273,0.930103392,0.707606311
