Labels,JA LL 1,JALL 2,JA3,JA4,JB LL 3,JB LL 4,JB3,JB4
cg00980622,0.710088945,0.726813969,0.810048421,0.851888872,0.662291119,0.175023946,0.159593891,0.517141988
cg01000188,0.77154511,0.608879179,0.584313303,0.59198767,0.480914382,0.523159318,0.5828398,0.528943756
cg01017147,0.510440956,0.353141346,0.580115164,0.703946293,0.912874604,0.93966391,0.790769973,0.925586062
cg01066431,0.177594448,0.245285746,0.224191189,0.282478135,0.396730961,0.578548961,0.755257288,0.448554504
cg01078772,0.203635867,0.116331161,0.254836584,0.383297555,0.171796166,0.098555656,0.144560573,0.332213533
cg01094192,0.075751291,0.091341695,0.131467878,0.089633889,0.140477903,0.19440502,0.423109604,0.056447951
cg01094687,0.766328175,0.931908023,0.855118552,0.574174897,0.896870179,0.553752608,0.584553204,0.884876146
cg01094748,0.364510678,0.378473386,0.475392882,0.481826466,0.653203429,0.329224009,0.582646722,0.664343651
cg01101873,0.953407421,0.903567141,0.761307221,0.919741562,0.564542232,0.976932899,0.82702129,0.667578757
cg01104306,0.791551463,0.771022333,0.42795413,0.445095101,0.204092844,0.033294466,0.498561697,0.158957177
cg01126532,0.19198292,0.174118983,0.451975002,0.412845425,0.228608003,0.317456125,0.327777301,0.44582684
cg01156747,0.303140538,0.257212397,0.367250778,0.344510424,0.339484577,0.318299453,0.338898651,0.353139983
cg01165661,0.718826727,0.6894089,0.527806953,0.534880228,0.530064873,0.156112411,0.742125445,0.385327477
cg01169021,0.166157311,0.087362874,0.041304668,0.046195946,0.068719569,0.053870388,0.061688784,0.02863944
cg01180479,0.026605629,0.02941857,0.103259277,0.093771314,0.10483243,0.593022982,0.336751767,0.182431123
cg01196336,0.046815305,0.025420266,0.072889812,0.043002568,0.020034163,0.020423489,0.108442181,0.026518644
cg01208566,0.440416204,0.556150174,0.090123882,0.541670046,0.084750087,0.597937368,0.470350158,0.033915295
cg01218619,0.952504498,0.972464115,0.959330408,0.975686954,0.96397779,0.954206973,0.918205287,0.979612372
cg01219135,0.733249006,0.629695046,0.623891966,0.594576761,0.674448645,0.628357674,0.554630363,0.588780668
cg01223011,0.564888607,0.26617087,0.451659242,0.456766075,0.429635604,0.056290098,0.152637296,0.466999031
cg01242676,0.08701753,0.065325843,0.16400422,0.044665716,0.791167689,0.866388025,0.836553906,0.929272373
cg01248445,0.771504343,0.753658352,0.632303159,0.357224312,0.253347061,0.694342479,0.730081442,0.497829514
cg01270593,0.322870734,0.347870639,0.425868654,0.087591984,0.37026728,0.224286986,0.360673316,0.429812351
cg01274753,0.315026839,0.716278358,0.54884932,0.210169225,0.903614386,0.959503632,0.770660907,0.927855658
cg01293179,0.707859639,0.665335382,0.462122803,0.527843397,0.501784606,0.104498059,0.88315126,0.545603042
cg01301319,0.067555858,0.087817495,0.189792785,0.119982276,0.530058494,0.047720689,0.237909035,0.087634696
cg01309328,0.806131321,0.759758136,0.631432858,0.627911983,0.638620516,0.379221995,0.105918167,0.844505287
cg01314743,0.874727633,0.57261757,0.575804542,0.694778078,0.736014128,0.876677175,0.495462646,0.661768334
cg01324343,0.977899347,0.98436462,0.916482531,0.935321902,0.979184914,0.958873218,0.917939813,0.967549133
cg01351327,0.599701483,0.56736558,0.511522176,0.486194436,0.318729653,0.494791142,0.468633635,0.373007325
cg01359962,0.03928193,0.070470909,0.413629069,0.030630921,0.096768179,0.044063061,0.05704803,0.029384767
cg01365639,0.378435323,0.294264548,0.708973212,0.05725017,0.670624578,0.703209281,0.305820498,0.935234099
cg01396157,0.538469524,0.534676693,0.540197511,0.554634731,0.740062762,0.875967751,0.521682643,0.47610177
cg01426903,0.352936577,0.277602511,0.430677405,0.114280913,0.3482728,0.054571213,0.442109967,0.036481285
cg01435791,0.077511986,0.032630992,0.09123852,0.03987002,0.051773518,0.031962977,0.130571556,0.083495785
cg01439322,0.027700123,0.042356953,0.03983079,0.036027268,0.03667573,0.024535589,0.14228684,0.03831429
cg01484296,0.352826389,0.195609526,0.109926162,0.085619545,0.307896114,0.266403438,0.230739539,0.101969083
cg01485549,0.100771901,0.076859894,0.066393826,0.066417056,0.08281196,0.037553983,0.053488502,0.073493895
cg01530154,0.903284377,0.916886577,0.864302309,0.919007603,0.959596596,0.904085422,0.892901207,0.926739085
cg01552731,0.72248695,0.659718337,0.573549468,0.613995544,0.655861864,0.842879611,0.524964161,0.738751291
cg01569709,0.525054769,0.238498593,0.056846366,0.074572025,0.675598118,0.514154238,0.134548643,0.565939185
cg01584932,0.696840225,0.711776608,0.654987562,0.658820993,0.790186757,0.545051351,0.225011801,0.677672988
cg01601299,0.47323958,0.553874149,0.625683629,0.753270364,0.881187528,0.551069481,0.550169165,0.556553682
cg01607530,0.157716327,0.128910539,0.15289918,0.190538604,0.038879077,0.646618921,0.154372292,0.089155889
cg01613691,0.092740115,0.088485407,0.184002784,0.117394273,0.072843208,0.087221452,0.469978075,0.067786475
cg01622416,0.137275223,0.141243171,0.046308216,0.03721072,0.581070491,0.157410191,0.072431091,0.533949593
cg01646323,0.407631309,0.372973871,0.542516731,0.489193245,0.560617144,0.899717945,0.674329573,0.695918308
cg01758314,0.16319099,0.107728635,0.070065036,0.042581528,0.088808341,0.135588632,0.189599537,0.295727943
cg01806192,0.371859923,0.308007213,0.42569871,0.095703891,0.413748217,0.232837274,0.30536911,0.565904232
cg01809217,0.417190773,0.419892378,0.317250539,0.802368709,0.953872408,0.491000814,0.799802286,0.931462625
cg01830073,0.609936922,0.800655088,0.723537649,0.836512089,0.348799073,0.215270878,0.637004505,0.449514138
cg01870826,0.612598857,0.665697613,0.513199343,0.514354995,0.914739231,0.904397899,0.715115719,0.714982283
cg01874867,0.916719051,0.904580025,0.940688331,0.945228902,0.953260256,0.921428999,0.945731659,0.949664334
cg01894498,0.026104687,0.019866165,0.014038877,0.013730895,0.028495298,0.01935319,0.050531768,0.037643823
cg01905633,0.849134824,0.971709306,0.901996962,0.958141807,0.94212549,0.955909623,0.785079408,0.930170459
cg01987333,0.069539045,0.038123237,0.045791933,0.031470154,0.056185329,0.051252367,0.080966471,0.033570976
cg02032841,0.858874998,0.919495032,0.907488687,0.646236608,0.890878064,0.435858424,0.90288294,0.874970617
cg02067022,0.106362584,0.072341393,0.090660177,0.102960769,0.084589981,0.601865433,0.826535717,0.064056085
cg02105042,0.88672635,0.914482474,0.865092504,0.890625517,0.328309481,0.682932829,0.5887261,0.466682089
cg02158486,0.04204669,0.181660579,0.050375946,0.055158488,0.197770153,0.251423224,0.133292182,0.067087369
cg02228675,0.014664641,0.01085591,0.01330606,0.010896439,0.010527653,0.152356167,0.024816531,0.026562911
cg02238549,0.919733829,0.91475852,0.863086842,0.905771058,0.097885923,0.053773799,0.910033076,0.050491435
cg02273436,0.407839805,0.121061544,0.299268063,0.636446407,0.69258536,0.480126603,0.805476942,0.33344901
cg02274366,0.430593894,0.139132335,0.503019981,0.803972287,0.723713004,0.372763732,0.302343384,0.886138715
cg02278114,0.393877138,0.19705652,0.441216271,0.508709326,0.08118634,0.901711475,0.114616276,0.025998181
cg02315096,0.194359315,0.602216876,0.478922685,0.52432294,0.654944352,0.051628599,0.317878916,0.497171612
cg02326224,0.231745442,0.28609011,0.166375704,0.101383273,0.758135566,0.565604851,0.747221749,0.891327521
cg02331649,0.321646658,0.453294135,0.12473265,0.465558269,0.866105786,0.204216514,0.60165348,0.881515981
cg02400092,0.671882188,0.741982352,0.782554626,0.681481427,0.848434445,0.512840916,0.855004543,0.839383808
cg02421962,0.360757326,0.359639313,0.401662873,0.532594498,0.439616133,0.722529971,0.395561045,0.461895336
cg02426999,0.457589539,0.540047751,0.581632818,0.548121715,0.443843008,0.420887414,0.618694737,0.537526781
cg02428792,0.770339639,0.722676216,0.521118582,0.550791853,0.930108488,0.792593131,0.541459212,0.974494294
cg02450064,0.102016749,0.129716403,0.237282397,0.051962189,0.094982343,0.212299637,0.023019111,0.359032051
cg02473254,0.236907908,0.109821711,0.163059933,0.079485749,0.079033287,0.133857428,0.762625676,0.037357249
cg02484210,0.639419875,0.80018587,0.782083083,0.547207156,0.866553797,0.764629121,0.813651893,0.841739973
cg02498063,0.718519044,0.705755019,0.550662732,0.5370274,0.679309044,0.511533552,0.465224091,0.785483648
cg02508651,0.980446211,0.974169396,0.925529542,0.964649473,0.907085882,0.974667227,0.813085855,0.953223566
cg02518216,0.825099187,0.853520118,0.710751216,0.916531813,0.744463252,0.819644067,0.857469784,0.916780549
cg02531924,0.871560822,0.862461481,0.775103516,0.830476029,0.161633832,0.833971436,0.175683577,0.087086095
cg02546490,0.95354052,0.939157156,0.874618987,0.858808863,0.961646342,0.929817536,0.856678442,0.890514188
cg02552250,0.057247356,0.026957794,0.098830854,0.051221868,0.535715734,0.768623856,0.353736571,0.478524412
cg02586712,0.602237472,0.602748284,0.325271524,0.338469645,0.197038246,0.058556277,0.219028752,0.068063446
cg02596779,0.751708707,0.863271342,0.625758682,0.883878275,0.903709405,0.227323248,0.470435153,0.910605368
cg02607237,0.160603635,0.097299776,0.0561486,0.050457411,0.07843478,0.063545701,0.117956012,0.050497611
cg02616710,0.027124092,0.148706346,0.046692911,0.04771705,0.097797683,0.035104244,0.17563733,0.082133506
cg02621481,0.644072871,0.269510883,0.462434883,0.243792294,0.469219837,0.082555209,0.312610495,0.395678038
cg02624836,0.897401228,0.917089325,0.791272689,0.839305007,0.696332848,0.402402686,0.826429655,0.817028174
cg02641400,0.25185169,0.28586517,0.17114406,0.100739966,0.29317345,0.124701045,0.592086507,0.56762493
cg02645340,0.093066217,0.089860634,0.112280554,0.059112647,0.142513681,0.773293215,0.102840081,0.168302449
cg02675527,0.230256766,0.309619427,0.403249787,0.101692714,0.181926483,0.055835075,0.41544871,0.110579757
cg02736908,0.886941395,0.962056006,0.914500667,0.918822665,0.969949808,0.712406309,0.873568191,0.916976424
cg02738086,0.769343876,0.894660156,0.292966825,0.186825928,0.074699065,0.131040264,0.260174127,0.052901947
cg02744588,0.247348309,0.144294478,0.109346426,0.123204794,0.345130062,0.24330951,0.176615869,0.109272199
cg02753027,0.629759789,0.716520831,0.694957987,0.674882762,0.928674763,0.828470887,0.931423476,0.952839846
cg02796478,0.562624459,0.712475788,0.523312785,0.510781633,0.546280657,0.553055394,0.452171093,0.804358682
cg02799427,0.098631018,0.108929404,0.027208677,0.020211574,0.063115195,0.531973253,0.051237749,0.028610314
cg02872426,0.242547024,0.154221318,0.051362062,0.036670708,0.21778209,0.212989683,0.048996215,0.076821709
cg02881189,0.228366593,0.398101695,0.392279766,0.462231663,0.447143027,0.492557195,0.08461498,0.577650394
cg02942766,0.842075439,0.802308786,0.626429729,0.882270188,0.813221965,0.919594598,0.553759825,0.945163161
cg02971253,0.658960001,0.904130631,0.418483017,0.229016558,0.868569734,0.027218709,0.456170539,0.81645085
cg03041510,0.336831058,0.309353083,0.333421655,0.463009734,0.516718463,0.436106677,0.584029957,0.601316888
cg03047995,0.190241469,0.024318756,0.084351782,0.098410968,0.034530658,0.027145229,0.192041983,0.137174932
cg03095800,0.770506392,0.698801333,0.853858494,0.885010446,0.891129652,0.830418027,0.643619463,0.647615445
cg03147184,0.375773341,0.390407029,0.372816828,0.370118061,0.613645941,0.63336907,0.578324966,0.559203817
cg03176993,0.371065625,0.188116431,0.232956288,0.578393706,0.717727389,0.07238682,0.560605118,0.481238872
cg03179435,0.036197736,0.03751077,0.020119379,0.020597609,0.618157996,0.055911897,0.588869127,0.407577212
cg03190769,0.912097403,0.933275855,0.686113471,0.879519402,0.089561496,0.850326561,0.546684557,0.104432184
cg03207666,0.922435133,0.961990786,0.916281471,0.920043678,0.952799041,0.926484823,0.885420275,0.94692291
cg03209871,0.297726942,0.511486322,0.498978688,0.167392772,0.062129205,0.403762705,0.117410502,0.048962763
cg03242666,0.26652606,0.331134315,0.720140197,0.18180997,0.224648423,0.3657671,0.17584969,0.129363849
cg03270395,0.197561731,0.387090972,0.550795266,0.200260734,0.629277112,0.170476588,0.336370933,0.944079848
cg03271533,0.311246509,0.343941934,0.582885732,0.471759284,0.504833847,0.119307469,0.197243991,0.696678118
cg03278811,0.072665738,0.183987075,0.206145735,0.128139059,0.090210896,0.051626313,0.163293314,0.03382871
cg03297163,0.653188833,0.416864604,0.301495717,0.425367139,0.060689895,0.445021783,0.082080857,0.162530656
cg03315344,0.179052497,0.38702784,0.331214782,0.337720917,0.47644993,0.302528873,0.464278877,0.459449393
cg03325664,0.112798557,0.09255713,0.18507486,0.812555582,0.091463247,0.099358568,0.79271971,0.037449171
cg03330678,0.810473024,0.922055567,0.820897105,0.701815285,0.942391376,0.710555838,0.783289525,0.870431631
cg03370951,0.866616405,0.884727747,0.874310392,0.941664762,0.86633619,0.914688209,0.278099337,0.939848344
cg03395511,0.686973337,0.091654908,0.348221764,0.148331098,0.728624781,0.722989797,0.651811858,0.718733744
cg03421353,0.175791381,0.103606778,0.312781497,0.461781599,0.173277016,0.062371872,0.444852373,0.156009146
cg03428047,0.679876958,0.67148932,0.470771714,0.482147374,0.580439522,0.080652387,0.484573983,0.790688831
cg03428864,0.930563023,0.875832613,0.907476056,0.918354176,0.967277401,0.954840264,0.854881706,0.927295111
cg03433986,0.115829237,0.33971018,0.348005774,0.174808487,0.295941789,0.061338959,0.451810186,0.082790917
cg03444077,0.98382395,0.984310076,0.975367246,0.985320572,0.984534055,0.969042333,0.853479228,0.983816375
cg03481509,0.828606766,0.748646776,0.894523148,0.905393739,0.736095501,0.852745087,0.487907374,0.52922496
cg03520938,0.723513128,0.227297015,0.075259212,0.112346354,0.101419493,0.157648701,0.123495771,0.018076532
cg03556313,0.347531156,0.387237875,0.428209075,0.434815001,0.117897663,0.091855727,0.24125928,0.451360254
cg03611551,0.677042659,0.729653971,0.440362491,0.184466273,0.106107234,0.537621958,0.578086245,0.1214871
cg03646740,0.305234867,0.340776467,0.128482429,0.144572309,0.035671935,0.09516977,0.15051124,0.045517497
cg03669367,0.036603704,0.050184634,0.080984097,0.070414666,0.063336089,0.753369198,0.105402771,0.064339872
cg03695236,0.82005862,0.775939236,0.715846143,0.661520033,0.808441221,0.949448367,0.853565897,0.914951408
cg03706720,0.039512986,0.077714409,0.332505372,0.03203972,0.152346184,0.053312049,0.160836105,0.563169243
cg03721454,0.470291428,0.922803646,0.272699212,0.85476292,0.803042805,0.632389025,0.805923401,0.914241577
cg03738707,0.766567563,0.900455626,0.574123507,0.60204226,0.656270148,0.330404273,0.585338034,0.60785612
cg03753385,0.566462455,0.076030183,0.351179394,0.475409837,0.158440585,0.709491013,0.190931272,0.207606905
cg03755052,0.072870321,0.036880868,0.104396673,0.082918716,0.024598567,0.667232568,0.093606229,0.391174951
cg03804621,0.929523618,0.952324226,0.917478194,0.935406378,0.95384552,0.904541269,0.861949998,0.952301111
cg03826642,0.68422177,0.418137367,0.43560722,0.373676441,0.935749647,0.948335256,0.934339816,0.960548821
cg03848129,0.020662353,0.010967881,0.017322564,0.022521876,0.013244288,0.010257277,0.188498883,0.041705103
cg03880506,0.735657356,0.723906173,0.766273111,0.587026252,0.66212573,0.736530339,0.685061148,0.656563714
cg03880611,0.557644422,0.589242711,0.48204824,0.539631611,0.67755872,0.492983728,0.551308351,0.927623431
cg03889540,0.930957857,0.858602835,0.836907582,0.913780277,0.859753278,0.543265228,0.458427576,0.587200172
cg03894068,0.035760072,0.065328776,0.067028979,0.041132805,0.024616396,0.032221225,0.13302378,0.016027617
cg03898952,0.05548995,0.066491709,0.057961266,0.034642194,0.035979056,0.044656433,0.110541312,0.035287334
cg03906434,0.026479384,0.01694318,0.013851243,0.017818424,0.016386591,0.017754922,0.01675519,0.015625229
cg04006327,0.199700634,0.471194018,0.549887851,0.519981716,0.950241549,0.78412761,0.515542842,0.889756668
cg04019914,0.71500322,0.906179244,0.926269902,0.957029966,0.938190403,0.897609492,0.924377251,0.949185921
cg04036777,0.12279464,0.195050855,0.127278779,0.180615401,0.080828887,0.076487695,0.31108699,0.215849024
cg04060561,0.89833382,0.955404739,0.856637688,0.938999201,0.758158513,0.820325923,0.345744738,0.308908267
cg04064054,0.700522875,0.35662431,0.557803003,0.12083251,0.898673374,0.755215954,0.731772658,0.931769266
cg04070847,0.133365558,0.129996343,0.041459916,0.040186458,0.091100026,0.527129246,0.070301491,0.065835976
cg04131969,0.087266686,0.061120439,0.272099844,0.451448194,0.515139687,0.641619731,0.544069789,0.459318746
cg04141796,0.049165159,0.03909752,0.030549357,0.025801371,0.057003543,0.052213499,0.049266095,0.026134946
cg04156219,0.68638887,0.782638232,0.936025602,0.949219657,0.880161521,0.881317624,0.802693752,0.934288778
cg04176472,0.776404112,0.823440167,0.617513386,0.230360221,0.916005774,0.830440304,0.617402036,0.940084478
cg04178523,0.112769288,0.101793381,0.231678877,0.058548986,0.55258177,0.0928636,0.87492154,0.920372947
cg04216235,0.400522498,0.381581321,0.050232808,0.058546595,0.045505208,0.662870544,0.148611804,0.023778655
cg04217706,0.876975813,0.838528428,0.854198843,0.887477012,0.901247722,0.447520214,0.830235718,0.896706873
cg04264002,0.102471841,0.147804228,0.353136849,0.426571039,0.632883414,0.433060665,0.451243281,0.45347343
cg04362989,0.920047041,0.958502995,0.926930446,0.925147318,0.915477146,0.224672303,0.865364667,0.938963249
cg04391463,0.050787211,0.027516849,0.114315627,0.083512781,0.165268319,0.523029926,0.135314248,0.365234659
cg04410756,0.737169724,0.607837004,0.912572515,0.907779128,0.838117843,0.578936357,0.655437748,0.920888841
cg04454285,0.027957513,0.016248496,0.160252995,0.026583427,0.452228636,0.020777322,0.382131752,0.486175798
cg04481923,0.100965969,0.09682863,0.034294134,0.032357331,0.074779869,0.061389471,0.031340868,0.030286642
cg04520704,0.125902536,0.100410369,0.404203442,0.162947394,0.864762798,0.932991013,0.872625624,0.933044565
cg04522575,0.061915784,0.054560546,0.274859444,0.024666015,0.848133604,0.031797624,0.928505243,0.897435688
cg04547181,0.234325207,0.238760792,0.296909993,0.069652839,0.092822105,0.121667356,0.424745517,0.496670354
cg04548463,0.262939032,0.059837407,0.137365908,0.073191713,0.419870728,0.47807347,0.499723847,0.436595493
cg04605697,0.372026757,0.14507415,0.137210105,0.103193313,0.060918966,0.053504909,0.162472537,0.033094818
cg04630490,0.219447355,0.028594012,0.151871496,0.097037139,0.575822897,0.091675096,0.500942672,0.852693247
cg04653913,0.050156885,0.058192358,0.072212607,0.054352125,0.053354074,0.076274317,0.133485042,0.032941921
cg04657146,0.054089152,0.026353979,0.240735619,0.140457723,0.358816997,0.631549136,0.483988387,0.465871125
cg04671734,0.119983534,0.055412552,0.094968014,0.033083681,0.051236967,0.049000097,0.153767449,0.029128441
cg04672622,0.319715637,0.559837326,0.489417501,0.486563797,0.461371403,0.495569844,0.553869672,0.479222621
cg04672903,0.260248149,0.285526134,0.322262765,0.286406753,0.369010587,0.345857901,0.47849474,0.286824053
cg04713352,0.603053537,0.763205202,0.371686201,0.414443746,0.320881991,0.062916677,0.599908615,0.301308306
cg04726821,0.098908004,0.074904027,0.025379418,0.029535463,0.056745419,0.072705609,0.081354295,0.033660946
cg04736911,0.906104752,0.907641919,0.760067516,0.554730122,0.443336211,0.400138439,0.186748279,0.168463339
cg04737881,0.12257462,0.130280113,0.069678786,0.046747026,0.646076524,0.599258386,0.652421066,0.538243828
cg04741118,0.686390434,0.73751162,0.80776306,0.471981706,0.429039567,0.047519654,0.616046782,0.257168581
cg04748010,0.039489337,0.059859124,0.09986978,0.353740969,0.407633324,0.067124333,0.639967069,0.218579438
cg04781305,0.31272014,0.238194441,0.13545479,0.066572802,0.064637145,0.535244466,0.432381618,0.035946064
cg04783231,0.084769404,0.157542827,0.074310026,0.032956028,0.644640197,0.749663884,0.315361821,0.163654275
cg04811114,0.853750637,0.904549349,0.551185122,0.27236529,0.503600664,0.133412194,0.241308313,0.279308129
cg04876069,0.789006409,0.555211163,0.266003951,0.379646844,0.171967093,0.067284247,0.348904132,0.380287885
cg04885881,0.479706845,0.508271406,0.689409761,0.47828099,0.071522775,0.031966219,0.071503027,0.347258727
cg04889800,0.315331153,0.17618569,0.385812417,0.117865458,0.292710497,0.025030122,0.016157823,0.030579353
cg04908961,0.384578505,0.608746936,0.519701233,0.183253347,0.91900462,0.363307071,0.609930137,0.867349452
cg04931238,0.315045851,0.206841679,0.267316567,0.051920947,0.557367875,0.490886171,0.178155674,0.555807807
cg04981007,0.27438148,0.268712534,0.571354583,0.85140278,0.951051873,0.933131783,0.88112816,0.866573328
cg05004973,0.379006492,0.043969041,0.083209717,0.545675133,0.822307707,0.835825477,0.643812861,0.574863437
cg05005343,0.026563165,0.027792653,0.122111038,0.061344773,0.043580685,0.061629503,0.125503543,0.02196125
cg05020125,0.871249791,0.859690116,0.772703372,0.772984517,0.796571521,0.738311428,0.712805016,0.744143013
cg05030553,0.717479263,0.846767317,0.262114735,0.489721444,0.356630236,0.740072436,0.119849657,0.046781043
cg05090351,0.177773762,0.062471969,0.10120426,0.0788585,0.053180312,0.062478211,0.090718275,0.02634193
cg05149097,0.899752322,0.927233187,0.863926767,0.928743209,0.601986472,0.676846016,0.512650855,0.486379717
cg05168764,0.555667908,0.441714347,0.449908727,0.175014302,0.956868881,0.19823757,0.462775377,0.848954758
cg05180717,0.639747943,0.590189986,0.563444453,0.552521803,0.58732765,0.559543176,0.511018218,0.481702452
cg05182265,0.690175694,0.512573696,0.657921017,0.447670485,0.482871416,0.213211423,0.23855056,0.554591851
cg05254095,0.404948515,0.34258574,0.603632402,0.586751774,0.305763658,0.270717597,0.584838012,0.504430108
cg05275595,0.427697753,0.39551674,0.433891731,0.446042048,0.274559666,0.698846887,0.547287695,0.364143432
cg05277122,0.449114345,0.378175636,0.278050458,0.155100152,0.10965473,0.108845861,0.186905556,0.323893116
cg05292376,0.906281313,0.930060921,0.86963947,0.814200163,0.332293879,0.546420789,0.834462613,0.888244558
cg05307301,0.076677599,0.109666386,0.424882031,0.068066461,0.853035244,0.084511836,0.274727526,0.953438615
cg05308504,0.955774255,0.969462197,0.842916054,0.959862794,0.062026641,0.054691677,0.388300283,0.017779044
cg05353869,0.977415744,0.985701766,0.983016784,0.984640822,0.964693826,0.959694191,0.948738535,0.982106358
cg05360958,0.024410538,0.046709683,0.031159334,0.037228334,0.074578368,0.369683908,0.064806206,0.026616858
cg05365735,0.801812275,0.734746027,0.751857175,0.613747458,0.816820824,0.725072496,0.771198826,0.925910722
cg05371332,0.309878166,0.383669128,0.474052271,0.48286997,0.492447996,0.537213802,0.468707326,0.482576608
cg05379541,0.816583776,0.912104254,0.70598275,0.556149626,0.543252701,0.88715039,0.773556785,0.668872353
cg05385718,0.018913032,0.022662584,0.014143797,0.014607359,0.036364641,0.02785504,0.033185459,0.03404956
cg05403689,0.131775015,0.115836891,0.0714469,0.036738517,0.071640251,0.092981187,0.159643922,0.043649445
cg05424333,0.050748607,0.034046519,0.095782303,0.057251475,0.847884443,0.904392493,0.554480704,0.49943532
cg05454501,0.181626052,0.059011323,0.361484578,0.125372727,0.214181937,0.662578204,0.554107656,0.579327482
cg05460318,0.874743459,0.702494025,0.62094106,0.618600442,0.47753995,0.759626451,0.58469938,0.591836162
cg05509609,0.031523074,0.038915934,0.03911281,0.028660836,0.034231473,0.029681105,0.032898811,0.023434894
cg05542785,0.600835342,0.332031904,0.501910164,0.516598657,0.953085076,0.45940459,0.691816262,0.942696835
cg05547778,0.060521627,0.056772029,0.033530815,0.055829074,0.058264039,0.049965098,0.044170666,0.030974286
cg05547895,0.885069787,0.845540427,0.595391047,0.624712067,0.932634846,0.625275137,0.502774999,0.95538541
