Labels,EA LL 1,EA LL2,EA1,EA_gld,EB LL 3,EB LL4,EB1,EB2
cg00899350,0.463169668,0.571163817,0.796596551,0.810422069,0.053618184,0.041731993,0.055685916,0.519603946
cg00918181,0.534850567,0.903611818,0.62345967,0.559481911,0.644698772,0.855764734,0.61858572,0.621647372
cg00923880,0.57313425,0.67281821,0.606406523,0.459698264,0.7908185,0.75922151,0.811808474,0.15745781
cg00930606,0.716421575,0.942449409,0.874969122,0.883037059,0.831323198,0.358793714,0.897443339,0.540385246
cg00953006,0.486196595,0.885512692,0.568741716,0.508975358,0.202625798,0.80546609,0.490700619,0.532980627
cg00973118,0.591014347,0.825912273,0.766716538,0.84905504,0.779702371,0.840234163,0.729201079,0.82949229
cg00980622,0.594362258,0.820992221,0.602721208,0.596108861,0.140825265,0.095237092,0.377568883,0.896865998
cg01000188,0.548759653,0.686637105,0.872418569,0.882342129,0.932224596,0.948107213,0.9268862,0.871911609
cg01017147,0.143191379,0.068870941,0.176645041,0.099895875,0.114193509,0.215736585,0.27015481,0.108939771
cg01066431,0.431308765,0.219968643,0.481040085,0.354077196,0.605539865,0.5308909,0.776059774,0.716385724
cg01078772,0.702986209,0.725944695,0.645312543,0.58747695,0.157906955,0.077880218,0.095363709,0.202603891
cg01094192,0.634263451,0.492237144,0.525889322,0.509765921,0.2457534,0.365854848,0.147414429,0.447634971
cg01094687,0.499480776,0.529621791,0.611821152,0.58359781,0.699982499,0.593852804,0.574895894,0.496181167
cg01094748,0.123950739,0.093887309,0.056575484,0.096289152,0.040527548,0.034386583,0.082228851,0.111057353
cg01101873,0.684647867,0.829785319,0.84810535,0.944970304,0.82678086,0.829880861,0.867182061,0.482327675
cg01104306,0.785796247,0.809158919,0.884218736,0.939227071,0.577636534,0.701843077,0.927260944,0.364511463
cg01126532,0.20866541,0.352058672,0.412325696,0.3659337,0.02746837,0.242774432,0.033850353,0.073841887
cg01156747,0.041207257,0.053992613,0.031206277,0.032408286,0.058603639,0.03577664,0.040765469,0.027099957
cg01165661,0.553038706,0.873782922,0.924650264,0.919751873,0.835031736,0.820332753,0.800842307,0.738843589
cg01169021,0.735371977,0.899443938,0.912437511,0.943290636,0.924550006,0.927439165,0.944308068,0.896247988
cg01180479,0.461871961,0.792079016,0.491271541,0.434107596,0.585301576,0.66765473,0.555744839,0.591142564
cg01196336,0.605856637,0.942750227,0.870405767,0.905600725,0.108345422,0.16079928,0.100899631,0.728897835
cg01208566,0.478870738,0.851722587,0.755165076,0.896874067,0.181668809,0.126781476,0.04872381,0.859359014
cg01218619,0.320403935,0.766637486,0.607344489,0.505017425,0.580014893,0.853067581,0.582289995,0.584810112
cg01219135,0.605277563,0.846790218,0.863227681,0.921128838,0.928568543,0.928031317,0.930707883,0.838081069
cg01223011,0.684987387,0.848832662,0.608682042,0.898668803,0.07590533,0.049572451,0.054370603,0.371625617
cg01242676,0.466122521,0.833271526,0.855845995,0.873152938,0.680948552,0.58752017,0.508783477,0.38787587
cg01248445,0.658006292,0.712614311,0.7547131,0.539612437,0.389311624,0.303685489,0.130324986,0.872158536
cg01270593,0.443332155,0.755351984,0.86033656,0.902620762,0.642909828,0.965671259,0.953315881,0.825460283
cg01274753,0.355444958,0.434584819,0.134976182,0.040349965,0.039482044,0.130435725,0.052490104,0.285607005
cg01293179,0.264511905,0.072563308,0.460606864,0.499271641,0.584328061,0.22861976,0.545983269,0.290667857
cg01301319,0.460139952,0.15724277,0.267741945,0.09020077,0.28654549,0.069034263,0.133151161,0.413205064
cg01309328,0.442372103,0.664373067,0.660456719,0.648474225,0.928939353,0.928851893,0.944827092,0.180475119
cg01314743,0.554198282,0.65705047,0.150173461,0.181023786,0.513397179,0.858530319,0.467392531,0.144982458
cg01324343,0.577774155,0.30976118,0.5595712,0.540154443,0.899098703,0.50078954,0.579768067,0.579187834
cg01351327,0.904158408,0.947887086,0.861131454,0.939326928,0.484755781,0.612934621,0.504100558,0.50106181
cg01359962,0.227685226,0.721572732,0.590819926,0.631851684,0.477981471,0.55762664,0.605929186,0.597048528
cg01365639,0.665012054,0.344531495,0.058364448,0.052588768,0.32404381,0.469759193,0.530070224,0.898377265
cg01396157,0.758216676,0.873860898,0.921572077,0.877787018,0.789699574,0.914404065,0.906226748,0.859882987
cg01426903,0.728106603,0.416832764,0.55111353,0.525934121,0.344220328,0.556104422,0.497768793,0.518903613
cg01435791,0.373872837,0.919007762,0.929827906,0.894097723,0.750928576,0.714984198,0.520923164,0.540663234
cg01439322,0.294306111,0.60879997,0.530400436,0.561155553,0.13627818,0.162754558,0.082849203,0.174719879
cg01484296,0.34097711,0.264076143,0.124196788,0.082107797,0.30289643,0.22714497,0.081751007,0.198831695
cg01485549,0.549115175,0.799310427,0.403747355,0.309859472,0.124299952,0.078086991,0.105038586,0.1401496
cg01530154,0.63374596,0.936426696,0.869173609,0.914457074,0.129868426,0.05817577,0.055178366,0.438147889
cg01552731,0.506878203,0.94167547,0.497372517,0.51857756,0.941763509,0.9401359,0.881735112,0.906116597
cg01569709,0.793612737,0.59277813,0.121345148,0.045342621,0.618939537,0.5879135,0.521106003,0.485411553
cg01584932,0.844092102,0.842645169,0.933839344,0.933629427,0.791789787,0.831772561,0.93438091,0.923344102
cg01601299,0.3710118,0.491782369,0.068747906,0.049034815,0.632344303,0.801010494,0.550379305,0.835255209
cg01607530,0.222931426,0.143137906,0.061431383,0.067539866,0.487508618,0.056552626,0.067995899,0.165091459
cg01613691,0.548871996,0.681792938,0.900014752,0.90716392,0.138574309,0.054527488,0.15895419,0.185369114
cg01622416,0.560229648,0.838333766,0.923656064,0.930823227,0.608715932,0.373056474,0.036277625,0.086123918
cg01646323,0.308921616,0.040749734,0.101888912,0.136943811,0.027917666,0.049110211,0.071106365,0.116052363
cg01758314,0.280853438,0.288087172,0.535794636,0.485016896,0.094586193,0.046484527,0.437309006,0.119047444
cg01806192,0.526351522,0.873013564,0.597634856,0.550156069,0.246959658,0.075413267,0.05251349,0.138191963
cg01809217,0.477330402,0.929377837,0.925129112,0.956636906,0.625480053,0.500104292,0.554146674,0.819369037
cg01830073,0.398956195,0.435651413,0.139610681,0.104138959,0.331323866,0.544032747,0.085005565,0.567105534
cg01870826,0.779858324,0.772699829,0.923233395,0.941462454,0.890067663,0.90372281,0.942507914,0.901040067
cg01874867,0.860821069,0.893074155,0.9314774,0.940781823,0.696935637,0.704138478,0.58330056,0.657664365
cg01894498,0.406328941,0.557039079,0.521062716,0.444946486,0.707186359,0.763932995,0.59888515,0.695572215
cg01905633,0.366703256,0.529723243,0.435145078,0.343583435,0.375074186,0.609541263,0.454645104,0.44258812
cg01987333,0.867193965,0.850605509,0.91701933,0.918994583,0.578851699,0.350010242,0.440535651,0.220126886
cg02032841,0.519757154,0.681478424,0.124636019,0.100106694,0.477864526,0.329990067,0.105127684,0.357265062
cg02067022,0.718619594,0.867208433,0.93704125,0.922616463,0.207868224,0.084275599,0.102723578,0.671193612
cg02105042,0.549903458,0.864276448,0.921075157,0.90561699,0.165243459,0.029501235,0.058136495,0.158330064
cg02158486,0.677607799,0.740095677,0.914345355,0.923036326,0.572740924,0.698254745,0.552257073,0.854260983
cg02228675,0.608476719,0.703388134,0.856812096,0.913647548,0.642311421,0.6562366,0.581148017,0.59548551
cg02238549,0.31539176,0.117424849,0.064741146,0.074567773,0.927269654,0.914598408,0.91097351,0.498156476
cg02273436,0.141632599,0.326608775,0.209707599,0.246814904,0.16696518,0.097992493,0.036488416,0.065042847
cg02274366,0.333424615,0.516338959,0.165913576,0.252781271,0.419803029,0.194506303,0.143992521,0.197271335
cg02278114,0.841887294,0.716240217,0.524302243,0.349810393,0.887660476,0.904846157,0.866639942,0.485961969
cg02315096,0.113878678,0.066752609,0.160737664,0.160309242,0.216805361,0.033286496,0.048133269,0.102643529
cg02326224,0.751583275,0.754674778,0.774241541,0.796776556,0.884004318,0.824302307,0.798316629,0.626335971
cg02331649,0.565001125,0.656227849,0.434047843,0.547118883,0.535448172,0.279497766,0.102447019,0.143108488
cg02400092,0.076598924,0.037268503,0.022319191,0.024451088,0.068739816,0.0388029,0.021745733,0.022488221
cg02421962,0.302026757,0.412103466,0.201415857,0.0808225,0.624192596,0.46400251,0.506671915,0.193967883
cg02426999,0.653598621,0.611433666,0.872349049,0.875560393,0.513087567,0.573792106,0.912053771,0.560252218
cg02428792,0.613390186,0.839280542,0.574458528,0.57987073,0.144338904,0.105289939,0.064054156,0.572863544
cg02450064,0.613892182,0.301037962,0.450193637,0.266344666,0.498102013,0.733917744,0.494854638,0.477280872
cg02473254,0.532718651,0.824053656,0.504068526,0.540666952,0.775175458,0.589228425,0.44678692,0.441950032
cg02484210,0.825678373,0.636453277,0.273063497,0.573881778,0.738724207,0.57246609,0.604906923,0.37207896
cg02498063,0.813415529,0.83366377,0.896123126,0.86373215,0.671816052,0.788001984,0.52158454,0.829659369
cg02508651,0.364460854,0.569778607,0.530424295,0.34112571,0.71809426,0.573925992,0.563560077,0.818697644
cg02518216,0.737082808,0.640895609,0.812132853,0.899610021,0.638426692,0.830102967,0.921464517,0.88194028
cg02531924,0.276186822,0.52854683,0.228677289,0.246120085,0.688824954,0.781273043,0.875162018,0.479513982
cg02546490,0.395273996,0.721927415,0.674080223,0.870056608,0.270521356,0.874884363,0.872687968,0.5030197
cg02552250,0.038069389,0.026360201,0.022525331,0.023425959,0.403719967,0.846534881,0.503076479,0.02233112
cg02586712,0.74321712,0.907373545,0.871020848,0.907262569,0.185620268,0.104506373,0.110667496,0.614882216
cg02596779,0.543030449,0.785612655,0.77989637,0.865809727,0.777819735,0.715027413,0.752071879,0.428687476
cg02607237,0.695978312,0.74175732,0.865827737,0.936082495,0.816632807,0.710137397,0.872766291,0.482057609
cg02616710,0.1561326,0.22803987,0.093842338,0.090122099,0.057584029,0.022552548,0.085167013,0.111939755
cg02621481,0.326017614,0.539327047,0.276937023,0.129238007,0.143416819,0.074087256,0.072730859,0.215146501
cg02624836,0.643304109,0.68054921,0.866192474,0.842800119,0.354205848,0.386732881,0.429291928,0.171893251
cg02641400,0.60795802,0.837287787,0.62440441,0.588210548,0.892502731,0.935049409,0.938431922,0.931255918
cg02645340,0.349335689,0.519203829,0.655690693,0.695235551,0.743304525,0.783601559,0.557450347,0.562762066
cg02675527,0.544549297,0.619655864,0.877269594,0.881691423,0.305743001,0.113579228,0.086925417,0.175884493
cg02736908,0.692642165,0.961052258,0.907048842,0.931358599,0.95620386,0.947137465,0.912370216,0.897431768
cg02738086,0.510134127,0.446488093,0.475843631,0.487159558,0.155401684,0.058865634,0.057536003,0.180944036
cg02744588,0.57139963,0.596186997,0.123844195,0.131289105,0.682581535,0.615650564,0.871225035,0.291075886
cg02753027,0.619915978,0.834447299,0.9286577,0.938709547,0.142219803,0.045469538,0.035432949,0.505371091
cg02796478,0.335881099,0.674059644,0.4896498,0.382405167,0.107829985,0.317134081,0.078712233,0.495801216
cg02799427,0.756779583,0.782672373,0.734395174,0.574748935,0.747411883,0.600260056,0.536547631,0.191777185
cg02872426,0.836542914,0.872855284,0.946884829,0.949960685,0.513816052,0.628477112,0.508538911,0.127291747
cg02881189,0.748224476,0.41911934,0.593403054,0.632189285,0.266133942,0.32400633,0.103256805,0.532677868
cg02942766,0.194674951,0.042340414,0.052506931,0.034659397,0.059215916,0.048967,0.035975447,0.061866011
cg02971253,0.163002588,0.26114589,0.427603242,0.293610411,0.073241448,0.066812398,0.070211275,0.094650987
cg03041510,0.480249513,0.492348567,0.608834422,0.480887867,0.340561753,0.237408233,0.39572875,0.596456334
cg03047995,0.438171461,0.541889061,0.77581927,0.849055789,0.380438639,0.401134316,0.535310045,0.470412819
cg03095800,0.490806976,0.874045574,0.879620088,0.886756344,0.712542879,0.798313633,0.61759265,0.815308729
cg03147184,0.438757655,0.828265199,0.8961418,0.8865918,0.102922582,0.045086849,0.072163092,0.807633895
cg03176993,0.463833002,0.271003922,0.609010465,0.556427119,0.563889019,0.668681329,0.540699519,0.107451346
cg03179435,0.727950559,0.854659607,0.884451245,0.912874618,0.648503904,0.20399274,0.395280255,0.082668619
cg03190769,0.407680937,0.826387071,0.582171051,0.447494754,0.368308965,0.431906098,0.538965004,0.077977186
cg03207666,0.89633959,0.952962891,0.938538992,0.942307924,0.920860476,0.920791328,0.858969565,0.938455811
cg03209871,0.305358174,0.838287357,0.918371733,0.92619181,0.125308819,0.060543029,0.050340935,0.057085369
cg03242666,0.197734023,0.549839542,0.102557701,0.09391993,0.440475189,0.519834999,0.591278965,0.609403204
cg03270395,0.450196111,0.848379952,0.627182218,0.476340765,0.886391564,0.896005216,0.915622141,0.188540914
cg03271533,0.483492841,0.179457763,0.116820015,0.342698346,0.182650163,0.112128991,0.151689121,0.837930059
cg03278811,0.167673887,0.175037385,0.237530193,0.138381233,0.080547725,0.074698897,0.107832046,0.225791562
cg03297163,0.536656834,0.422757347,0.90352754,0.948104532,0.910084758,0.92186758,0.969880323,0.81760311
cg03315344,0.547390088,0.905298678,0.917075436,0.91912379,0.105890762,0.170870927,0.087858835,0.088284996
cg03325664,0.601776957,0.668457126,0.490149004,0.466244878,0.901631165,0.923385991,0.651636382,0.516135243
cg03330678,0.35103485,0.825864826,0.61100476,0.499064476,0.33524511,0.596001186,0.131212177,0.418855552
cg03370951,0.61926208,0.898814535,0.910243816,0.917449243,0.899765586,0.889522057,0.925868656,0.772026144
cg03395511,0.529606656,0.852761291,0.676415196,0.628306767,0.812918674,0.734579088,0.72261847,0.823212825
cg03421353,0.761821336,0.873947584,0.93482946,0.938844677,0.077818484,0.074977131,0.048998224,0.911844474
cg03428047,0.337016503,0.728573922,0.883638703,0.699480857,0.277752333,0.459179223,0.425925841,0.392365707
cg03428864,0.66607705,0.706361196,0.456671842,0.45210091,0.891970085,0.949967318,0.895839184,0.822431947
cg03433986,0.135475681,0.451836375,0.080688514,0.116598376,0.151957889,0.482933948,0.065485802,0.213555798
cg03444077,0.482114098,0.680434924,0.503068741,0.461279751,0.98385888,0.966142097,0.944302086,0.548385078
cg03481509,0.489317017,0.463147007,0.117465546,0.170582264,0.152562483,0.081866582,0.1202051,0.22899378
cg03520938,0.492367307,0.533884412,0.22802756,0.30712349,0.679363023,0.22467035,0.528663523,0.214669709
cg03556313,0.458350654,0.377180432,0.673030593,0.698084875,0.082779486,0.232544613,0.203581021,0.427111747
cg03611551,0.300862002,0.586912664,0.729288101,0.421743191,0.589869385,0.543543707,0.488742111,0.133087547
cg03646740,0.289860635,0.455752791,0.117433779,0.149569794,0.368669327,0.104466222,0.076262913,0.501520017
cg03669367,0.409126746,0.814842635,0.403456787,0.44649874,0.607053082,0.304960649,0.45933137,0.12523678
cg03695236,0.576381832,0.825433648,0.897294095,0.922028685,0.445439793,0.307095688,0.57074814,0.602683524
cg03706720,0.288395262,0.899330994,0.55259073,0.52585925,0.267400779,0.026769007,0.423552623,0.48072145
cg03721454,0.31846153,0.532615709,0.109005146,0.093308784,0.355459875,0.054313293,0.067890816,0.308309819
cg03738707,0.876711636,0.951297778,0.977116445,0.965865577,0.979497466,0.977948447,0.97901044,0.969466512
cg03753385,0.630298015,0.718949345,0.508516601,0.361630914,0.299237008,0.829979115,0.376828018,0.618241514
cg03755052,0.740959359,0.451889761,0.079488756,0.060135661,0.283717389,0.604657928,0.057689464,0.263304077
cg03804621,0.299549199,0.14969046,0.112462733,0.042718742,0.343774457,0.068938012,0.036054181,0.16949109
cg03826642,0.803021928,0.899879341,0.578854164,0.791246251,0.934779603,0.806953597,0.935741775,0.917346202
cg03848129,0.025162079,0.011674602,0.023501102,0.015820466,0.018773919,0.016460999,0.015632143,0.022780244
cg03880506,0.51649641,0.11239974,0.712130824,0.456664731,0.284668352,0.251883892,0.105734891,0.265919375
cg03880611,0.76847184,0.921947905,0.93962423,0.939655864,0.892836881,0.881146003,0.901408106,0.555769497
cg03889540,0.507540154,0.708138772,0.537714431,0.538833249,0.199528777,0.042985208,0.040074676,0.098299661
cg03894068,0.763427239,0.936668965,0.87846339,0.901342345,0.702728217,0.915708651,0.883509223,0.865358348
cg03898952,0.457354474,0.216628322,0.055241726,0.057831195,0.66660841,0.65039583,0.505588215,0.493386581
cg03906434,0.033936493,0.037742696,0.026586161,0.023973352,0.046225599,0.037774667,0.01916744,0.023472126
cg04006327,0.505274435,0.723766468,0.627890601,0.82199338,0.730349517,0.725465983,0.545802164,0.813927184
cg04019914,0.607918091,0.896569422,0.882765905,0.943162715,0.768258868,0.722725727,0.542190669,0.551645707
cg04036777,0.230724267,0.068541615,0.12957221,0.158104125,0.054314932,0.087582153,0.114793672,0.185381242
cg04060561,0.690777591,0.902802487,0.943797201,0.947512284,0.213932679,0.381009595,0.168360171,0.88996617
cg04064054,0.457543957,0.467236705,0.557699425,0.53170407,0.244302597,0.198347961,0.035794894,0.092729517
cg04070847,0.649781182,0.386796084,0.764103321,0.554700036,0.167808991,0.090832623,0.04610121,0.043195919
cg04131969,0.027884512,0.042061921,0.039505259,0.027200624,0.044213992,0.04442042,0.031538827,0.023143386
cg04141796,0.723983406,0.948345963,0.934897109,0.937392194,0.948607965,0.938706354,0.95472936,0.550811953
cg04156219,0.410984929,0.851342226,0.94126972,0.932185944,0.263567036,0.077484198,0.044805538,0.526581287
cg04176472,0.47533451,0.891159662,0.890394511,0.922780154,0.236723187,0.075609317,0.058337934,0.387867089
cg04178523,0.469307275,0.656875915,0.893028451,0.86072661,0.601819625,0.667802018,0.886034848,0.646271544
cg04216235,0.766122704,0.87293478,0.930977199,0.928869089,0.487258949,0.494560622,0.500898498,0.530574013
cg04217706,0.606588683,0.70533432,0.828538106,0.896428003,0.83228803,0.896434991,0.859672466,0.806806772
cg04264002,0.440379624,0.901873874,0.923767196,0.715764066,0.886112939,0.851115486,0.807051124,0.814988858
cg04362989,0.18627846,0.372497467,0.176417723,0.311403335,0.07874376,0.087813104,0.090372101,0.175518563
cg04391463,0.650394728,0.761860154,0.870650161,0.941060797,0.633687947,0.384235653,0.513939415,0.819854546
cg04410756,0.567679272,0.758225804,0.889561182,0.909265903,0.184829783,0.173019713,0.048106518,0.88246661
cg04454285,0.559760943,0.846040331,0.904824815,0.872053859,0.887884333,0.693637559,0.787060036,0.793019672
cg04481923,0.506832118,0.789780554,0.51465483,0.481939853,0.640260478,0.755847293,0.528260399,0.589843089
cg04520704,0.266462078,0.482279177,0.08765959,0.115570835,0.058565075,0.044522297,0.111683467,0.158743742
cg04522575,0.384532001,0.899641355,0.911851794,0.919654997,0.892447115,0.802025438,0.82708017,0.852461526
cg04547181,0.602714328,0.877407465,0.924794659,0.898426374,0.878980351,0.868838278,0.903239209,0.549909171
cg04548463,0.410976618,0.191176948,0.558184159,0.515715017,0.099321062,0.127545941,0.531255301,0.099173575
cg04605697,0.806173388,0.311707016,0.489763897,0.495972265,0.500198856,0.454147592,0.050563663,0.917468831
cg04630490,0.462875018,0.757609776,0.843332241,0.851186473,0.382142549,0.369053726,0.469984783,0.47080914
cg04653913,0.281121277,0.31268587,0.13117456,0.062477649,0.267209535,0.069198253,0.087715997,0.223175048
cg04657146,0.885492937,0.940508584,0.920626401,0.914842055,0.889614312,0.89766245,0.932737738,0.950669003
cg04671734,0.643741668,0.813812351,0.884955957,0.928634009,0.483479949,0.543056618,0.38288586,0.813988646
cg04672622,0.405206639,0.893010994,0.93382249,0.922126523,0.033085585,0.022899754,0.046440653,0.060079377
cg04672903,0.20399652,0.292734971,0.331525953,0.306112856,0.310137118,0.298382938,0.367115749,0.367700348
cg04713352,0.173851873,0.453489179,0.060315683,0.037948043,0.178468758,0.067972093,0.058622172,0.508432667
cg04726821,0.394234022,0.867991914,0.921118042,0.913293912,0.870250059,0.9093816,0.943645954,0.897903008
cg04736911,0.532708631,0.918785301,0.888598691,0.731429053,0.658520358,0.533047586,0.53128094,0.552817484
cg04737881,0.633232759,0.512359189,0.902914173,0.900086253,0.349125993,0.525952914,0.620197768,0.707470099
cg04741118,0.699335451,0.8783267,0.868451281,0.523304153,0.316626782,0.320016054,0.213747742,0.421258945
cg04748010,0.607016663,0.864820606,0.920540351,0.942069919,0.601965331,0.479336937,0.531600307,0.558212567
cg04781305,0.349249052,0.573858001,0.509997389,0.546005121,0.865230313,0.746955002,0.888729971,0.128333923
cg04783231,0.498085702,0.855057929,0.909859356,0.924114562,0.514028861,0.524155193,0.508278472,0.815117054
cg04811114,0.205764026,0.521231951,0.418558381,0.473926728,0.788182503,0.386136342,0.511345297,0.144196847
cg04876069,0.726111123,0.925359423,0.901686988,0.883823284,0.875184429,0.852160054,0.819653145,0.6204109
cg04885881,0.233253688,0.642877975,0.497375853,0.560094954,0.07614822,0.092674414,0.051190802,0.353780111
cg04889800,0.033485752,0.065287016,0.015763168,0.017631756,0.030279876,0.026587553,0.015679221,0.017334144
cg04908961,0.723156869,0.920123698,0.914979942,0.882955874,0.640395128,0.490105393,0.599548654,0.872957101
cg04931238,0.838748133,0.908758645,0.938902416,0.946052507,0.68658707,0.466261134,0.532046082,0.858111496
cg04981007,0.315582365,0.616169796,0.54099333,0.819730283,0.049051667,0.154790351,0.114147738,0.408640846
cg05004973,0.603893447,0.182246685,0.631130717,0.549131646,0.463973518,0.11352835,0.10208619,0.76121556
cg05005343,0.453298814,0.775814188,0.879060322,0.938510219,0.086532363,0.043880576,0.027893455,0.155477702
cg05020125,0.342546642,0.419677535,0.374011576,0.362248811,0.653841491,0.418598361,0.441791339,0.445384635
cg05030553,0.324253159,0.825070753,0.470872823,0.466410796,0.491530591,0.635687194,0.059991744,0.213400851
cg05090351,0.251865418,0.452170652,0.126683474,0.049686806,0.240308491,0.080024472,0.052592202,0.197119412
cg05149097,0.145656042,0.259234847,0.032827401,0.032462709,0.070149785,0.048731857,0.03120363,0.077102381
cg05168764,0.446538429,0.544716575,0.462697633,0.440003207,0.785822521,0.743624854,0.429316476,0.489399612
cg05180717,0.61737657,0.719893385,0.636013188,0.60012864,0.739440804,0.812039009,0.693218006,0.690595003
cg05182265,0.833878132,0.920866227,0.727660589,0.930079031,0.815862334,0.736172381,0.55403418,0.56791593
cg05254095,0.440043304,0.343070747,0.603170992,0.541069612,0.403407256,0.390095271,0.60360912,0.605817563
cg05275595,0.455318987,0.871607656,0.430384173,0.463341561,0.500114468,0.47712787,0.565479467,0.451745251
cg05277122,0.721668251,0.980207019,0.980931284,0.979106992,0.059400551,0.053398759,0.061826515,0.407190826
cg05292376,0.312487389,0.908130954,0.52781518,0.62482194,0.670699457,0.295880486,0.301550987,0.180627166
cg05307301,0.693658969,0.684933877,0.538044323,0.508187499,0.562689069,0.377726966,0.550429681,0.460825408
cg05308504,0.652145471,0.943679982,0.961204233,0.947821743,0.876189588,0.951549073,0.734139815,0.597616181
cg05353869,0.094206118,0.033093035,0.04207371,0.024135034,0.100957812,0.061841477,0.019993458,0.058550324
cg05360958,0.648013643,0.560402467,0.630606642,0.555124756,0.198686589,0.054492929,0.042620469,0.791438136
cg05365735,0.824934224,0.762190506,0.664420932,0.8543788,0.480410122,0.841646335,0.546344261,0.487480594
cg05371332,0.502440933,0.582065807,0.859139091,0.85758701,0.763876082,0.813302087,0.820531575,0.677324086
cg05379541,0.280308575,0.618121644,0.52301419,0.513564077,0.81964722,0.674270646,0.521863199,0.475533117
cg05385718,0.82406852,0.864518808,0.829654383,0.877542403,0.831099995,0.790437774,0.799736915,0.864042664
cg05403689,0.236890923,0.473995839,0.098493247,0.069197566,0.448002019,0.098779706,0.172711669,0.156918715
cg05424333,0.315084765,0.861977844,0.462013016,0.491264546,0.107064614,0.081161531,0.044368103,0.226986404
cg05454501,0.067250945,0.04977049,0.057287045,0.049927389,0.183606691,0.169890759,0.061368364,0.064368938
cg05460318,0.509786221,0.716606437,0.897857839,0.910656478,0.732276125,0.486289975,0.8868847,0.597461681
cg05509609,0.543448728,0.608369589,0.640608224,0.575304192,0.834011186,0.834022331,0.908049136,0.930381967
cg05542785,0.088814196,0.045153313,0.029874005,0.027231327,0.127579095,0.036573865,0.035957353,0.044463624
cg05547778,0.260894238,0.915814879,0.339793375,0.246621313,0.674982945,0.565534656,0.6613400739999999,0.905649953
cg05547895,0.887164401,0.883825601,0.916813703,0.938161664,0.856983458,0.857736944,0.951021503,0.940158298
