Labels,PA L 1,PB L 2,PB L 3,PB L 4,PA LL 1,PA LL 2,PB LL 3,PB LL 4
cg01094687,0.545026133,0.508492025,0.507543198,0.47746351,0.81436737,0.599304065,0.550305211,0.612059601
cg01094748,0.086768689,0.071547667,0.069100797,0.060098012,0.03278326,0.041841863,0.049601656,0.037659347
cg01101873,0.589599982,0.36208841,0.2222392,0.59837446,0.848757018,0.533710949,0.528472315,0.16570504
cg01104306,0.396364859,0.085428347,0.151914227,0.13090829,0.51731929,0.050867843,0.068362985,0.189506259
cg01126532,0.938795293,0.917876467,0.926972274,0.908825837,0.731581405,0.924369422,0.939743132,0.915040486
cg01156747,0.575217449,0.164618193,0.09178262,0.08507006,0.59569136,0.70119631,0.062801782,0.094870889
cg01165661,0.100785309,0.307833936,0.419190255,0.083066864,0.136760674,0.032091579,0.385859334,0.034082644
cg01169021,0.925226436,0.940673637,0.895413627,0.93159302,0.838340094,0.9244219,0.947248597,0.923249025
cg01180479,0.987911317,0.985296654,0.988221935,0.988936295,0.926295124,0.984596812,0.992128002,0.993585367
cg01196336,0.196908467,0.26406504,0.105618432,0.119568658,0.055638581,0.038458735,0.148198665,0.106162882
cg01208566,0.552130232,0.469252163,0.520824535,0.543851186,0.474228645,0.528693472,0.891781095,0.491429487
cg01218619,0.971277351,0.973348321,0.974242557,0.976476326,0.915454903,0.971226449,0.986094193,0.978727928
cg01219135,0.521320248,0.49299312,0.534074309,0.516120014,0.359592153,0.372296341,0.521106854,0.553671633
cg01223011,0.048607925,0.250175096,0.183129336,0.039345704,0.107865091,0.034203754,0.104236613,0.037437026
cg01242676,0.508133214,0.810194041,0.712453825,0.861895307,0.790933649,0.530673975,0.879206976,0.887079844
cg01248445,0.652997266,0.79034956,0.902150229,0.833268139,0.508596746,0.718328491,0.598849173,0.63595793
cg01270593,0.234219153,0.022089608,0.022771657,0.020096169,0.444606244,0.01627264,0.121593613,0.247280263
cg01274753,0.065026681,0.051897368,0.032696246,0.037863422,0.349227809,0.034073942,0.034438923,0.029184513
cg01293179,0.88780108,0.92293691,0.930096431,0.775641951,0.828629968,0.873100094,0.910906406,0.843642117
cg01301319,0.077976236,0.074011902,0.06118387,0.056640116,0.052857416,0.060873312,0.164850097,0.047323336
cg01309328,0.292760872,0.150376837,0.258074426,0.223569626,0.130437439,0.203353465,0.189069055,0.225898579
cg01314743,0.066596451,0.087204955,0.088048242,0.087280786,0.141884149,0.077757906,0.048196804,0.11845135
cg01324343,0.024863837,0.092593397,0.020167053,0.029854597,0.073518568,0.020494664,0.015917472,0.017848254
cg01351327,0.516587209,0.043786006,0.036292422,0.038054078,0.473203202,0.027081236,0.03350317,0.032845077
cg01359962,0.564728047,0.551465384,0.540609858,0.505731385,0.426740186,0.538845701,0.203032577,0.291074164
cg01365639,0.03763936,0.675684427,0.603941323,0.531040471,0.472076304,0.108663984,0.23130422,0.10904052
cg01396157,0.910302799,0.920550348,0.908498317,0.886011121,0.728883223,0.745639441,0.903921248,0.859937106
cg01426903,0.05069327,0.41828005,0.484619065,0.295166659,0.020469706,0.017485958,0.122205469,0.265104806
cg01435791,0.048485827,0.516489329,0.53818018,0.106504861,0.139727402,0.03309439,0.4837646,0.197522042
cg01439322,0.498315625,0.494198196,0.491850282,0.502210831,0.601530179,0.073571598,0.476852871,0.58695725
cg01484296,0.087860333,0.062076775,0.077172338,0.083565421,0.432971408,0.101186836,0.076267111,0.133733366
cg01485549,0.360722809,0.146663077,0.191839599,0.275018457,0.337828325,0.535110279,0.157672451,0.183249373
cg01530154,0.053190847,0.484440735,0.476925865,0.485610956,0.696956711,0.02594921,0.441015222,0.435916707
cg01552731,0.309027858,0.130484378,0.329557203,0.235524105,0.0557938,0.306486502,0.130899136,0.107164798
cg01569709,0.448083238,0.034370377,0.034931353,0.481702299,0.098986302,0.632644878,0.032637632,0.050765408
cg01584932,0.589002591,0.629707438,0.629038979,0.550551244,0.383155705,0.384498823,0.57974293,0.747204385
cg01601299,0.854772941,0.903699284,0.888229078,0.881496139,0.884739826,0.921237064,0.933367797,0.922200435
cg01607530,0.079927801,0.073273997,0.052295448,0.052333697,0.111122515,0.036115379,0.032512068,0.043821512
cg01613691,0.24831171,0.157878251,0.193336597,0.189065278,0.19733254,0.178089627,0.172150494,0.092211304
cg01622416,0.035660186,0.037493947,0.038193751,0.037756171,0.157349614,0.200021001,0.03069657,0.431612219
cg01646323,0.089067648,0.091990773,0.058532538,0.05927032,0.016290442,0.457262575,0.041826658,0.023408314
cg01758314,0.457524953,0.053314612,0.03802409,0.030713491,0.368884174,0.046582962,0.395289248,0.042026691
cg01806192,0.881646996,0.839706056,0.9218854,0.726034154,0.788772607,0.900327023,0.80927919,0.822879033
cg01809217,0.508792514,0.414683624,0.438530092,0.438146778,0.744633298,0.448319867,0.369626118,0.392315498
cg01830073,0.079014327,0.051400156,0.103078896,0.045848562,0.718863101,0.199492679,0.0651078,0.156982751
cg01870826,0.699106797,0.533484953,0.541928555,0.535701978,0.336322593,0.682553453,0.626388716,0.691248129
cg01874867,0.576001448,0.648631994,0.647894527,0.61790128,0.608439164,0.912750248,0.661798949,0.666732043
cg01894498,0.975378916,0.975661442,0.978615777,0.973788212,0.98070286,0.981820023,0.978648074,0.976458837
cg01905633,0.19521552,0.345688341,0.356150038,0.397966122,0.106889769,0.266355494,0.413890016,0.087290307
cg01987333,0.045471816,0.040189401,0.045150234,0.043243897,0.122520236,0.037725666,0.033896484,0.053085765
cg02032841,0.910548668,0.654063498,0.709418544,0.684771831,0.564743416,0.862801683,0.678789018,0.780664464
cg02067022,0.25212959,0.076179927,0.083919423,0.125994335,0.196422622,0.064500348,0.083850601,0.270010599
cg02105042,0.039936059,0.866788093,0.89246896,0.449269821,0.178943948,0.021055839,0.574772769,0.437754692
cg02158486,0.864676153,0.907710819,0.937331323,0.888300131,0.48724985,0.689301241,0.924160401,0.92582601
cg02228675,0.953116399,0.964038445,0.957159309,0.964031148,0.856021652,0.945376966,0.956741877,0.943832192
cg02238549,0.514235285,0.044478478,0.048101321,0.181001225,0.442129197,0.555227649,0.074544881,0.04362322
cg02273436,0.249017221,0.215949118,0.097127492,0.156297438,0.274824175,0.218858466,0.181072373,0.199437722
cg02274366,0.347915779,0.275926515,0.303057768,0.307651925,0.376211761,0.300621214,0.218268608,0.255908601
cg02278114,0.04372601,0.039131948,0.036847123,0.046619339,0.220912111,0.030128609,0.033126716,0.071858139
cg02315096,0.460706373,0.180163948,0.116802752,0.455177057,0.804993873,0.419883778,0.1127501,0.654959256
cg02326224,0.447153014,0.077658991,0.094651113,0.067098466,0.113108896,0.642370148,0.113984486,0.075229481
cg02331649,0.535964921,0.052504415,0.048775654,0.506011406,0.215790528,0.839415246,0.509764366,0.229950049
cg02400092,0.375237956,0.094268455,0.093248943,0.565793374,0.047165246,0.471385284,0.070483042,0.136211153
cg02421962,0.653772565,0.52899002,0.510204265,0.500811364,0.297110879,0.562773499,0.249511853,0.412730342
cg02426999,0.579602177,0.165039906,0.123586494,0.142506888,0.606129715,0.863939129,0.112626013,0.085388806
cg02428792,0.585306866,0.330557273,0.362487995,0.643430011,0.894475629,0.087153155,0.608579232,0.92772696
cg02450064,0.843692421,0.841020535,0.866717123,0.8715783,0.876047895,0.783001839,0.84847621,0.849142973
cg02473254,0.076193112,0.228446911,0.096812723,0.073099403,0.484155454,0.045266248,0.05803078,0.096022164
cg02484210,0.653856746,0.765907307,0.750041958,0.750233855,0.209739818,0.66876016,0.286429807,0.249215051
cg02498063,0.579492329,0.588499151,0.553565876,0.52321533,0.481549869,0.634253339,0.561998315,0.486116432
cg02508651,0.970795006,0.954233561,0.965182729,0.959377226,0.905488984,0.977813809,0.964597563,0.965496016
cg02518216,0.052683276,0.062601546,0.059018024,0.046145913,0.054538347,0.048271934,0.042102471,0.036616737
cg02531924,0.716421852,0.521254498,0.502971489,0.490608382,0.266950635,0.613356748,0.603276313,0.450032018
cg02546490,0.092391301,0.066689554,0.082963501,0.040538063,0.062092126,0.028809834,0.044911835,0.05810698
cg02552250,0.942586157,0.798468199,0.890980742,0.935303302,0.858752026,0.943171723,0.934318868,0.939670328
cg02586712,0.093015829,0.103154242,0.129114449,0.091996947,0.219308759,0.046304065,0.089959858,0.117658876
cg02596779,0.347483029,0.496215913,0.426524639,0.380692446,0.866561201,0.53533875,0.159777558,0.456132616
cg02607237,0.917351602,0.845667022,0.876386339,0.898700531,0.316234868,0.798168545,0.900771688,0.788114916
cg02616710,0.514219714,0.527896928,0.546507142,0.54826399,0.450791911,0.523631474,0.525995548,0.5087253
cg02621481,0.239344005,0.259759206,0.25895242,0.197753843,0.20398613,0.232539627,0.17283375,0.134293221
cg02624836,0.404740027,0.451221797,0.462502592,0.09321542,0.139158334,0.409393427,0.156744572,0.054756562
cg02641400,0.066927304,0.044776883,0.06186248,0.064800522,0.494711852,0.063749164,0.047389033,0.073924447
cg02645340,0.458730058,0.53503358,0.547525957,0.550299752,0.159606686,0.055496566,0.651751494,0.759591446
cg02675527,0.260205515,0.37989485,0.421237326,0.153351634,0.15409714,0.523737523,0.492983926,0.367387388
cg02736908,0.507317557,0.529949062,0.533189645,0.527267943,0.238145994,0.480572567,0.224043,0.427740732
cg02738086,0.453591056,0.056825149,0.066004807,0.065059428,0.453184582,0.445952574,0.055572549,0.528090566
cg02744588,0.802135667,0.325830869,0.150967804,0.273945269,0.334307869,0.782994613,0.539935817,0.564458174
cg02753027,0.923594541,0.565521105,0.582870824,0.551649021,0.135826158,0.110796704,0.6478698,0.433896256
cg02796478,0.496398757,0.478966992,0.496262728,0.204460251,0.466553491,0.584281537,0.48378694,0.340886821
cg02799427,0.02925571,0.031791324,0.033187177,0.026345749,0.082661825,0.04099943,0.028297021,0.071669872
cg02872426,0.702800675,0.577880706,0.469949388,0.936239151,0.751955673,0.842365302,0.918376939,0.563913774
cg02881189,0.843548921,0.246737356,0.091501374,0.077873322,0.282518652,0.71715601,0.547740717,0.223656211
cg02942766,0.455019019,0.391064225,0.450608953,0.531179063,0.651890813,0.394856587,0.147875642,0.703116917
cg02971253,0.758817006,0.448004552,0.448128855,0.44650027,0.875152719,0.388528328,0.409575737,0.217856264
cg03041510,0.499667589,0.543096214,0.486154035,0.457218192,0.442469007,0.62896715,0.341169944,0.377400174
cg03047995,0.177500302,0.16657705,0.273276878,0.158994658,0.215773845,0.214920731,0.101076466,0.065484342
cg03095800,0.183147819,0.143068717,0.189652314,0.151907675,0.142951763,0.104513967,0.104542545,0.226070101
cg03147184,0.479974426,0.495757602,0.490218703,0.482629719,0.121798331,0.466197421,0.480528923,0.53012294
cg03176993,0.403994637,0.249750874,0.341766354,0.053392771,0.494330731,0.671705608,0.066891934,0.144240132
cg03179435,0.911528696,0.756774911,0.571765916,0.904315038,0.87601007,0.923519356,0.847816945,0.915708967
cg03190769,0.294151738,0.232608311,0.296667051,0.136739406,0.122809424,0.053556187,0.290543047,0.311638495
cg03207666,0.077805218,0.067998207,0.055942711,0.060506507,0.124540456,0.033688358,0.070822251,0.079799996
cg03209871,0.243556361,0.218831714,0.133752641,0.183080469,0.28436247,0.654173091,0.358139277,0.422959565
cg03242666,0.095236474,0.094718853,0.114931196,0.099002655,0.204498738,0.106146034,0.086520782,0.115539832
cg03270395,0.783079338,0.534359102,0.734867107,0.788791857,0.667434033,0.452028522,0.502016819,0.689760142
cg03271533,0.077116232,0.067566666,0.056114248,0.181561137,0.107589341,0.319997268,0.073731746,0.065661533
cg03278811,0.113982456,0.129576523,0.10483133,0.103446852,0.098596786,0.05999015,0.136295254,0.06076137
cg03297163,0.120416603,0.421533807,0.870515078,0.050054448,0.192734333,0.354614348,0.193773259,0.066603686
cg03315344,0.907709721,0.883845317,0.912256441,0.931872532,0.42785757,0.917777232,0.902628259,0.729105851
cg03325664,0.584363518,0.033595134,0.034112581,0.034951739,0.855336428,0.674609597,0.059876858,0.038782268
cg03330678,0.64230338,0.501623472,0.489235767,0.231715072,0.809069086,0.563313823,0.337593935,0.783075736
cg03370951,0.496883447,0.50176413,0.517841366,0.472262153,0.886029386,0.913547997,0.497231014,0.462737171
cg03395511,0.559488976,0.615076122,0.592322934,0.602768901,0.828153344,0.698343994,0.72094909,0.646935496
cg03421353,0.064463892,0.04993324,0.074310544,0.112163044,0.708458203,0.095793065,0.068855134,0.303004314
cg03428047,0.046174752,0.045691743,0.043069499,0.037492317,0.079060297,0.076524432,0.037377358,0.052452818
cg03428864,0.4778143,0.505551975,0.505608301,0.504660465,0.611090874,0.557080948,0.480760084,0.47371796
cg03433986,0.727858458,0.24115555,0.406814556,0.266173505,0.171829096,0.291333793,0.423677246,0.108216532
cg03444077,0.472526586,0.50136512,0.513673081,0.510973946,0.293689622,0.437713794,0.4651084,0.43218552
cg03481509,0.832036011,0.482762092,0.53706504,0.115202141,0.409146204,0.46883573,0.533619166,0.557646781
cg03520938,0.374344849,0.035313416,0.079262597,0.085768338,0.169569014,0.098035276,0.06928072,0.090119816
cg03556313,0.423622403,0.462400802,0.47528646,0.489709265,0.09566772,0.141552382,0.490186409,0.314591742
cg03611551,0.194826504,0.188771581,0.119830303,0.537441903,0.432304409,0.032317962,0.089420762,0.577355257
cg03646740,0.076553869,0.095263701,0.108315635,0.097915992,0.05115982,0.030960369,0.060798893,0.048005118
cg03669367,0.274157001,0.07732833,0.104295766,0.447911964,0.194381191,0.631934152,0.41768541,0.304174174
cg03695236,0.905806656,0.502808197,0.52079833,0.471539895,0.871257143,0.94168098,0.399591375,0.867681743
cg03706720,0.034998258,0.118932267,0.046169464,0.454245589,0.093982299,0.044122328,0.754405732,0.657232752
cg03721454,0.773060472,0.491583073,0.653297132,0.451607344,0.691686334,0.786206856,0.733468127,0.432379671
cg03738707,0.526536561,0.530920152,0.533886587,0.570005551,0.428243865,0.581205831,0.620928403,0.737697298
cg03753385,0.591433379,0.519155515,0.654099101,0.586006525,0.722112876,0.378595655,0.483212033,0.408221761
cg03755052,0.470297487,0.255774637,0.082715675,0.08049281,0.075479009,0.475654361,0.406528972,0.099803687
cg03804621,0.036279012,0.03110404,0.033070032,0.041659542,0.049816975,0.035796649,0.035543377,0.033563215
cg03826642,0.192670808,0.071985687,0.151701729,0.092775406,0.404412602,0.468807143,0.050602401,0.074000787
cg03848129,0.016136074,0.017104975,0.017948775,0.019847242,0.012840674,0.009187984,0.013276293,0.0101109
cg03880506,0.054344084,0.081589443,0.068678774,0.085351903,0.357007371,0.24416221,0.084372576,0.162403502
cg03880611,0.501099225,0.511195371,0.427535823,0.507635668,0.887426107,0.913727728,0.900806012,0.807019537
cg03889540,0.61325251,0.542224679,0.522593312,0.550800815,0.81158185,0.932070297,0.533145749,0.71225343
cg03894068,0.678128946,0.675003454,0.719198949,0.870056546,0.859898392,0.883358101,0.699556542,0.8785249
cg03898952,0.502213876,0.530374833,0.511863097,0.520132107,0.601709557,0.471011711,0.248828055,0.55403366
cg03906434,0.02153084,0.022233949,0.019422775,0.020521927,0.026191107,0.023589031,0.013180305,0.020265838
cg04006327,0.707430608,0.778157503,0.787175511,0.822977342,0.861100487,0.83834997,0.745652525,0.810396267
cg04019914,0.450118563,0.392955436,0.454282926,0.449967713,0.678410926,0.663389418,0.541410514,0.480980389
cg04036777,0.623644048,0.332848858,0.36432004,0.38629553,0.117158663,0.553140429,0.317327859,0.296236796
cg04060561,0.535633624,0.835089686,0.865393562,0.496575063,0.263335196,0.90563629,0.883239999,0.695155418
cg04064054,0.148190035,0.090299732,0.293914719,0.540424473,0.515159748,0.656198328,0.178541596,0.255051864
cg04070847,0.459291992,0.041113719,0.049612954,0.038595644,0.115617584,0.077727849,0.04765178,0.111112161
cg04131969,0.525294546,0.107468189,0.066463534,0.04628943,0.503482232,0.54470654,0.42820894,0.518885057
cg04141796,0.945384507,0.93868809,0.948342482,0.946148052,0.903159834,0.936913842,0.963584069,0.946439917
cg04156219,0.519036703,0.905713486,0.892229074,0.891797369,0.814406124,0.502898969,0.611773226,0.758030854
cg04176472,0.190731893,0.195662927,0.415500694,0.136147965,0.068671677,0.117193879,0.066719682,0.680068745
cg04178523,0.555073245,0.531965026,0.521015936,0.066082232,0.104341534,0.560411043,0.18300783,0.237369587
cg04216235,0.075794242,0.521618488,0.526226678,0.5061689,0.12161865,0.031948646,0.526653312,0.194436587
cg04217706,0.893210039,0.857123158,0.887400421,0.864841395,0.353068905,0.891996526,0.908661984,0.873372953
cg04264002,0.80066784,0.861279067,0.883965725,0.832768245,0.598972171,0.936947352,0.902317283,0.444648361
cg04362989,0.401680486,0.580781972,0.589622442,0.538549608,0.715317028,0.545354129,0.557302073,0.561264746
cg04391463,0.058534503,0.091476571,0.079493174,0.052535042,0.534716589,0.04226827,0.091131753,0.055384352
cg04410756,0.889729581,0.535458876,0.527593956,0.573423017,0.237510035,0.858621773,0.645945664,0.569926201
cg04454285,0.465152283,0.485042874,0.503767849,0.496576956,0.306390397,0.490186797,0.493660028,0.444084213
cg04481923,0.480592951,0.522354908,0.572532616,0.531792857,0.61735054,0.681520355,0.62336325,0.617089329
cg04520704,0.685999243,0.367504202,0.276728329,0.440423512,0.586041865,0.916206685,0.424145071,0.464715244
cg04522575,0.241788743,0.028707787,0.105886373,0.307527328,0.683470543,0.52965065,0.044538337,0.729074966
cg04547181,0.164353369,0.115896737,0.104223805,0.21535496,0.465642708,0.228770612,0.076972029,0.123242102
cg04548463,0.495684237,0.88952112,0.89505267,0.888015765,0.367745827,0.562899199,0.646365898,0.802958574
cg04605697,0.614249546,0.609002205,0.565343458,0.797427766,0.512327409,0.883658439,0.532455053,0.781830152
cg04630490,0.079434185,0.127844766,0.063349097,0.469577001,0.376544905,0.028604342,0.353164992,0.386533583
cg04653913,0.536074548,0.543467583,0.548755128,0.141889198,0.539161802,0.513991071,0.254784524,0.299440099
cg04657146,0.455479681,0.501096978,0.507934324,0.499610836,0.35890773,0.408455126,0.484788493,0.418453263
cg04671734,0.093856714,0.512350587,0.536078843,0.517229218,0.394276907,0.247217533,0.544581591,0.494487847
cg04672622,0.039887134,0.026040428,0.030237379,0.027744215,0.043161498,0.032285686,0.026492806,0.038040945
cg04672903,0.340021349,0.374071192,0.386613445,0.380143096,0.229970188,0.299374368,0.307486205,0.309340344
cg04713352,0.535633456,0.044755713,0.047010178,0.039305255,0.176244603,0.079158227,0.515015766,0.085895764
cg04726821,0.504208411,0.032404327,0.129400183,0.048513834,0.516889599,0.066490013,0.046617806,0.057577095
cg04736911,0.187358283,0.046273777,0.056358722,0.04870969,0.068599733,0.558081965,0.042758212,0.123722836
cg04737881,0.068087445,0.325747336,0.409229244,0.504074268,0.197518714,0.156605401,0.651799905,0.19665867
cg04741118,0.553722594,0.41023418,0.373001207,0.467330632,0.432657509,0.674078459,0.462534033,0.335242417
cg04748010,0.542189998,0.173289274,0.029986707,0.030054436,0.478195737,0.594214338,0.041218317,0.093092307
cg04781305,0.19891417,0.210516087,0.074444647,0.058173748,0.077783392,0.035073583,0.053849196,0.068904569
cg04783231,0.676120108,0.155464931,0.035631763,0.460231954,0.152093588,0.80792699,0.057364613,0.188259232
cg04811114,0.116855217,0.03980831,0.04528183,0.08312117,0.137367253,0.040562047,0.041105609,0.02344034
cg04876069,0.046851129,0.298906893,0.218515484,0.404489609,0.605847749,0.404842734,0.46562483,0.42079187
cg04885881,0.302912469,0.236165364,0.114681657,0.084994478,0.110034914,0.123117018,0.148475094,0.187221763
cg04889800,0.051998184,0.043180722,0.054096499,0.04782189,0.058590481,0.049377933,0.020863427,0.034807628
cg04908961,0.525340983,0.506246023,0.556520226,0.679256934,0.733585758,0.485384197,0.483318024,0.711117341
cg04931238,0.033360192,0.04565827,0.053667445,0.520946536,0.12320995,0.026645799,0.041003028,0.042209084
cg04981007,0.558215783,0.084984708,0.081273795,0.077097023,0.040928883,0.116989601,0.240981766,0.427429784
cg05004973,0.514350879,0.52634025,0.522035683,0.506518859,0.668088931,0.547022921,0.601891722,0.632664137
cg05005343,0.036646556,0.031303672,0.030704053,0.02915436,0.034123393,0.142635452,0.026419594,0.033537045
cg05020125,0.386278961,0.418646246,0.430217928,0.428986928,0.431966339,0.404445237,0.406570149,0.366088509
cg05030553,0.436354421,0.35414978,0.445301023,0.394634706,0.620988967,0.51479607,0.300189936,0.18560284
cg05090351,0.555113358,0.554947016,0.502407824,0.577681468,0.851329729,0.930272093,0.611702026,0.695374
cg05149097,0.911292772,0.584838144,0.559625498,0.584423658,0.145283127,0.597958122,0.593659362,0.650302429
cg05168764,0.078487697,0.097473456,0.094887553,0.085573027,0.024449553,0.027651756,0.047419955,0.031799437
cg05180717,0.688185076,0.653556506,0.642629746,0.633188276,0.780339901,0.717847535,0.622663182,0.688868954
cg05182265,0.494526168,0.507254493,0.54757272,0.51033312,0.407877343,0.810988642,0.331879875,0.596759765
cg05254095,0.518619512,0.549649584,0.566173204,0.561782921,0.255187398,0.40802141,0.47583593,0.363704122
cg05275595,0.23689712,0.111790078,0.148012569,0.095663842,0.068402744,0.14069435,0.165868725,0.240879753
cg05277122,0.199196472,0.158557671,0.297622224,0.159912485,0.058955748,0.063074062,0.177391293,0.137032471
cg05292376,0.159840151,0.094658064,0.150363837,0.06003703,0.060915989,0.096563503,0.032710248,0.044569299
cg05307301,0.473903816,0.204480334,0.059127728,0.219634522,0.15424008,0.632551641,0.140047417,0.066052979
cg05308504,0.027812272,0.027451314,0.026456499,0.023071701,0.146891386,0.031788324,0.02374032,0.039824522
cg05353869,0.975568966,0.979504426,0.980814839,0.980066008,0.826929299,0.979226989,0.984993284,0.975809391
cg05360958,0.562119204,0.895037559,0.90705317,0.564080387,0.768022264,0.678580015,0.611674551,0.394720304
cg05365735,0.105671482,0.037411056,0.037383939,0.04069071,0.173922841,0.1156059,0.059045972,0.090964186
cg05371332,0.791900283,0.562986011,0.545153174,0.546348226,0.432290582,0.517430377,0.552537732,0.403873797
cg05379541,0.196149691,0.195545091,0.178470238,0.44089007,0.178836586,0.205047924,0.472158613,0.140071931
cg05385718,0.385535029,0.42898906,0.429834565,0.412936109,0.596026334,0.405132677,0.412372708,0.395605564
cg05403689,0.059049731,0.048200973,0.071025932,0.056304266,0.176288104,0.071416862,0.068632987,0.118501281
cg05424333,0.043606631,0.038863738,0.040685666,0.033769689,0.066490235,0.054622768,0.02845616,0.023872746
cg05454501,0.8877844,0.921113885,0.907035166,0.927997311,0.578626995,0.864397641,0.955290565,0.902587588
cg05460318,0.920907345,0.907982762,0.917408784,0.917939276,0.815044323,0.914201367,0.933134881,0.933618642
cg05509609,0.081346967,0.056239369,0.050010525,0.038061117,0.096024689,0.046774929,0.043700819,0.047892752
cg05542785,0.037871772,0.0399242,0.027222412,0.142001767,0.121946963,0.204281512,0.022352677,0.027558114
cg05547778,0.069011093,0.572172139,0.586294298,0.665084557,0.121374011,0.058415369,0.448272052,0.375585229
cg05547895,0.152683335,0.489623493,0.518112322,0.436685192,0.209766966,0.065745267,0.500823455,0.654207223
