,Unnamed: 0,Labels,DA LL 1,DA LL 2,DBL1,DBL2,DB LL 3,DB LL 4,DBL20,DBL21,DA,DB
43981,198996,cg01336414,0.447343213,0.506042117,0.183186874,0.603351191,0.585201831,0.635027618,0.705901393,0.582290297,0.598074602,0.649081031
44515,696762,cg01353612,0.590066733,0.492284168,0.870843118,0.787856701,0.922680855,0.922876321,0.610170425,0.930026055,0.576563441,0.674461582
44738,420254,cg01360261,0.075645174,0.338593566,0.302047734,0.043990049,0.18623681,0.859591396,0.31788582,0.052981022,0.187443571,0.399798693
45111,347527,cg01371123,0.203067182,0.134802245,0.112290285,0.353271276,0.547597147,0.044703547,0.83982801,0.033738729,0.365173885,0.576984468
46302,316833,cg01408663,0.107736931,0.093053744,0.087158656,0.080451531,0.049863488,0.446846868,0.243241027,0.045998653,0.163933862,0.434529907
46490,699271,cg01414065,0.86583418,0.890213161,0.787169651,0.891423717,0.604435874,0.956039646,0.340111181,0.906972502,0.784389665,0.627898294
46514,693254,cg01414728,0.709148016,0.56013321,0.604361491,0.737880336,0.910934691,0.956380104,0.607574823,0.867122591,0.628685947,0.59932974
46534,559791,cg01415346,0.912281277,0.934663593,0.756198696,0.965450858,0.663614246,0.886580356,0.604789247,0.945736561,0.800900389,0.681015615
46828,574484,cg01424970,0.424909484,0.402947047,0.268395319,0.73146358,0.110720596,0.050181595,0.443733398,0.082765404,0.403636021,0.446886105
46889,651089,cg01427130,0.732781157,0.941825891,0.370286698,0.038282305,0.116155181,0.063368178,0.544229627,0.039010825,0.79212215,0.305244745
46903,88449,cg01427460,0.08320135,0.052790446,0.054475869,0.092600181,0.060145619,0.206570621,0.097185884,0.044281183,0.139292643,0.333543355
47558,689706,cg01446417,0.873233243,0.923932592,0.729337733,0.555391511,0.91645201,0.507661815,0.653762187,0.596823932,0.826614066,0.586280327
48278,79065,cg01470666,0.6379413,0.048927484,0.374834279,0.184028259,0.211920453,0.14864637,0.168744772,0.52026518,0.393630485,0.451244442
48295,335999,cg01471111,0.31266666,0.345363977,0.226838205,0.08775792,0.504183744,0.091322894,0.455638391,0.078405648,0.617365739,0.495254932
48474,180993,cg01476443,0.321671121,0.502747304,0.426544534,0.245236147,0.3286684,0.620264848,0.86547671,0.913384536,0.419900727,0.562654876
49306,456732,cg01503679,0.56012223,0.474933421,0.933124619,0.947057006,0.911960145,0.852353537,0.926869599,0.936575913,0.462025332,0.754612336
49312,262158,cg01503807,0.573880981,0.20029786,0.606838454,0.439584094,0.953336391,0.698998852,0.567628765,0.28280853,0.469340599,0.554910526
49505,646905,cg01510278,0.350331808,0.737395245,0.115850769,0.277660965,0.091384603,0.110743378,0.271106184,0.487056853,0.357250678,0.438793831
49771,251420,cg01518268,0.255174046,0.256426091,0.033881325,0.459471203,0.032189904,0.042082723,0.086101274,0.027926443,0.333072084,0.098577967
50529,118527,cg01541903,0.494897916,0.235311733,0.417183588,0.927410556,0.395838689,0.770892487,0.27609813,0.60927813,0.335222262,0.514518556
51377,352562,cg01566982,0.353153854,0.81772836,0.389516181,0.699837829,0.584712568,0.461507109,0.097134113,0.523776744,0.495238785,0.375824157
51643,812203,cg01574473,0.398579426,0.1103915,0.343703235,0.373376001,0.106936102,0.292633998,0.388757312,0.404830079,0.364634034,0.40091315
51658,568011,cg01574903,0.76503343,0.780058063,0.845539055,0.912798596,0.901796623,0.577783473,0.705323039,0.922275784,0.739240142,0.585011244
52002,384616,cg01586400,0.573309572,0.082554822,0.508860977,0.895559505,0.506492178,0.916820947,0.12506137,0.933900477,0.415428685,0.528227509
52257,695023,cg01594108,0.896961291,0.939116388,0.676132212,0.514919593,0.948253778,0.651608753,0.895281973,0.519610366,0.817687177,0.74285118
52375,631912,cg01597747,0.181419033,0.080749391,0.321730246,0.283338058,0.074737149,0.113719671,0.122234619,0.087668102,0.254835354,0.352619322
52673,477621,cg01607297,0.570189012,0.457071423,0.115926988,0.937872407,0.278396899,0.580537962,0.040042328,0.936966714,0.460711004,0.437184305
52896,666833,cg01614426,0.910814985,0.884271084,0.424239463,0.482979737,0.369965736,0.077759993,0.577387161,0.493073919,0.668393095,0.576646165
53339,75721,cg01628245,0.657279973,0.644029782,0.39148246,0.143655056,0.535590791,0.214609161,0.392434072,0.11246131,0.490687766,0.491187067
53541,386297,cg01634544,0.345760244,0.55513016,0.499304864,0.556701409,0.574779779,0.701192163,0.736890686,0.49653457,0.348566901,0.491323669
53703,398437,cg01639943,0.5728206,0.259982519,0.382044501,0.531314449,0.642099878,0.722474304,0.928216873,0.525111424,0.679620542,0.653352094
54056,456017,cg01651583,0.577124431,0.703230894,0.533966233,0.719356586,0.706507286,0.133275621,0.579108969,0.577481932,0.567821261,0.388557101
54273,139146,cg01658787,0.363165896,0.487396418,0.297217192,0.042077681,0.110740376,0.172514162,0.461752384,0.122428486,0.431489363,0.410736215
54412,438098,cg01663696,0.508627193,0.51732457,0.859782825,0.90346717,0.948293598,0.959104604,0.369076735,0.921246809,0.487253524,0.473211889
56225,658541,cg01724831,0.421823539,0.048277131,0.534249702,0.914055924,0.058273984,0.613725806,0.048169825,0.896531292,0.43057767,0.449693897
56415,648813,cg01731192,0.327606633,0.489898976,0.366866206,0.183965585,0.879694466,0.071862827,0.246491565,0.055667645,0.465117833,0.394278262
57263,790148,cg01759114,0.731954646,0.716311766,0.918823576,0.661633853,0.88670531,0.561856128,0.440868101,0.653356153,0.67175057,0.55287921
57487,461879,cg01766873,0.395581941,0.491428693,0.520232869,0.408034346,0.689397992,0.249720654,0.063221191,0.571396025,0.570745644,0.546160288
57724,315375,cg01774343,0.588130079,0.056036678,0.115860304,0.074478641,0.039062242,0.232826435,0.652252664,0.060975963,0.335237906,0.528901051
59267,360717,cg01819912,0.149562752,0.061880558,0.045007723,0.064118199,0.06203657,0.071426533,0.049074057,0.04858477,0.125083511,0.140098477
60850,670591,cg01870646,0.372283142,0.099511301,0.41176073,0.502103656,0.532204667,0.90191797,0.769906355,0.914858519,0.540128727,0.663183972
61124,704815,cg01879056,0.761015233,0.937784732,0.750798047,0.935788308,0.525538727,0.685342937,0.925182235,0.946697378,0.816345457,0.712967046
61423,395801,cg01886921,0.372328887,0.093563168,0.29863949,0.1372558,0.370327534,0.50218721,0.71684252,0.03957239,0.314111963,0.562347773
61679,254962,cg01895504,0.782562949,0.880920968,0.35509056,0.893616673,0.489901111,0.935071568,0.352077172,0.881598331,0.703482274,0.534591829
61725,21374,cg01897074,0.479887955,0.423725423,0.380810599,0.361833247,0.120436857,0.045461805,0.506724387,0.052008808,0.448684861,0.422558651
61900,6084,cg01903327,0.140434748,0.050525737,0.362209293,0.078433679,0.053239328,0.098329956,0.753936131,0.05610435,0.23255306,0.420158097
62046,764888,cg01907347,0.637505785,0.514037247,0.603034898,0.440366654,0.770894371,0.448215633,0.527176355,0.832125699,0.641552423,0.577798271
62099,784450,cg01909070,0.887200376,0.619342184,0.738727131,0.703706647,0.521705544,0.779827787,0.327777437,0.657844628,0.657843495,0.58151462
62433,798864,cg01919594,0.371033315,0.109108893,0.188624562,0.509045622,0.032569112,0.63432331,0.518679932,0.05238887,0.281614666,0.392992933
63827,222614,cg01961214,0.874092691,0.485911646,0.54176779,0.896968666,0.950177562,0.792778798,0.424093421,0.910008246,0.646031516,0.561332061
64237,440759,cg01972495,0.371532513,0.133333868,0.434198631,0.4644874,0.465279658,0.419725691,0.507710262,0.476438413,0.40063316,0.60296997
64749,489978,cg01990147,0.442559569,0.317568733,0.222603846,0.291191583,0.187669928,0.036197379,0.509498673,0.081605608,0.487844834,0.534386953
65030,683453,cg01998692,0.277795967,0.548414004,0.876593423,0.875032524,0.902415546,0.895480821,0.077859579,0.924674183,0.419079009,0.597700599
65172,655030,cg02003175,0.363959444,0.070254013,0.587899063,0.094315445,0.592996945,0.9530618,0.5022497,0.053077234,0.416723063,0.51948401
66013,275011,cg02028556,0.545335046,0.21005256,0.497832298,0.088561515,0.678874513,0.270997676,0.85519174,0.085099207,0.59734065,0.654534422
67369,668318,cg02070549,0.462328734,0.528952176,0.895978093,0.508064895,0.928398686,0.463508309,0.04735769,0.501500101,0.637678115,0.577308608
68212,663106,cg02096701,0.549338983,0.108546199,0.479193765,0.487518205,0.440908816,0.857543629,0.51725458,0.486652715,0.496901751,0.483827654
68838,141593,cg02116437,0.150274253,0.083744218,0.458065348,0.69673395,0.814199645,0.400357788,0.441975818,0.615144115,0.302044182,0.571635816
69152,662383,cg02126277,0.295881478,0.147442931,0.823881334,0.289030398,0.61870678,0.93536304,0.215696755,0.541434731,0.38581514,0.40029454
69165,253647,cg02126759,0.733667021,0.696771302,0.796322949,0.926957965,0.948352937,0.947629168,0.575615386,0.913164847,0.570270525,0.661307976
69183,243570,cg02127549,0.919937623,0.912034724,0.92323771,0.530931432,0.936292826,0.722566167,0.683599273,0.937089471,0.763411848,0.794245669
69880,177066,cg02150809,0.577229679,0.929622995,0.597151759,0.571967807,0.184826361,0.808356373,0.382754473,0.949752188,0.717912323,0.560473395
70340,813107,cg02165680,0.645511167,0.293504444,0.216922739,0.074013209,0.088073048,0.05825175,0.044756069,0.052161434,0.614467569,0.457738513
70520,640841,cg02170810,0.378074154,0.470336528,0.153748043,0.109524999,0.179013423,0.126907169,0.393610396,0.088538698,0.592836126,0.424476763
70640,460939,cg02174341,0.792593455,0.834734942,0.539849837,0.500251506,0.410870965,0.157387496,0.172191477,0.491589385,0.655663767,0.436595366
71195,157089,cg02193015,0.325789225,0.496524062,0.856895419,0.941691872,0.910170449,0.932531995,0.601360176,0.921785244,0.482287491,0.635926049
71313,711296,cg02197022,0.788340626,0.907370974,0.76442123,0.921073631,0.788336794,0.720374242,0.879051166,0.915170329,0.803162471,0.650515164
71433,75135,cg02201457,0.668444022,0.510441775,0.90297889,0.929525623,0.691017527,0.854040021,0.901876281,0.935433318,0.589260412,0.909144055
71638,54334,cg02207998,0.85720358,0.906436557,0.601122864,0.920986705,0.527289031,0.896353013,0.048115179,0.920042981,0.610495134,0.378655604
71658,488896,cg02208529,0.442437754,0.499108069,0.751113914,0.92049321,0.955926034,0.857565244,0.144160003,0.915647668,0.390305106,0.464200626
71947,44135,cg02218802,0.896615948,0.902770875,0.544753638,0.905296049,0.901462543,0.34604473,0.585853993,0.905315789,0.691872354,0.642811873
72038,642779,cg02221517,0.52839241,0.249845567,0.402042028,0.339985543,0.149705686,0.099423769,0.143534412,0.151902683,0.36711035,0.398378871
72440,159324,cg02233915,0.523954706,0.069868703,0.485571011,0.054290576,0.236633983,0.157605069,0.417128328,0.051756685,0.322710563,0.444505155
72653,572408,cg02240352,0.397036888,0.581108234,0.360178313,0.638124666,0.417520238,0.865429619,0.543499561,0.88854069,0.511565814,0.520971794
73355,655053,cg02262107,0.504743984,0.352877201,0.369876093,0.51246343,0.214268655,0.595378075,0.133659598,0.536241026,0.653198725,0.453759812
74383,678334,cg02293935,0.838397222,0.897471094,0.546788378,0.934492591,0.352537016,0.206332341,0.736331467,0.528396387,0.849426276,0.705464496
74601,585643,cg02300143,0.453843933,0.048675179,0.139781124,0.040980998,0.060098246,0.198679762,0.057824915,0.069116208,0.246660141,0.358866632
76059,563007,cg02343430,0.633295267,0.401820344,0.538056311,0.57411969,0.724281628,0.835604557,0.586339093,0.627780375,0.600114744,0.618436604
